original_path	current_or_archive_path	status	sha256	bytes
CANTO-SPAN-v0.5.181-AUTONOMOUS-RESEARCH-CHECKPOINT.md	archive/release-history/CANTO-SPAN-v0.5.181-AUTONOMOUS-RESEARCH-CHECKPOINT.md	CURRENT_IDENTICAL	3a8702ac8b8cfa1e9a8cf0d9dda36816e0b57de32dd2cc6bb0d80561ff919ccf	2278
CANTO-SPAN-v0.5.181-CORPUS-ADDENDUM.md	archive/release-history/CANTO-SPAN-v0.5.181-CORPUS-ADDENDUM.md	CURRENT_IDENTICAL	397cb2f83dc3b3ee86020a25e2afa553c848f0f4a131da9953273b29d420e4db	1970
CANTO-SPAN-v0.5.181-CORPUS-ADJUDICATION.md	archive/release-history/CANTO-SPAN-v0.5.181-CORPUS-ADJUDICATION.md	CURRENT_IDENTICAL	1ba743affee9779ee6c145894c1cd0f78af3a3fe01b1325237f05d100315e089	2709
CANTO-SPAN-v0.5.181-LEXICON-VERIFICATION-CHECKPOINT.md	archive/release-history/CANTO-SPAN-v0.5.181-LEXICON-VERIFICATION-CHECKPOINT.md	CURRENT_IDENTICAL	6e73c0033713641894656c41639c2e9a58ef56f203e6edd0b8129796045a8f04	1350
docs/research/CP020R2-RENDERED-ACCEPTANCE-REVIEW.md	archive/research-history/docs/research/CP020R2-RENDERED-ACCEPTANCE-REVIEW.md	CURRENT_IDENTICAL	5727601de5c46261a6bc464386242569f096b0ef181946612c617eb43e898429	7506
docs/research/CP021B-IM1-ONE-SHOT-HELDOUT-ADJUDICATION.md	archive/research-history/docs/research/CP021B-IM1-ONE-SHOT-HELDOUT-ADJUDICATION.md	CURRENT_IDENTICAL	43ccef0511add96747f77d827623ef76001df33f5d712eb4a06e19a6e63992b0	10755
docs/research/CP021B-R1-RESEARCH-CHECKPOINT.md	archive/research-history/docs/research/CP021B-R1-RESEARCH-CHECKPOINT.md	CURRENT_IDENTICAL	16453ea2a64daa580e4486587b2a991ccc520bdb8089247186bd2f894a062e23	4719
docs/research/CP021B-R10-RESEARCH-CHECKPOINT.md	archive/research-history/docs/research/CP021B-R10-RESEARCH-CHECKPOINT.md	CURRENT_IDENTICAL	c42be22ef6dbec3b2e309f15f6b93e691fc2960354daf1563ea6eb84440d140a	2282
docs/research/CP021B-R10-SOURCE-SEARCH-LOG.tsv	archive/research-history/docs/research/CP021B-R10-SOURCE-SEARCH-LOG.tsv	CURRENT_IDENTICAL	16b1efb591434a6829d06d36e5cb49e05257d5075e9196503bf5309c0e60a11d	2564
docs/research/CP021B-R11-RESEARCH-CHECKPOINT.md	archive/research-history/docs/research/CP021B-R11-RESEARCH-CHECKPOINT.md	CURRENT_IDENTICAL	e01c49f9358b24945c5354927cffc2a145249e9d2dc10c1540529e83f9154cb4	2313
docs/research/CP021B-R11-SOURCE-SEARCH-LOG.tsv	archive/research-history/docs/research/CP021B-R11-SOURCE-SEARCH-LOG.tsv	CURRENT_IDENTICAL	ac9f769f9a8c424181eb9f4a6eccee3052cd1805bf44d811f3c4e43bd4a2ab6d	2348
docs/research/CP021B-R12-RESEARCH-CHECKPOINT.md	archive/research-history/docs/research/CP021B-R12-RESEARCH-CHECKPOINT.md	CURRENT_IDENTICAL	7a44eb3f7c43540bdf3b4d850ebd9af3000076ddb39c5107f960e05b8f743f71	2297
docs/research/CP021B-R12-SOURCE-SEARCH-LOG.tsv	archive/research-history/docs/research/CP021B-R12-SOURCE-SEARCH-LOG.tsv	CURRENT_IDENTICAL	5f16859c280845b40d3321870a230f214a8246c3e731c76769145c0195b19dbe	2560
docs/research/CP021B-R13-RESEARCH-CHECKPOINT.md	archive/research-history/docs/research/CP021B-R13-RESEARCH-CHECKPOINT.md	CURRENT_IDENTICAL	241de82e9dfa4fddb56aa4dd375920e91381f528af1c9ba470b0e79d1a6a0fdd	2638
docs/research/CP021B-R13-SOURCE-SEARCH-LOG.tsv	archive/research-history/docs/research/CP021B-R13-SOURCE-SEARCH-LOG.tsv	CURRENT_IDENTICAL	965f264b408501911b2707876af3f8dcbb24fae929158899daa63f8c00f27615	2288
docs/research/CP021B-R14-RESEARCH-CHECKPOINT.md	archive/research-history/docs/research/CP021B-R14-RESEARCH-CHECKPOINT.md	CURRENT_IDENTICAL	3b9b864cf4ac56cc69e89e200c5d041bc10c32e65d1c8a5c0c91017d6b66d534	2190
docs/research/CP021B-R14-SOURCE-SEARCH-LOG.tsv	archive/research-history/docs/research/CP021B-R14-SOURCE-SEARCH-LOG.tsv	CURRENT_IDENTICAL	af13481c565190ee6d8df35775b850ebd22362f69fa0414996dc4b5a0af83965	1920
docs/research/CP021B-R15-RESEARCH-CHECKPOINT.md	archive/research-history/docs/research/CP021B-R15-RESEARCH-CHECKPOINT.md	CURRENT_IDENTICAL	4f48e0d397ed45209647b891e7972b246a21cb9c64d17e5955b5525dd8ddb31d	2657
docs/research/CP021B-R15-SOURCE-SEARCH-LOG.tsv	archive/research-history/docs/research/CP021B-R15-SOURCE-SEARCH-LOG.tsv	CURRENT_IDENTICAL	8cc46ca98021a07ba70d3a11799ecf9ad0b37ae7d325bcce5d71b0d9103dc3dd	2738
docs/research/CP021B-R16-RESEARCH-CHECKPOINT.md	archive/research-history/docs/research/CP021B-R16-RESEARCH-CHECKPOINT.md	CURRENT_IDENTICAL	0b12957bee828590c0554731dfd4d9d2379d5f8e720b68e273cef07407eb3794	1885
docs/research/CP021B-R16-SOURCE-SEARCH-LOG.tsv	archive/research-history/docs/research/CP021B-R16-SOURCE-SEARCH-LOG.tsv	CURRENT_IDENTICAL	0bc2394c06321f9e95071c677ab562895c89ad7adc6dadb289618806dfac066f	2510
docs/research/CP021B-R17-RESEARCH-CHECKPOINT.md	archive/research-history/docs/research/CP021B-R17-RESEARCH-CHECKPOINT.md	CURRENT_IDENTICAL	c88abd2c5d93e0ae18a1fa331bc4e85427371c3df29e04fea1c70afd4d7c6a36	2006
docs/research/CP021B-R17-SOURCE-SEARCH-LOG.tsv	archive/research-history/docs/research/CP021B-R17-SOURCE-SEARCH-LOG.tsv	CURRENT_IDENTICAL	a8372bfa4ce4dd10b6fb433d27d802ba09d8e5b39983f255e13bbd03867b9680	3489
docs/research/CP021B-R18-RESEARCH-CHECKPOINT.md	archive/research-history/docs/research/CP021B-R18-RESEARCH-CHECKPOINT.md	CURRENT_IDENTICAL	72bd8a4905a3dc3da8fd01ea10d2ea368240fd5ff8d2b222e38f838c7a0118b2	2414
