id	ordinal	item_type	turn	speaker	vocabulary_ordinal	source_cantonese	source_jyutping	source_english	source_hash	previous_turn_id	next_turn_id	deduplication_relation	ingress_classification	runtime_lexical_owners	canonical_exact_owners	supporting_exact_owners	review_flags	review_state
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I001	1	dialog_turn	1	阿明		喂,下個禮拜就冬至喇!	/Aa3 Ming4: Wai3, haa6 go3 lai5 baai3 zau6 dung1 zi3 laa3!/		sha256:a8dd8fe7670016b7223824357d83f7e429721eb03d2bc1d3949853c46e52b968		GLOSSIKA-YUEHK-A1-DLG-003-20251214-I002	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I002	2	dialog_turn	2	小紅		係呀!你屋企會唔會食湯圓呀?	/Siu2 Hung4: Hai6 aa3! Nei5 uk1 kei2 wui5 m4 wui5 sik6 tong1 jyun4 aa3?/		sha256:d0694cb6fd2d03fcf60b2eaaffdff034420ba9c469ed07bd746cf0e00b2f14e3	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I001	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I003	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I003	3	dialog_turn	3	阿明		會呀!你呢?	/Aa3 Ming4: Wui5 aa3! Nei5 ne1?/		sha256:32235bf80eeabe9ce0a26c3b7d1febc3f6ab17c08bf64a39aab8a16ab10fed00	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I002	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I004	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I004	4	dialog_turn	4	小紅		我哋每年都整㗎。	/Siu2 Hung4: Ngo5 dei6 mui5 nin4 dou1 zing2 gaa3./		sha256:e16e74bc2fe15c22c3fc5b5ccf67c452c3148d91b2bc0def6d56d9e454ae016f	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I003	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I005	no_project_match	new_attestation				distributive_mui5_dou1|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I005	5	dialog_turn	5	阿明		自己整定買㗎?	/Aa3 Ming4: Zi6 gei2 zing2 ding6 maai5 gaa3?/		sha256:37bf75dbb5a239942d3137fb32ca50e0244ef1ce873329d16696f1b0ec3d302a	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I004	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I006	no_project_match	naturalness_review_candidate				naturalness_review_candidate|alternative_question_ding6|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I006	6	dialog_turn	6	小紅		自己整呀!好玩好多!	/Siu2 Hung4: Zi6 gei2 zing2 aa3! Hou2 waan2 hou2 do1!/		sha256:c307dfe20af5d674836a3b9feac59d19ae29b4887c2f059231ad09e1b7f66915	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I005	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I007	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I007	7	dialog_turn	7	阿明		我未試過整喎。	/Aa3 Ming4: Ngo5 mei6 si3 gwo3 zing2 wo3./		sha256:426a43079f6d6842dad6a7dfbb5083a50aa11ab3f6df0f348e29bda1b6235066	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I006	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I008	no_project_match	naturalness_review_candidate				naturalness_review_candidate|negative_experiential_mei6_gwo3|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I008	8	dialog_turn	8	小紅		唔難㗎!我教你!	/Siu2 Hung4: M4 naan4 gaa3! Ngo5 gaau3 nei5!/		sha256:77ce3d0246ea0b5eef5cffe05cc5e16b80dda62f77bee2ffb0d3c0c5fe6de04f	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I007	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I009	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I009	9	dialog_turn	9	阿明		真㗎?咁好呀!	/Aa3 Ming4: Zan1 gaa3? Gam3 hou2 aa3!/		sha256:b465b0faa0cb34eacd1cff4626749bc47cd01db59c60d632f6d9bfcba2647a57	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I008	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I010	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I010	10	dialog_turn	10	小紅		要買糯米粉,仲有糖。	/Siu2 Hung4: Jiu3 maai5 no6 mai5 fan2, zung6 jau5 tong4./		sha256:79b1d2c7da4d109ff07234bef6b487b61f94421f49ae0d1ea4ada861f32d3304	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I009	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I011	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
