id	ordinal	item_type	turn	speaker	vocabulary_ordinal	source_cantonese	source_jyutping	source_english	source_hash	source_dialog_exact_surface_present	previous_turn_id	next_turn_id	deduplication_relation	ingress_classification	runtime_lexical_owners	canonical_exact_owners	supporting_exact_owners	review_flags	review_state
GLOSSIKA-YUEHK-A1-DLG-015-20260315-I001	1	dialog_turn	1	志明		美玲，我尋日收到個好奇怪嘅工作機會。	/mei5 ling4, ngo5 cam4 jat6 sau1 dou2 go3 hou2 kei4 gwaai3 ge3 gung1 zok3 gei1 wui6./		sha256:2a1155cc586ad91787c779b780a1af634768916559809e483c519fb71dcfa122			GLOSSIKA-YUEHK-A1-DLG-015-20260315-I002	no_project_match	naturalness_review_candidate				naturalness_review_candidate|trust_scam_potential_complement_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-015-20260315-I002	2	dialog_turn	2	美玲		奇怪？點奇怪法呀？	/kei4 gwaai3? dim2 kei4 gwaai3 faat3 aa3?/		sha256:867a15b85a545bcf18ae8930fbbe87c6c9ec13246fa80dcdbe01f384278e232b		GLOSSIKA-YUEHK-A1-DLG-015-20260315-I001	GLOSSIKA-YUEHK-A1-DLG-015-20260315-I003	no_project_match	naturalness_review_candidate				naturalness_review_candidate|trust_scam_potential_complement_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-015-20260315-I003	3	dialog_turn	3	志明		佢哋話人工好高，又話工作好輕鬆。	/keoi5 dei6 waa6 jan4 gung1 hou2 gou1, jau6 waa6 gung1 zok3 hou2 hing1 sung1./		sha256:ccbcd8f353c14835269e50eceb02cb82c7e2d7006ccb0a0761c74374416dfa8e		GLOSSIKA-YUEHK-A1-DLG-015-20260315-I002	GLOSSIKA-YUEHK-A1-DLG-015-20260315-I004	no_project_match	naturalness_review_candidate				naturalness_review_candidate|trust_scam_potential_complement_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-015-20260315-I004	4	dialog_turn	4	美玲		吓？有幾高人工呀？	/haa2? jau5 gei2 gou1 jan4 gung1 aa3?/		sha256:ac267889cea8abcbb83876a8f35877d5c52f800c6a6a27037d237715054ca2b4		GLOSSIKA-YUEHK-A1-DLG-015-20260315-I003	GLOSSIKA-YUEHK-A1-DLG-015-20260315-I005	no_project_match	naturalness_review_candidate				naturalness_review_candidate|trust_scam_potential_complement_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-015-20260315-I005	5	dialog_turn	5	志明		一個月三萬蚊，但係我係新人嚟㗎。	/jat1 go3 jyut6 saam1 maan6 man1, daan6 hai6 ngo5 hai6 san1 jan4 lai4 gaa3./		sha256:ec890653a8f4bc9647953dfb4e27823df970a0507532cddeb2325c202c8e8926		GLOSSIKA-YUEHK-A1-DLG-015-20260315-I004	GLOSSIKA-YUEHK-A1-DLG-015-20260315-I006	no_project_match	naturalness_review_candidate				naturalness_review_candidate|trust_scam_potential_complement_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-015-20260315-I006	6	dialog_turn	6	美玲		三萬？！咁係咪太好喇？	/saam1 maan6?! gam2 hai6 mai6 taai3 hou2 laa3?/		sha256:827f3b862ba90de8241a25919ad6b2e34f7ff014a59a0757a38bfcb50d4b4d76		GLOSSIKA-YUEHK-A1-DLG-015-20260315-I005	GLOSSIKA-YUEHK-A1-DLG-015-20260315-I007	no_project_match	naturalness_review_candidate				naturalness_review_candidate|trust_scam_potential_complement_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-015-20260315-I007	7	dialog_turn	7	志明		我都覺得好可疑。你話我信唔信得過佢哋？	/ngo5 dou1 gok3 dak1 hou2 ho2 ji4. nei5 waa6 ngo5 seon3 m4 seon3 dak1 gwo3 keoi5 dei6?/		sha256:d8bae9167ec4ed29044c1527e6b8fc453e0ad3cf95e5c47dbf80e2f1b54c3396		GLOSSIKA-YUEHK-A1-DLG-015-20260315-I006	GLOSSIKA-YUEHK-A1-DLG-015-20260315-I008	no_project_match	naturalness_review_candidate				naturalness_review_candidate|trust_scam_potential_complement_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-015-20260315-I008	8	dialog_turn	8	美玲		你有冇問清楚係做咩工㗎？	/nei5 jau5 mou5 man6 cing1 co2 hai6 zou6 me1 gung1 gaa3?/		sha256:6991240e1690b8f536b6f4261578523d0dc1aa0e0ddc207277a64d7a8ff00a07		GLOSSIKA-YUEHK-A1-DLG-015-20260315-I007	GLOSSIKA-YUEHK-A1-DLG-015-20260315-I009	no_project_match	naturalness_review_candidate				naturalness_review_candidate|trust_scam_potential_complement_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-015-20260315-I009	9	dialog_turn	9	志明		佢哋話係做銷售，但係冇講清楚賣乜嘢。	/keoi5 dei6 waa6 hai6 zou6 siu1 sau6, daan6 hai6 mou5 gong2 cing1 co2 maai6 mat1 je5./		sha256:1e1183589e5ef846ab58a29d2d9def68f56281ae046eb4490bb0b41f8aa654b6		GLOSSIKA-YUEHK-A1-DLG-015-20260315-I008	GLOSSIKA-YUEHK-A1-DLG-015-20260315-I010	no_project_match	naturalness_review_candidate				naturalness_review_candidate|trust_scam_potential_complement_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-015-20260315-I010	10	dialog_turn	10	美玲		咁就有問題喇！正常公司會講清楚㗎。	/gam2 zau6 jau5 man6 tai4 laa3! zing3 soeng4 gung1 si1 wui5 gong2 cing1 co2 gaa3./		sha256:f70995ea9c9f540dcdaf24b109528be50d20768922c60109f3bb74f6495d3606		GLOSSIKA-YUEHK-A1-DLG-015-20260315-I009	GLOSSIKA-YUEHK-A1-DLG-015-20260315-I011	no_project_match	naturalness_review_candidate				naturalness_review_candidate|trust_scam_potential_complement_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-015-20260315-I011	11	dialog_turn	11	志明		仲有，佢哋話要先交一千蚊培訓費。	/zung6 jau5, keoi5 dei6 waa6 jiu3 sin1 gaau1 jat1 cin1 man1 pui4 fan3 fai3./		sha256:7411d5a13f3af115b92ea76c566392e418319ae029a056b6875ddcecf2795d39		GLOSSIKA-YUEHK-A1-DLG-015-20260315-I010	GLOSSIKA-YUEHK-A1-DLG-015-20260315-I012	no_project_match	naturalness_review_candidate				naturalness_review_candidate|trust_scam_potential_complement_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-015-20260315-I012	12	dialog_turn	12	美玲		吓？！交錢先？咁一定係呃人㗎喇！	/haa2?! gaau1 cin2 sin1? gam2 jat1 ding6 hai6 aak1 jan4 gaa3 laa3!/		sha256:1e143288290fbe1951a43579fb5e8deb8df5ee4091f9a479249c74daeb9d39d5		GLOSSIKA-YUEHK-A1-DLG-015-20260315-I011	GLOSSIKA-YUEHK-A1-DLG-015-20260315-I013	no_project_match	naturalness_review_candidate				naturalness_review_candidate|trust_scam_potential_complement_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-015-20260315-I013	13	dialog_turn	13	志明		我都覺得好似係呃人。	/ngo5 dou1 gok3 dak1 hou2 ci5 hai6 aak1 jan4./		sha256:613c6029488bd25f89756b5de88e82bf9c15f1fb801b0fd64c85c1f619917969		GLOSSIKA-YUEHK-A1-DLG-015-20260315-I012	GLOSSIKA-YUEHK-A1-DLG-015-20260315-I014	no_project_match	naturalness_review_candidate				naturalness_review_candidate|trust_scam_potential_complement_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-015-20260315-I014	14	dialog_turn	14	美玲		你千祈唔好畀錢佢哋呀！	/nei5 cin1 kei4 m4 hou2 bei2 cin2 keoi5 dei6 aa3!/		sha256:305e8f98cf857883f6826cb49baf07bc9a55e8c689390a40349dff45889f413f		GLOSSIKA-YUEHK-A1-DLG-015-20260315-I013	GLOSSIKA-YUEHK-A1-DLG-015-20260315-I015	no_project_match	naturalness_review_candidate				naturalness_review_candidate|trust_scam_potential_complement_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-015-20260315-I015	15	dialog_turn	15	志明		但係佢哋話培訓完就會退返畀我。	/daan6 hai6 keoi5 dei6 waa6 pui4 fan3 jyun4 zau6 wui5 teoi3 faan1 bei2 ngo5./		sha256:379fe29e1f67d04403c5b84c1b5e36865f8df18ef22f37897205513b37129560		GLOSSIKA-YUEHK-A1-DLG-015-20260315-I014	GLOSSIKA-YUEHK-A1-DLG-015-20260315-I016	no_project_match	naturalness_review_candidate				naturalness_review_candidate|trust_scam_potential_complement_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-015-20260315-I016	16	dialog_turn	16	美玲		邊有咁大隻蛤乸隨街跳㗎？唔好信佢哋！	/bin1 jau5 gam3 daai6 zek3 gaap3 naa2 ceoi4 gaai1 tiu3 gaa3? m4 hou2 seon3 keoi5 dei6!/		sha256:9789cd6ade445d3ec718f45a60ea0c599305cf19cb6b2acc4d0b2e9099f1fed8		GLOSSIKA-YUEHK-A1-DLG-015-20260315-I015	GLOSSIKA-YUEHK-A1-DLG-015-20260315-I017	no_project_match	naturalness_review_candidate				naturalness_review_candidate|trust_scam_potential_complement_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
