rank	word	cifu_jyutping	cifu_definition	hkcancor_hits	hkcancor_observed_bucket_count	hkcancor_pos_counts	hkcancor_ud_counts	hkcancor_jyutping_counts
501	地	dei6	earth/ground/field/place/land/CL:片[pin](Mandarin)/CL:塊[faai]/CL:笪[daat]/-ly/structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct	17	5	"{""Ng"": 1, ""k"": 9, ""n"": 3, ""u"": 4}"	"{""X"": 9, ""NOUN"": 4, ""PART"": 4}"	"{""dei2"": 1, ""dei6"": 16}"
502	明	ming4	bright/clear/to understand/next/public or open/wise/Ming Dynasty (1368-1644)/surname Ming	43	3	"{""a"": 1, ""nr"": 15, ""v"": 27}"	"{""VERB"": 27, ""PROPN"": 15, ""ADJ"": 1}"	"{""ming4"": 43}"
503	鬼	gwai2	"ghost/CL:隻[jek]/a westerner/a traitor; an informer within an organisation, a ""mole""."	72	2	"{""d1"": 64, ""n"": 8}"	"{""ADV"": 64, ""NOUN"": 8}"	"{""gwai2"": 72}"
504	最後	zeoi3hau6	final/last/finally/ultimate	25	2	"{""f"": 11, ""t"": 14}"	"{""ADV"": 25}"	"{""zeoi3hau6"": 25}"
505	憂	jau1	to worry/to concern oneself with/worried/anxiety/sorrow/a parent's funeral/inconvenienced by being orphaned	0	0	{}	{}	{}
506	一次	jat1ci3	first/first time/once/(math.) linear (of degree one)	0	0	{}	{}	{}
507	加	gaa1	to add/plus/abbr. for Canada 加拿大	27	2	"{""d"": 1, ""v"": 26}"	"{""VERB"": 26, ""ADV"": 1}"	"{""gaa1"": 27}"
508	受	sau6	to receive/to accept/to suffer/subjected to/to bear/to stand/pleasant/(passive marker)	5	2	"{""v"": 4, ""x"": 1}"	"{""VERB"": 4, ""X"": 1}"	"{""sau6"": 5}"
509	肯定	hang2ding6	to be sure/to be certain/sure/certain/definite/to confirm/to affirm/affirmative	24	3	"{""a"": 12, ""d"": 8, ""v"": 4}"	"{""ADJ"": 12, ""ADV"": 8, ""VERB"": 4}"	"{""hang2ding6"": 24}"
510	能夠	nang4gau3	be capable of/can/is able	12	2	"{""v"": 2, ""vu"": 10}"	"{""AUX"": 10, ""VERB"": 2}"	"{""nang4gau3"": 12}"
511	瑞	seoi6	lucky/auspicious/propitious/rayl (acoustical unit)	0	0	{}	{}	{}
512	電腦	din6nou5	computer	30	1	"{""n"": 30}"	"{""NOUN"": 30}"	"{""din6nou5"": 30}"
513	領	ling5|leng5	neck/collar/to lead/to receive	0	0	{}	{}	{}
514	長	coeng4|zoeng2	length/long/forever/always/constantly|chief/head/elder/to grow/to develop/to increase/to enhance	27	1	"{""a"": 27}"	"{""ADJ"": 27}"	"{""coeng4"": 27}"
515	信心	seon3sam1	confidence/faith (in sb or sth)	42	1	"{""n"": 42}"	"{""NOUN"": 42}"	"{""seon3sam1"": 42}"
516	後尾	*hau6mei5	NO DEF	29	3	"{""f"": 15, ""t"": 14}"	"{""ADV"": 29}"	"{""hau1mei1"": 5, ""hau6mei1"": 24}"
