rank	word	cifu_jyutping	cifu_definition	hkcancor_hits	hkcancor_observed_bucket_count	hkcancor_pos_counts	hkcancor_ud_counts	hkcancor_jyutping_counts
1251	畢業	bat1jip6	graduation/to graduate/to finish school	12	2	"{""v"": 10,""vn"": 2}"	"{""NOUN"": 2,""VERB"": 10}"	"{""bat1jip6"": 12}"
1252	剩	zing6|sing6	to remain/to be left/to have as remainder	9	3	"{""d"": 1,""r"": 1,""v"": 7}"	"{""ADV"": 1,""PRON"": 1,""VERB"": 7}"	"{""zing6"": 9}"
1253	幾大	*gei2|gei1daai6	NO DEF	2	1	"{""r"": 2}"	"{""PRON"": 2}"	"{""gei2daai6"": 2}"
1254	提供	tai4gung1	to supply/to provide/to furnish	2	1	"{""v"": 2}"	"{""VERB"": 2}"	"{""tai4gung1"": 2}"
1255	象徵	zoeng6zing1	emblem/symbol/token/badge/to symbolize/to signify/to stand for	0	0	{}	{}	{}
1256	感情	gam2cing4	feeling/emotion/sensation/likes and dislikes/deep affection for sb or sth/relationship (i.e. love affair)	4	1	"{""n"": 4}"	"{""NOUN"": 4}"	"{""gam2cing4"": 4}"
1257	號	hou6	day of a month/(suffix used after) name of a ship/(ordinal) number/roar/cry	23	1	"{""q"": 23}"	"{""NOUN"": 23}"	"{""hou6"": 23}"
1258	解決	gaai2kyut3	to settle (a dispute)/to resolve/to solve	0	0	{}	{}	{}
1259	試下	*si3haa6	NO DEF	0	0	{}	{}	{}
1260	熄	sik1	to extinguish/to put out (fire)/to quench/to stop burning/to go out (of fire, lamp etc)/to come to an end/to wither away/to die out	10	1	"{""v"": 10}"	"{""VERB"": 10}"	"{""sik1"": 10}"
1261	廠	cong2	factory/hospital	18	1	"{""n"": 18}"	"{""NOUN"": 18}"	"{""cong2"": 18}"
1262	熟	suk6	cooked (of food)/ripe (of fruit)/mature (of seeds)/familiar/skilled/done	14	1	"{""a"": 14}"	"{""ADJ"": 14}"	"{""suk6"": 14}"
1263	適合	sik1hap6	to fit/to suit	12	2	"{""a"": 11,""v"": 1}"	"{""ADJ"": 11,""VERB"": 1}"	"{""sik1hap6"": 12}"
1264	靚女	leng3neoi2	pretty girl	17	2	"{""a"": 1,""n"": 16}"	"{""ADJ"": 1,""NOUN"": 16}"	"{""leng3neoi2"": 17}"
1265	儲	cyu5	savings/to save/to deposit/to store/surname Chu/Taiwan pr. chu2	37	2	"{""v"": 37}"	"{""VERB"": 37}"	"{""cou5"": 35,""cyu5"": 2}"
1266	應	jing1|jing3	ought/surname Ying/to answer/to respond	5	3	"{""d"": 2,""g1"": 1,""v"": 2}"	"{""ADV"": 2,""VERB"": 3}"	"{""jing1"": 3,""jing3"": 2}"
1267	戲	hei3	drama/play/show/trick/CL:齣[chēut],場[chèuhng],臺[tòih]	37	1	"{""n"": 37}"	"{""NOUN"": 37}"	"{""hei3"": 37}"
1268	擦膠	caat3gaau1	NO DEF	0	0	{}	{}	{}
1269	禮物	lai5mat6	gift/present	9	1	"{""n"": 9}"	"{""NOUN"": 9}"	"{""lai5mat6"": 9}"
1270	雞	gai1	fowl/chicken/CL:隻[jek]/a prostitute/ten thousand dollars/the trigger of a gun/a whistle	7	1	"{""n"": 7}"	"{""NOUN"": 7}"	"{""gai1"": 7}"
1271	懷疑	waai4ji4	to doubt/to suspect/doubt/suspicion/skeptical	3	1	"{""v"": 3}"	"{""VERB"": 3}"	"{""waai4ji4"": 3}"
1272	鐘意	zung1ji3	like	7	1	"{""v"": 7}"	"{""VERB"": 7}"	"{""zung1ji3"": 7}"
1273	權	kyun4	authority/power/right	12	1	"{""n"": 12}"	"{""NOUN"": 12}"	"{""kyun4"": 12}"
1274	鑑林	*gaam3lam4	NO DEF	0	0	{}	{}	{}
1275	三點	saam1dim2	NO DEF	4	1	"{""t"": 4}"	"{""ADV"": 4}"	"{""saam1dim2"": 4}"
1276	下邊	haa6bin1	under/the underside/below	3	1	"{""f"": 3}"	"{""ADV"": 3}"	"{""haa6bin6"": 3}"
1277	公眾	gung1zung3	public	0	0	{}	{}	{}
1278	太過	*taai3gwo3	NO DEF	9	1	"{""d"": 9}"	"{""ADV"": 9}"	"{""taai3gwo3"": 9}"
1279	毋	mou4	no/not	0	0	{}	{}	{}
1280	四十五度	*sei3sap6m5dou6|dok6	NO DEF	0	0	{}	{}	{}
1281	左下	zo2haa6	lower left	0	0	{}	{}	{}
1282	平排	ping4paai4	NO DEF	0	0	{}	{}	{}
1283	必須	bit1seoi1	to have to/must	0	0	{}	{}	{}
1284	打直	daa2zik6	NO DEF	0	0	{}	{}	{}
1285	打斜	daa2ce3	NO DEF	0	0	{}	{}	{}
1286	民主黨	man4zyu2dong2	Democratic Party	0	0	{}	{}	{}
1287	任	jam6	to assign/to appoint/to take up a post/office/responsibility/to let/to allow/to give free rein to/no matter (how, what etc)/surname Ren	6	2	"{""nr"": 1,""v"": 5}"	"{""PROPN"": 1,""VERB"": 5}"	"{""jam6"": 6}"
1288	再落	*zoi3lok6	NO DEF	0	0	{}	{}	{}
1289	多數	do1sou3	majority/most	16	2	"{""d"": 2,""m"": 14}"	"{""ADV"": 2,""NUM"": 14}"	"{""do1sou3"": 16}"
1290	好大	*hou2|hou3daai6	NO DEF	0	0	{}	{}	{}
1291	好慘	*hou2|hou3caam2	NO DEF	0	0	{}	{}	{}
1292	收到	sau1dou3|sau1dou2	"to receive|used to say that one has understood, ""message received!""; ""understood!""; ""I get what you're saying!""/to receive (colloquial)"	0	0	{}	{}	{}
1293	有機	jau5gei1	organic	1	1	"{""a"": 1}"	"{""ADJ"": 1}"	"{""jau5gei1"": 1}"
1294	告	gou3	to sue/to tell/to inform/to say	3	1	"{""v"": 3}"	"{""VERB"": 3}"	"{""gou3"": 3}"
1295	我估	*ngo5gu2|gu3	NO DEF	0	0	{}	{}	{}
1296	我畫	*ngo5waak6|waa2	NO DEF	0	0	{}	{}	{}
1297	言論	jin4leon6	expression of (political) opinion	0	0	{}	{}	{}
1298	受到	sau6dou3	to receive/to suffer/obtained/given	5	1	"{""v"": 5}"	"{""VERB"": 5}"	"{""sau6dou3"": 5}"
1299	咁上下	gam3soeng6haa2	NO DEF	11	1	"{""d"": 11}"	"{""ADV"": 11}"	"{""gam3soeng6haa2"": 11}"
1300	波浪	bo1long6	wave	0	0	{}	{}	{}
1301	知有	*zi1|zi3jau5	NO DEF	0	0	{}	{}	{}
1302	阿哥	aa3go1	(familiar) elder brother	14	1	"{""n"": 14}"	"{""NOUN"": 14}"	"{""aa3go1"": 14}"
1303	後生	*hau6saang1|sang1	NO DEF	4	1	"{""a"": 4}"	"{""ADJ"": 4}"	"{""hau6saang1"": 4}"
1304	後面	hau6min6	rear/back/behind/later/afterwards	4	1	"{""f"": 4}"	"{""ADV"": 4}"	"{""hau6min6"": 4}"
1305	計劃	gai3waak6	plan/project/program/to plan/to map out	2	2	"{""n"": 1,""v"": 1}"	"{""NOUN"": 1,""VERB"": 1}"	"{""gai3waak6"": 2}"
1306	個害	*go3hoi6	NO DEF	0	0	{}	{}	{}
1307	唔好意思	m4hou2ji3si3	excuse me	7	4	"{""a"": 1,""d"": 2,""l1"": 2,""v"": 2}"	"{""ADJ"": 1,""ADV"": 2,""VERB"": 2,""X"": 2}"	"{""m4hou2ji3si1"": 7}"
1308	租	zou1	rent/taxes	18	2	"{""Ng"": 9,""v"": 9}"	"{""NOUN"": 9,""VERB"": 9}"	"{""zou1"": 18}"
1309	純粹	seon4seoi6	purely	8	1	"{""d"": 8}"	"{""ADV"": 8}"	"{""seon4seoi5"": 8}"
1310	高度	gou1dou6	height/altitude/elevation/high degree/highly	1	1	"{""n"": 1}"	"{""NOUN"": 1}"	"{""gou1dou6"": 1}"
1311	基本法	gei1bun2faat3	Basic Law	0	0	{}	{}	{}
1312	將個	*zoeng1|zoeng3go3	NO DEF	0	0	{}	{}	{}
1313	理論	lei5leon6	theory	3	1	"{""n"": 3}"	"{""NOUN"": 3}"	"{""lei5leon6"": 3}"
1314	處	cyu2|cyu3|syu3	place/location/spot/point/office/department/bureau/respect/one's virginity/classifier for locations or items of damage: spot, point/to reside/to live/to dwell/to be in/to be situated at/to stay/to get along with/to be in a position of/to deal with/to discipline/to punish	3	1	"{""n"": 3}"	"{""NOUN"": 3}"	"{""cyu3"": 3}"
1315	喊	haam3	to cry/to yell/to shout/to call out for (a person)	11	1	"{""v"": 11}"	"{""VERB"": 11}"	"{""haam3"": 11}"
1316	圍住	wai4zyu6	to surround/to gird	0	0	{}	{}	{}
1317	尊嚴	zyun1jim4	dignity/sanctity/honor	3	1	"{""n"": 3}"	"{""NOUN"": 3}"	"{""zyun1jim4"": 3}"
1318	發	faat3	"to send out/to show (one's feeling)/to issue/to develop/(classifier for gunshots, ""rounds"")"	9	4	"{""Vg"": 1,""a"": 1,""g1"": 1,""v"": 6}"	"{""ADJ"": 1,""VERB"": 8}"	"{""faat3"": 9}"
1319	照	ziu3	according to/in accordance with/to shine/to illuminate/to reflect/to take (a photo)/photo/as requested/as before/to protect/to support/to back-up	14	4	"{""n"": 1,""p"": 1,""v"": 11,""vd"": 1}"	"{""ADP"": 1,""ADV"": 1,""NOUN"": 1,""VERB"": 11}"	"{""ziu3"": 14}"
1320	落落	*lok6lok6	NO DEF	0	0	{}	{}	{}
1321	資料	zi1liu2	material/resources/data/information	9	1	"{""n"": 9}"	"{""NOUN"": 9}"	"{""zi1liu2"": 9}"
1322	審	sam2	to examine/to investigate/carefully/to try (in court)	2	1	"{""v"": 2}"	"{""VERB"": 2}"	"{""sam2"": 2}"
