construction	construction_claim_id	claim_layer	parser_claim	source_id	source_relationship	exact_locator	source_proposition	implementation_effect	forbidden_inference	verification_state	current_disposition
ModalVP	MV-C01	language	Cantonese modal auxiliaries precede the VP they modify and normally occur after the subject.	SRC-LUKE-NANCARROW-1998-AUXILIARIES	supports	printed p. 81; PDF p. 87, section 1	The authors identify auxiliaries such as 會 and 可以 in the clause position after the subject and before the VP.	Retain an overt auxiliary-before-VP relation as the sourced core.	Do not treat every preverbal function word or stance item as a modal auxiliary.	VERIFIED_SCHOLARLY_FULL_TEXT_SCAN	SOURCE_LINKED_SPLIT_AND_LEXICAL_SCOPE_NARROWING_REQUIRED
ModalVP	MV-C02	language	Core Cantonese auxiliaries do not take NP objects and do not normally stand independently of a following VP except under ellipsis.	SRC-LUKE-NANCARROW-1998-AUXILIARIES	supports_boundary	printed p. 84; PDF p. 90, examples (14)-(16)	會 and 可以 reject direct NP-object uses in the auxiliary reading and depend on a following VP.	Require a VP complement for the core auxiliary profile while preserving separately licensed ellipsis.	Do not infer that words with both main-verb and auxiliary uses can never take objects.	VERIFIED_SCHOLARLY_FULL_TEXT_SCAN	SOURCE_LINKED_SPLIT_AND_LEXICAL_SCOPE_NARROWING_REQUIRED
ModalVP	MV-C03	language	An auxiliary placed before the first VP can take scope over a multi-VP sequence.	SRC-LUKE-NANCARROW-1998-AUXILIARIES	supports_scope	printed pp. 82-84; PDF pp. 88-90, examples (3)-(4), (10)-(13)	Examples with 會, 肯, 敢, and 可以 show auxiliary scope over following VP sequences when the auxiliary precedes the first VP.	Permit modal scope over an independently licensed VP chain only when the surface position supports that scope.	Do not use VP adjacency alone to create an unrestricted serial-chain complement.	VERIFIED_SCHOLARLY_FULL_TEXT_SCAN	SOURCE_LINKED_SPLIT_AND_LEXICAL_SCOPE_NARROWING_REQUIRED
ModalVP	MV-C04	language	Moving an auxiliary between VPs can change structure and scope or yield an unacceptable sequence.	SRC-LUKE-NANCARROW-1998-AUXILIARIES	supports_boundary	printed pp. 83-84; PDF pp. 89-90, examples (10b)-(13b)	The article contrasts auxiliary-before-first-VP scope with later placement that is unacceptable or belongs to a different clause.	Keep auxiliary attachment and scope sensitive to overt position and clause boundaries.	Do not freely attach a modal to any later VP in a sequence.	VERIFIED_SCHOLARLY_FULL_TEXT_SCAN	SOURCE_LINKED_SPLIT_AND_LEXICAL_SCOPE_NARROWING_REQUIRED
ModalVP	MV-C05	language	Cantonese auxiliaries form a heterogeneous class with core and non-core members, some of which also have main-verb uses.	SRC-LUKE-NANCARROW-1998-AUXILIARIES	supports_split	printed pp. 81, 89-92; PDF pp. 87, 95-98	The authors distinguish ten core and seven non-core auxiliaries; non-core items may also function as main verbs.	Split lexical entries by attested use rather than assigning one uniform modal behavior to every listed form.	Do not turn the article's descriptive word-class proposal into a single homogeneous parser node.	VERIFIED_SCHOLARLY_FULL_TEXT_SCAN	SOURCE_LINKED_SPLIT_AND_LEXICAL_SCOPE_NARROWING_REQUIRED
ModalVP	MV-C06	language	The runtime modal inventory spans distinct meanings including prediction, ability, permission, obligation, willingness, and knowing how.	SRC-LUKE-NANCARROW-1998-AUXILIARIES	supports_semantic_split	printed pp. 89-92 and 98; PDF pp. 95-98 and 104	The source inventories 可以, 會, 識, 應該, 能夠, 肯, 要, 想 and others with differing modal functions.	Preserve lexical modal subtype information and avoid a meaning-neutral cross-product.	Do not assign one English gloss or one selection profile to all modal forms.	VERIFIED_SCHOLARLY_FULL_TEXT_SCAN	SOURCE_LINKED_SPLIT_AND_LEXICAL_SCOPE_NARROWING_REQUIRED
ModalVP	MV-C07	language	A modal auxiliary precedes the main verb, but an adverb may intervene between the auxiliary and that verb.	SRC-YIP-MATTHEWS-2000-BASIC	supports_word_order	Unit 20, printed p. 104; PDF p. 117	Examples include 可以先去, 應該多啲運動, and 想快啲畢業.	Allow sourced intervening adverbial material without treating every modifier as modal-internal.	Do not require strict token adjacency between modal and lexical verb.	VERIFIED_FULL_TEXT	SOURCE_LINKED_SPLIT_AND_LEXICAL_SCOPE_NARROWING_REQUIRED
ModalVP	MV-C08	language	Postverbal 得 ability or possibility expressions are structurally distinct from preverbal 可以.	SRC-YIP-MATTHEWS-2000-BASIC	supports_split	Unit 20, printed p. 106; PDF p. 119	The grammar contrasts preverbal 可以 with often more natural postverbal 得 ability and possibility expressions.	Keep preverbal modal and postverbal potential/acceptability constructions separate.	Do not normalize all can meanings to ModalVP or rewrite 得 as hidden 可以.	VERIFIED_FULL_TEXT	SOURCE_LINKED_SPLIT_AND_LEXICAL_SCOPE_NARROWING_REQUIRED
ModalVP	MV-C09	language	Negative necessity with 要 uses the suppletive form 唔使 rather than a uniform negator plus 要 rule.	SRC-YIP-MATTHEWS-2000-BASIC	supports_lexical_negation_split	Unit 20, printed p. 105; PDF p. 118	The grammar contrasts 唔要 for not wanting with 唔使 for not needing to do something.	Lexically distinguish desire negation from necessity negation.	Do not let the generic negator slot predict 唔要 as the negative of every auxiliary 要 reading.	VERIFIED_FULL_TEXT	SOURCE_LINKED_SPLIT_AND_LEXICAL_SCOPE_NARROWING_REQUIRED
ModalVP	MV-C10	representation	The runtime modal slot combines positive auxiliaries, suppletive negative 唔使, and the already interrogative form 可唔可以.	PROJECT-CP021B-R14-MODALS	records_runtime_conflation	main.js lexical entries 768-774, 820; modal slot rule near 1847	The same modal slot admits 想, 要, 可以, 會, 識, 使, 唔使, and 可唔可以 despite polarity and interrogative differences.	Split lexical auxiliary, negative-necessity, and modal-question forms before any implementation change.	Do not present the current slot inventory as an externally established Cantonese class.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_SPLIT_AND_LEXICAL_SCOPE_NARROWING_REQUIRED
ModalVP	MV-C11	representation	The runtime ModalVP template embeds optional subject, time, negator, manner, and particle inside one VP node.	PROJECT-CP021B-R14-MODALS	records_boundary_problem	main.js ModalVP template near 2471-2475	The template combines clause-level material with the modal-predicate relation, while other runtime functions also build subject/topic/location modal clauses around ModalVP.	Realign clause wrappers and VP-internal auxiliary structure in a future authorized design.	Do not infer from the template that subjects, times, or final particles are constituents of the auxiliary itself.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_SPLIT_AND_LEXICAL_SCOPE_NARROWING_REQUIRED
ModalVP	MV-C12	representation	The modal fallback accepts a broad set of prebuilt VP types and can wrap any recognized modal token followed by predicate material.	PROJECT-CP021B-R14-MODALS	records_overgeneration_risk	main.js modalPredicateFromNodes and modalVPFromNodes near 9088-9130; fallback near 15190	Runtime composition includes transitive, productive-VO, completion, directional, result-like, and serial-purpose children without lexical selection evidence for every modal-child pair.	Require independently supported complement structure and lexical compatibility; keep the broad fallback quarantined.	Do not infer a productive modal × VP-family cross-product from parser coverage.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_SPLIT_AND_LEXICAL_SCOPE_NARROWING_REQUIRED
