runtime_label	lane	claim_layer	current_status	origin_status	legacy_source_link_status	legacy_pattern_edge_count	claim_source_row_count	mapped_external_source_count	mapped_external_source_ids	mapping_batch	cumulative_mapping	mapping_status	mapping_disposition	research_priority	next_action
ANotAQuestion	LANE-07	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0	14	5	SRC-FAN-2026-JAU-VP,SRC-HARA-2023-POLAR,SRC-LAW-2001-ANOTA,SRC-LI-2017-ANOTA,SRC-YIP-1988-NEGATION	CP021B-R7	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R7.tsv	COMPLETE_WITH_SUBTYPE_AND_FORM_SPLIT_BOUNDARY	SOURCE_LINKED_SPLIT_REQUIRED	R7_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Split exact lexical A唔A, reduced-disyllabic forms, and suppletive 有冇+VP event questions before implementation; retain overt arms and do not encode discourse neutrality as a hard parse condition.
AcceptabilityANotA	LANE-07	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	3	1	SRC-LI-2017-ANOTA	CP021B-R7	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R7.tsv	GENERAL_FORM_LINKED_EXACT_SUBTYPE_GAP	GENERAL_ANOTA_FORM_LINKED_EXACT_CONSTRUCTION_GAP	R7_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Keep quarantined as a distinct node pending exact primary construction evidence; consider merging overt 得唔得 into lexical predicate A-not-A rather than assuming a special template.
AcceptabilityClause	LANE-07	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	7	2	SRC-CHENG-SYBESMA-2004-POSTVERBAL-DAK;SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R30	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R30.tsv	SOURCE_LINKED_DOU1_DAK1_ACCEPTABILITY_WITH_HOST_FREE_CHOICE_AND_FOCUS_SCOPE_SPLIT_REQUIRED	SOURCE_LINKED_DOU1_DAK1_ACCEPTABILITY_WITH_HOST_FREE_CHOICE_AND_FOCUS_SCOPE_SPLIT_REQUIRED	R30_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Preserve R30 marker, complement, scope, and exact-gap boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
ActionStativeVP	LANE-10	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0	8	4	SRC-ALDERETE-ETAL-2017-SYNOPSIS;SRC-BOND-SIO-2024-CLASSIFIERS;SRC-XIA-2025-CLASSIFIERS;SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R29	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R29.tsv	MIXED_QUANTITY_SCALAR_COMPLEMENT_MISANALYSIS_MERGE_OR_RETIRE_REQUIRED	MIXED_QUANTITY_SCALAR_COMPLEMENT_MISANALYSIS_MERGE_OR_RETIRE_REQUIRED	R29_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Preserve the R29 source boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
AdjectivalPredicateClause	LANE-10	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	4	2	SRC-ALDERETE-ETAL-2017-SYNOPSIS,SRC-FRANCIS-MATTHEWS-2005-VERB-CATEGORY	CP021B-R8	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R8.tsv	LANGUAGE_FORM_LINKED_DORMANT_DUPLICATE_LABEL	LANGUAGE_FORM_SUPPORTED_DORMANT_LABEL_MERGE_OR_RETIRE	R8_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Merge with a theory-neutral SubjectPredicateClause property/stative subtype or retire the dormant duplicate; do not activate a broad bare-adjective template.
PassivePermissiveRelation	LANE-01	language	provisional	legacy_source_linked_posthoc	scoped_edges_recorded	4	11	6	SRC-BODOMO-LAM-YU-2003,SRC-CHAN-2021-BEI,SRC-CHIN-2011-BEI,SRC-CHOW-2018-INDIRECT-PASSIVE,SRC-CHOW-2019-PASSIVE-PERMISSIVE,SRC-WONG-2023-BEI	CP021B-R1	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R5.tsv	COMPLETE_WITH_BOUNDARIES	SOURCE_RECONSTRUCTED_PROVISIONAL	R1_CLAIM_LEVEL_MAPPING_COMPLETE	Use the cumulative R4 source matrix; retain SOURCE_RECONSTRUCTED_PROVISIONAL until behavior review.
ApproximateQuantity	LANE-10	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	8	1	SRC-TANG-2024-CANTONESE-GRAMMAR-GUIDE	CP021B-R19	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R19.tsv	APPROXIMATION_MARKER_AND_POSITION_SPLIT_WITH_POSTCLASSIFIER_DOU6_SOURCE_GAP	APPROXIMATION_MARKER_AND_POSITION_SPLIT_WITH_POSTCLASSIFIER_DOU6_SOURCE_GAP	R19_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Preserve the R19 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
AssociativeNP	LANE-06	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	5	2	SRC-SIO-2011-GE3,SRC-YU-2006-NOMINAL-MODIFIERS	CP021B-R11	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R11.tsv	COMPLETE_WITH_GE3_MODIFIER_SUBTYPE_SPLIT	SOURCE_LINKED_SPLIT_REQUIRED	R11_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Split possessor/associative, relative, aboutness, and nominal-complement relations; do not infer one relation from 嘅.
BareClassifierNP	LANE-06	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	4	3	SRC-BOND-SIO-2024-CLASSIFIERS,SRC-CHENG-SYBESMA-1999-NP,SRC-SIMPSON-SOH-NOMOTO-2011-BARE-CL	CP021B-R5	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R5.tsv	COMPLETE_DORMANT_RETIRE_OR_REDEFINE	LANGUAGE_FORM_SUPPORTED_DORMANT_LABEL_REDEFINE_OR_RETIRE	R5_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Keep dormant; retire or redefine as a role-neutral alias for C-N, not classifier-alone ellipsis.
CausativeResultFrame	LANE-05	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	6	2	SRC-LAI-PANG-2023;SRC-MATTHEWS-YIP-2011-ASPECT-MULTIMEDIA	CP021B-R28	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R28.tsv	COMPLETE_WITH_SPLIT_GAP_MERGE_AND_REALIGNMENT_BOUNDARIES	SOURCE_LINKED_CRC_FAMILY_WITH_EXACT_JING2_LAM3_ZO2_FRAME_LEXICAL_NARROWING_REQUIRED	R28_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Retain broad CRC linkage but narrow the exact 整冧咗 frame by lexeme, argument structure, speaker/register evidence, and negative boundaries.
