search_id	query_or_target	source_type	outcome	used_for	limit_or_disposition
R18-S01	Rank 75 unmapped language labels by runtime references, accepted fixtures, registry state, and lane coherence	internal runtime and governance inspection	VERIFIED_INTERNAL	selection of residual Lane 03 subtype family	Internal impact is prioritization evidence only, not Cantonese grammar authority.
R18-S02	IdentificationFragment and LocativeFragment runtime template/fallback extraction	internal runtime inspection	VERIFIED_INTERNAL	active profile, optional particle, context-understood figure, and exact-template gaps	Runtime behavior does not establish linguistic validity.
R18-S03	PossessiveNominalFragment, ModalResponseFragment, and ProhibitiveFragment active-code and fixture screen	internal runtime/registry inspection	VERIFIED_INTERNAL	dormant duplicate status	Registry membership does not establish a construction.
R18-S04	Kwong 2018 contemporary Hong Kong Cantonese demonstratives and 就係 discourse sequence	official ACL Anthology full text	VERIFIED	full discourse attestation and non-deictic demonstrative boundary	Not an isolated fragment or productivity study.
R18-S05	Tang 2015 Cantonese 就係啦 and bare 就係 utterance-particle contrast	publisher full text	VERIFIED	particle-slot boundary for identification-like utterance use	Interpretation-specific; theory-specific analysis not imported.
R18-S06	Yip and Matthews 2000 copula, locative, possessive ge, and polite expression sections	descriptive reference grammar full text	VERIFIED	component constructions, headless possessor+嘅, and 唔好意思 formula boundary	Teaching examples are not exhaustive productivity evidence.
R18-S07	Kwan 2010 locative PP placement	peer-reviewed full text	VERIFIED_INHERITED_SOURCE	overt locative constituent and placement distinctions	Does not establish bare standalone answer ellipsis.
R18-S08	Lee and Pan 2024 Cantonese auxiliary/aspect ellipsis contrasts	official conference full text	VERIFIED	selective modal ellipsis and spatial/progressive 喺度 boundary	Movement and ellipsis analysis is theory-specific; not every example is a dialogue answer.
R18-S09	Luke and Nancarrow 1998 auxiliary standalone/ellipsis diagnostics	scholarly full-text scan	VERIFIED_INHERITED_SOURCE	modal response decomposition	One corpus and judgments do not establish exhaustive modern distribution.
R18-S10	Chin 2018 咪/唔好 prohibitive marker study	official repository abstract and metadata	VERIFIED_ABSTRACT	prohibitive versus ordinary negation and marker-specific distribution boundary	Abstract-level evidence cannot supply every syntactic environment.
R18-S11	Broad fixture-impact search that displayed three pre-existing locative held-out rows	internal access incident	RECORDED_NOT_USED	truthful held_out_opened state only	Rows excluded from claim formulation, evidence mapping, and disposition; no held-out file changed.
