search_id	date	query_or_action	source_or_engine	result	evidentiary_use	limitation
R26-S01	2026-07-19	Verify R25 package, 99/99 audit, and frozen hashes	local package inspection	PASS	baseline integrity only	Package metadata is not linguistic authority.
R26-S02	2026-07-19	Rank 43 remaining language labels by main.js references and non-held-out regression reach	local runtime and accepted snapshots	PASS	family selection	Counts rank impact but do not establish grammar.
R26-S03	2026-07-19	Extract ComplementEllipsisFragment profiles and five accepted opinion-frame fixtures	main.js and regression snapshots	PASS	runtime claim extraction	Code and fixtures are research targets only.
R26-S04	2026-07-19	Extract generic IntransitiveVP template and four accepted clause-linking fixtures	main.js and regression snapshots	PASS	runtime claim extraction	Surface token count does not establish valency.
R26-S05	2026-07-19	Review prior R17 fragment, response-particle, auxiliary, and VP-ellipsis evidence	cumulative project source maps and registers	PASS	reuse with inherited limits	Prior mapping does not automatically validate newly selected labels.
R26-S06	2026-07-19	Inspect Yip and Matthews 2000 adult Cantonese null-object and existential examples	peer-reviewed full-text PDF and official metadata	PASS	direct null-object/domain evidence	Primary focus is bilingual transfer; child rates and silent-topic theory are not imported.
R26-S07	2026-07-19	Inspect Lee and Pan 2024 selective Cantonese VP-ellipsis licensing	official proceedings PDF	PASS	ellipsis subtype boundary	Formal phase analysis is not parser ontology.
R26-S08	2026-07-19	Inspect uploaded Hong Kong Cantonese coursebook agreement and 同意 contexts	user-provided full-text PDF	PASS	exact pedagogical attestation	Pedagogical source does not prove productivity or frequency.
R26-S09	2026-07-19	Inspect Cantonese Grammar Synopsis simple VP valency inventory	university-hosted scholarly synopsis	PASS	general valency distinction	Not an exhaustive lexeme-level valency dictionary.
R26-S10	2026-07-19	Search for exact embedded 我都覺得有/係 and exact lexeme-level 笑 valency analysis	scholarly web and project source search	NO_DIRECT_MATCH	records exact-form gaps	Search failure is not negative grammaticality evidence.
R26-S11	2026-07-19	Assemble 30-row matrix and run deterministic parent/source/protected-tree audit	local deterministic audit	PASS	provenance integrity	Audit verifies consistency, not linguistic truth.
