search_id	date	query_or_action	source_or_engine	result	evidentiary_use	limitation
R20-S01	2026-07-18	Verify R19 checkpoint, 92/92 audit, manifest version, and frozen runtime hashes	local package inspection	PASS	baseline integrity only	Internal package metadata is not linguistic authority.
R20-S02	2026-07-18	Rank 65 remaining unmapped language labels by non-held-out accepted-fixture and runtime impact	local code/fixture inspection excluding held-out and evaluation paths	Selected identity/naming/wh/address family	research-family selection	Fixture frequency ranks impact, not grammatical legitimacy.
R20-S03	2026-07-18	Inspect Cantonese for Everyone pages 46-59 for names, titles, destinations, and whereabouts	user-provided rendered scan	Exact contextual forms recovered	narrow form attestation and pedagogical contrast	Scanned teaching source; no corpus frequency or productivity.
R20-S04	2026-07-18	Search 粵語（香港話）教程 for 邊個, 邊度, 邊+classifier, 叫, 叫做, titles, and negative address constraints	user-provided searchable PDF and pdftotext page mapping	Exact forms and explicit teaching contrasts recovered	page-level attestation and boundaries	Pedagogical/contrastive description is not exhaustive grammar.
R20-S05	2026-07-18	Inspect Wong 2023 wh-question sections	registered full-text research monograph	Wh-in-situ, where questions, and 邊+CL example verified	independent research corroboration	Clinical/developmental coding framework is not parser ontology.
R20-S06	2026-07-18	Verify Terms of Address in Cantonese bibliographic and scope metadata	JSTOR issue metadata and abstract-level records	Article and broad scope verified	address-system heterogeneity only	Full article text not inspected; no exact template claims.
R20-S07	2026-07-18	Search exact 邊個嚟 identity-question form in inspected textbooks and registered sources	full-text/local search	No direct authoritative exact hit recovered	records direct-source gap	Search failure is not evidence of ungrammaticality.
R20-S08	2026-07-18	Compare personal naming 叫 with runtime subject+叫做+name and definitional 叫做 uses	runtime plus uploaded textbook comparison	Lexical/complement split required	naming disposition	Examples do not prove all 叫/叫做 distributions.
R20-S09	2026-07-18	Assemble 40 claim-source rows and update coverage/source registers	local deterministic build	PASS	research provenance	Internal synthesis is not independent language evidence.
R20-S10	2026-07-18	Run parent-preservation, source-resolution, protected-tree, held-out non-access, JSON, and package audits	local deterministic audit	PASS	integrity verification	Audit verifies artifacts, not linguistic truth.
