construction	construction_claim_id	claim_layer	parser_claim	source_id	source_relationship	exact_locator	source_proposition	implementation_effect	forbidden_inference	verification_state	current_disposition
QuantifiedClassifierNP	QCN-C01	language	Cantonese licenses overt numeral/quantity + classifier + noun expressions, with the classifier overt between the numeral and nominal head.	SRC-BOND-SIO-2024-CLASSIFIERS	supports	pp. 61-62; Table 1; ex. 1b	X-C-N is one of four explicit Cantonese NP schemata; 一個蘋果 illustrates the order.	Retain the overt-head quantity+classifier+noun profile as a source-linked form.	Do not infer that every measure expression is a classifier NP, that classifier choice is unrestricted, or that the cited constituent analysis is uniquely settled.	VERIFIED_FULL_TEXT	SOURCE_LINKED_SPLIT_REQUIRED
QuantifiedClassifierNP	QCN-C01	language	Cantonese licenses overt numeral/quantity + classifier + noun expressions, with the classifier overt between the numeral and nominal head.	SRC-LAM-LAU-LEE-2024-SEGMENTATION	corroborates	p. 11998; section 4.3; examples 三本書 and 兩個人	The segmentation scheme identifies Numeral+Classifier+Noun as a productive Cantonese pattern with overt numeral-classifier and classifier-noun boundaries.	Retain the overt-head quantity+classifier+noun profile as a source-linked form.	Do not infer that every measure expression is a classifier NP, that classifier choice is unrestricted, or that the cited constituent analysis is uniquely settled.	VERIFIED_FULL_TEXT	SOURCE_LINKED_SPLIT_REQUIRED
QuantifiedClassifierNP	QCN-C01	language	Cantonese licenses overt numeral/quantity + classifier + noun expressions, with the classifier overt between the numeral and nominal head.	SRC-XIA-2025-CLASSIFIERS	supports_and_differentiates	p. 1 and pp. 6-10; Table 1 and Figure 2	Num-CL-N is grammatical in Cantonese and analyzed as [Num-[CL-N]] after constituency tests.	Retain the overt-head quantity+classifier+noun profile as a source-linked form.	Do not infer that every measure expression is a classifier NP, that classifier choice is unrestricted, or that the cited constituent analysis is uniquely settled.	VERIFIED_FULL_TEXT	SOURCE_LINKED_SPLIT_REQUIRED
QuantifiedClassifierNP	QCN-C02	language	When the nominal head is discourse-recoverable, a Cantonese numeral+classifier expression may omit the noun, but the classifier remains overt.	SRC-LAM-LAU-LEE-2024-SEGMENTATION	supports_and_restricts	p. 11998; example 1	佢有兩本 is accepted as “he has two (books),” while a bare numeral without a classifier does not license the same quantity reading.	Retain an explicitly head-elliptical Num+CL profile with context-required metadata and no inserted noun.	Do not treat a bare numeral as equivalent, invent an antecedent, or conflate noun ellipsis with a full overt-head NP.	VERIFIED_FULL_TEXT	SOURCE_LINKED_SPLIT_REQUIRED
QuantifiedClassifierNP	QCN-C02	language	When the nominal head is discourse-recoverable, a Cantonese numeral+classifier expression may omit the noun, but the classifier remains overt.	SRC-XIA-2025-CLASSIFIERS	supports_and_restricts	p. 8; ellipsis test following example 14	Head nouns in Num-CL-N can be elided while classifiers cannot; Cantonese is stated not to differ from Mandarin on this diagnostic.	Retain an explicitly head-elliptical Num+CL profile with context-required metadata and no inserted noun.	Do not treat a bare numeral as equivalent, invent an antecedent, or conflate noun ellipsis with a full overt-head NP.	VERIFIED_FULL_TEXT	SOURCE_LINKED_SPLIT_REQUIRED
QuantifiedClassifierNP	QCN-C03	parser_representation	The current shared label spans both overt-head X-C-N and context-dependent X-C-Ø; those profiles require explicit subtype separation even if the umbrella label is retained.	PROJECT-CP021B-R5-SOURCE-SCREEN	internal_only	runtime templates main.js lines 3189-3242; source-map QuantifiedClassifierNP section	Runtime has separate templates but one broad label; external evidence distinguishes overt-head and noun-ellipsis profiles.	Record distinct overt_head and head_ellipsis subtypes before any future implementation change.	Do not treat the project split as an externally named Cantonese construction or authorize code changes in this batch.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_SPLIT_REQUIRED
DemonstrativeClassifierNP	DCN-C01	language	Cantonese licenses demonstrative + optional numeral/quantifier + classifier + noun ordering, including the ordinary demonstrative+classifier+noun profile.	SRC-BOND-SIO-2024-CLASSIFIERS	supports	pp. 61-62; Table 1; ex. 1a	D-(X)-C-N is listed as a definite Cantonese NP schema; 呢(一)個蘋果 is the explicit example.	Retain the overt-head demonstrative-classifier NP profile.	Do not infer that the numeral is freely insertable in every lexical or discourse environment or that definiteness alone fixes all uses.	VERIFIED_FULL_TEXT	SOURCE_LINKED_SPLIT_REQUIRED
DemonstrativeClassifierNP	DCN-C01	language	Cantonese licenses demonstrative + optional numeral/quantifier + classifier + noun ordering, including the ordinary demonstrative+classifier+noun profile.	SRC-LAM-LAU-LEE-2024-SEGMENTATION	corroborates	p. 11998; section 4.3	Determiners such as 呢 and 嗰 precede the classifier, with an optional intervening numeral; 嗰本書 and 呢兩個人 are illustrated.	Retain the overt-head demonstrative-classifier NP profile.	Do not infer that the numeral is freely insertable in every lexical or discourse environment or that definiteness alone fixes all uses.	VERIFIED_FULL_TEXT	SOURCE_LINKED_SPLIT_REQUIRED
DemonstrativeClassifierNP	DCN-C01	language	Cantonese licenses demonstrative + optional numeral/quantifier + classifier + noun ordering, including the ordinary demonstrative+classifier+noun profile.	SRC-YU-2006-NOMINAL-MODIFIERS	corroborates	pp. 3-4; nominal order discussion	The paper gives demonstrative-numeral-classifier-noun order and examples of demonstrative-classifier nominal structures.	Retain the overt-head demonstrative-classifier NP profile.	Do not infer that the numeral is freely insertable in every lexical or discourse environment or that definiteness alone fixes all uses.	VERIFIED_FULL_TEXT_CORROBORATIVE	SOURCE_LINKED_SPLIT_REQUIRED
DemonstrativeClassifierNP	DCN-C02	language	A demonstrative+classifier sequence can function as a headless nominal such as 嗰個 “that one,” rather than requiring a fabricated noun head.	SRC-YU-2006-NOMINAL-MODIFIERS	attests_exact_form	p. 7; examples 11-12	The paper explicitly calls go2 go3 “that one” a headless noun phrase that can itself be modified, contrasting it with the linker ge3.	Retain the transparent D+C headless profile with missing-head metadata.	Do not fabricate a noun, equate D+C with the nominal linker ge3, or generalize productivity from this corroborative paper alone.	VERIFIED_FULL_TEXT_CORROBORATIVE	SOURCE_LINKED_SPLIT_REQUIRED
