construction	construction_claim_id	claim_layer	parser_claim	source_id	source_relationship	exact_locator	source_proposition	implementation_effect	forbidden_inference	verification_state	current_disposition
DirectionalCausedMotionVP	DCM-C01	runtime_claim	DirectionalCausedMotionVP is registered but has no active constructor or fallback and no occurrence in the inspected non-held-out accepted regression trees.	PROJECT-CP021B-R33-FINAL-LANGUAGE-LABEL-SCREEN	records_dormant_label	main.js grammar-legitimacy registry and code-reference screen	The label is dormant metadata rather than an exercised parser construction.	Treat the label as a merge-or-retire candidate; preserve only independently sourced relations elsewhere.	Do not infer that absence in fixtures proves impossibility or that a registry label describes a real construction.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_CAUSED_MOTION_DIRECTIONAL_COMPOUND_FAMILY_BUT_DORMANT_LABEL_HAS_NO_RUNTIME_TEMPLATE_MERGE_OR_RETIRE
DirectionalCausedMotionVP	DCM-C02	language	Cantonese directional verbs have syntactic and semantic extensions that include causative and ordinary directional uses.	SRC-YIU-2005-DIRECTIONAL-VERBS	supports_family	official abstract lines 6-19	Yiu investigates twelve directional verbs and their spatial and non-spatial extensions.	Recognize a bounded research family rather than discarding all causative directional behavior.	Do not infer a complete caused-motion template inventory or unrestricted productivity from an abstract.	VERIFIED_OFFICIAL_ABSTRACT	SOURCE_LINKED_CAUSED_MOTION_DIRECTIONAL_COMPOUND_FAMILY_BUT_DORMANT_LABEL_HAS_NO_RUNTIME_TEMPLATE_MERGE_OR_RETIRE
DirectionalCausedMotionVP	DCM-C03	boundary	A directional verb compounds with the preceding verb in causative use but not in ordinary directional use.	SRC-YIU-2005-DIRECTIONAL-VERBS	distinguishes_causative_from_directional	official abstract lines 20-25	Yiu explicitly contrasts causative compounding with non-compounding ordinary directional use.	Require causative/result relation evidence before treating verb-directional adjacency as one compound.	Do not collapse every directional sequence into caused motion or every caused-motion reading into ordinary direction.	VERIFIED_OFFICIAL_ABSTRACT	SOURCE_LINKED_CAUSED_MOTION_DIRECTIONAL_COMPOUND_FAMILY_BUT_DORMANT_LABEL_HAS_NO_RUNTIME_TEMPLATE_MERGE_OR_RETIRE
DirectionalCausedMotionVP	DCM-C04	language	Cantonese causative-resultative constructions form a genuine family with construction-level argument structure and multiple subtypes.	SRC-LAI-PANG-2023	supports_related_family_with_limits	official full text, abstract and subtype sections	Lai and Pang argue that cause/effect verbal elements and argument structure belong to the construction as a whole.	Reuse sourced causative-resultative relations when an exact subtype is established.	Do not use the broader resultative family to validate the dormant DirectionalCausedMotionVP node or an arbitrary verb-directional cross-product.	VERIFIED_FULL_TEXT	SOURCE_LINKED_CAUSED_MOTION_DIRECTIONAL_COMPOUND_FAMILY_BUT_DORMANT_LABEL_HAS_NO_RUNTIME_TEMPLATE_MERGE_OR_RETIRE
DirectionalCausedMotionVP	DCM-C05	parser_representation	The dormant label should merge into typed directional and caused-result relations rather than survive as a parallel language-level node.	PROJECT-CP021B-R33-FINAL-LANGUAGE-LABEL-SCREEN	records_representation_disposition	runtime overlap screen	Existing sourced nodes already preserve direction, motion, result, causation, and argument roles more transparently.	Mark merge-or-retire while retaining the external causative/directional boundary in research doctrine.	Do not delete evidence-backed subrelations merely because this label is dormant.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_CAUSED_MOTION_DIRECTIONAL_COMPOUND_FAMILY_BUT_DORMANT_LABEL_HAS_NO_RUNTIME_TEMPLATE_MERGE_OR_RETIRE
DirectionalCausedMotionVP	DCM-C06	evidence_gap	No inspected source or accepted fixture establishes the exact Canto Span DirectionalCausedMotionVP label, slots, or productivity.	PROJECT-CP021B-R33-FINAL-LANGUAGE-LABEL-SCREEN	records_exact_template_gap	R33 source and runtime screen	The external evidence supports a family and boundary, not this parser ontology.	Block productive promotion and implementation under this label.	Do not turn family-level evidence into exact-template evidence.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_CAUSED_MOTION_DIRECTIONAL_COMPOUND_FAMILY_BUT_DORMANT_LABEL_HAS_NO_RUNTIME_TEMPLATE_MERGE_OR_RETIRE
IntendedFunctionRelation	IFR-C01	runtime_claim	The active fallback recognizes a resource/topic followed by optional subject/negation/copula-or-modal and 用 + 嚟/來 + predicate, assigning an intended-use relation while flagging actual-use and affordance ambiguity.	PROJECT-CP021B-R33-FINAL-LANGUAGE-LABEL-SCREEN	records_runtime_template	main.js IntendedFunctionRelation fallback and ambiguity metadata	The runtime already combines a narrow lexical cue with a broad multi-slot wrapper.	Preserve the overt cue and ambiguity provenance while narrowing the relation.	Do not treat the runtime relation name as independent linguistic evidence.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_JUNG6LEI4_INSTRUMENT_FUNCTION_RELATION_WITH_INSTRUMENTAL_SVC_POLYSEMY_AND_TOPIC_CONTROL_NARROWING_REQUIRED
IntendedFunctionRelation	IFR-C02	language	The exact form 呢個用嚟切嘢 is attested with a resource-like subject and a following action.	SRC-WONG-2023-LANGUAGE-SAMPLE	exact_surface_attestation	official PDF p. 60, lines 2217-2220	Wong glosses the example as “This is used for cutting.”	Retain a narrow 用嚟 + action profile with overt resource structure.	Do not infer that every 用 + 嚟 sequence denotes intended function or that omitted arguments may be freely inserted.	VERIFIED_FULL_TEXT	SOURCE_LINKED_JUNG6LEI4_INSTRUMENT_FUNCTION_RELATION_WITH_INSTRUMENTAL_SVC_POLYSEMY_AND_TOPIC_CONTROL_NARROWING_REQUIRED
IntendedFunctionRelation	IFR-C03	analysis	Wong classifies 用嚟 under instrumental serial-verb constructions together with 攞/用/搵 and 愛嚟/攞嚟/用嚟 profiles.	SRC-WONG-2023-LANGUAGE-SAMPLE	provides_competing_analysis	official PDF p. 60, lines 2200-2207	The source treats the form as part of an instrumental SVC family, not a unique dedicated intended-function clause.	Represent the relation as a narrow instrumental/function serial-verb subtype or competing analysis.	Do not assert that IntendedFunctionRelation is standard terminology or the only analysis.	VERIFIED_FULL_TEXT	SOURCE_LINKED_JUNG6LEI4_INSTRUMENT_FUNCTION_RELATION_WITH_INSTRUMENTAL_SVC_POLYSEMY_AND_TOPIC_CONTROL_NARROWING_REQUIRED
IntendedFunctionRelation	IFR-C04	boundary	The instrument may be omitted or moved to subject position in the 嚟 profiles; surface position must not be converted into a fixed hidden subject/topic template.	SRC-WONG-2023-LANGUAGE-SAMPLE	constrains_argument_structure	official PDF p. 60, lines 2203-2207	Wong explicitly notes omission or movement of the instrument in these serial-verb patterns.	Preserve overt resource/topic structure and mark omitted arguments as context-sensitive rather than silently inserting them.	Do not force every initial NP to be a syntactic subject or every absent instrument to be licensed.	VERIFIED_FULL_TEXT	SOURCE_LINKED_JUNG6LEI4_INSTRUMENT_FUNCTION_RELATION_WITH_INSTRUMENTAL_SVC_POLYSEMY_AND_TOPIC_CONTROL_NARROWING_REQUIRED
