construction	construction_claim_id	claim_layer	parser_claim	source_id	source_relationship	exact_locator	source_proposition	implementation_effect	forbidden_inference	verification_state	current_disposition
NominalPredicateClause	NPC-C01	language	Cantonese permits an overt person subject followed by a numeric age expression without an overt copula in attested clauses.	SRC-YIP-MATTHEWS-2000-BASIC	supports_narrow_age_profile	Unit 28, printed p. 146; Kéuih jauhlèih yah seui ge la and Kéuih sèhng sei’ah seui...	The reference gives overt-subject age clauses whose predicate contains a numeral and 歲 without 係.	Retain a narrow age-measure profile.	Do not generalize from age to arbitrary NP predicates or all measures.	VERIFIED_FULL_TEXT	AGE_MEASURE_PROFILE_SOURCE_LINKED_PRICE_AREA_LENGTH_SPLIT_AND_EXACT_TEMPLATE_GAPS
NominalPredicateClause	NPC-C02	discourse_boundary	Age expressions can also occur with an understood subject in a same-topic sequence.	SRC-YIP-MATTHEWS-2000-BASIC	supports_subject_ellipsis_boundary	Unit 4, printed p. 19; Ngóh giu Mary, gām lín sahp-baat seui...	The age phrase occurs in a sequence where the first-person subject is stated once and then understood.	Keep overt-subject predication distinct from discourse subject omission.	Do not infer a hidden subject token or claim every bare age phrase is a complete context-free clause.	VERIFIED_FULL_TEXT	AGE_MEASURE_PROFILE_SOURCE_LINKED_PRICE_AREA_LENGTH_SPLIT_AND_EXACT_TEMPLATE_GAPS
NominalPredicateClause	NPC-C03	language	Currency amount expressions can stand as short transactional utterances.	SRC-YIP-MATTHEWS-2000-BASIC	supports_amount_expression	Unit 28, printed p. 146; Yeh-nǵh m&n, mgōi	A bare currency amount is presented as a transactional utterance.	Represent bare amount expressions independently of subject-predicate clauses.	Do not infer that currency unit 蚊 is an ordinary noun head in the runtime QuantityNP schema.	VERIFIED_FULL_TEXT	AGE_MEASURE_PROFILE_SOURCE_LINKED_PRICE_AREA_LENGTH_SPLIT_AND_EXACT_TEMPLATE_GAPS
NominalPredicateClause	NPC-C04	language_boundary	Price statements may contain overt 係 before a currency amount.	SRC-TAM-2021-DOZE	contrasts_with_general_copula_omission	p. 556, example (20): 係一百蚊嚟㗎	A corpus example overtly marks a price amount with 係.	Do not encode price predication as categorically copula-less.	One overt-係 example does not prove that 係 is obligatory or establish a free alternation rate.	VERIFIED_PUBLISHER_FULL_TEXT	AGE_MEASURE_PROFILE_SOURCE_LINKED_PRICE_AREA_LENGTH_SPLIT_AND_EXACT_TEMPLATE_GAPS
NominalPredicateClause	NPC-C05	component_support	Cantonese scalar questions distinguish numeric amount expressions from dimensional predicates.	SRC-YIP-MATTHEWS-2000-BASIC	supports_component_split	Unit 24, printed p. 127; 幾多錢, 幾多歲, 幾長	The reference treats price, age, and length questions as related question phrases with different overt lexical material.	Preserve dimension and unit identity instead of one undifferentiated nominal predicate.	Do not treat all scalar domains as one syntactic template merely because English uses how.	VERIFIED_FULL_TEXT	AGE_MEASURE_PROFILE_SOURCE_LINKED_PRICE_AREA_LENGTH_SPLIT_AND_EXACT_TEMPLATE_GAPS
NominalPredicateClause	NPC-C06	evidence_gap	No inspected source directly establishes the runtime’s generalized subject + bare price amount declarative template.	PROJECT-CP021B-R19-MEASURE-SCALAR	records_direct_source_gap	R19 source comparison for 本書三十蚊 / 呢本書一百蚊	Attested bare amounts and overt-係 price statements do not directly prove the exact runtime declarative profile.	Keep the price profile provisional and separately research it.	Do not promote the accepted fixtures themselves as linguistic evidence.	VERIFIED_INTERNAL_RECORD	AGE_MEASURE_PROFILE_SOURCE_LINKED_PRICE_AREA_LENGTH_SPLIT_AND_EXACT_TEMPLATE_GAPS
NominalPredicateClause	NPC-C07	evidence_gap	No inspected source directly establishes the runtime’s subject + area-measure expression template.	PROJECT-CP021B-R19-MEASURE-SCALAR	records_direct_source_gap	R19 source comparison for 間房三百呎 and related fixtures	General measure-phrase evidence does not establish this exact copula-less area predicate.	Keep area predication as an explicit source gap.	Do not infer productivity from real-estate discourse or unit semantics alone.	VERIFIED_INTERNAL_RECORD	AGE_MEASURE_PROFILE_SOURCE_LINKED_PRICE_AREA_LENGTH_SPLIT_AND_EXACT_TEMPLATE_GAPS
NominalPredicateClause	NPC-C08	evidence_gap	No inspected source directly establishes the runtime’s subject + length measure + dimensional predicate template as one NominalPredicateClause rule.	PROJECT-CP021B-R19-MEASURE-SCALAR	records_direct_source_gap	R19 source comparison for 張枱三尺長 / 呢張枱十呎長	Length questions and comparison examples support the components but not the exact declarative wrapper.	Keep component support separate from exact-template validation.	Do not infer the exact runtime parse from an English translation or related measure construction.	VERIFIED_INTERNAL_RECORD	AGE_MEASURE_PROFILE_SOURCE_LINKED_PRICE_AREA_LENGTH_SPLIT_AND_EXACT_TEMPLATE_GAPS
NominalPredicateClause	NPC-C09	representation	The runtime unifies age, price, area, and length under one node despite different lexical units, subject restrictions, and evidentiary status.	PROJECT-CP021B-R19-MEASURE-SCALAR	records_runtime_conflation	main.js nominalMeasurePredicateFallback; four domain branches	The parser has four hand-bounded profiles rather than a source-established productive class.	Split domain-specific profiles or use a theory-neutral measure-predication relation.	Do not present the implementation umbrella as a standard Cantonese construction.	VERIFIED_INTERNAL_RECORD	AGE_MEASURE_PROFILE_SOURCE_LINKED_PRICE_AREA_LENGTH_SPLIT_AND_EXACT_TEMPLATE_GAPS
NominalPredicateClause	NPC-C10	disposition	Only the age profile is directly source-linked at the exact clause level; price, area, and length require separate research and representation.	PROJECT-CP021B-R19-MEASURE-SCALAR	records_disposition	R19 synthesis	Evidence supports narrowing, not promotion of the umbrella.	Retain age narrowly; split and quarantine the others pending direct evidence.	Do not change runtime behavior during the research freeze.	VERIFIED_INTERNAL_RECORD	AGE_MEASURE_PROFILE_SOURCE_LINKED_PRICE_AREA_LENGTH_SPLIT_AND_EXACT_TEMPLATE_GAPS
