search_id	date	query_or_action	source_or_engine	result	evidentiary_use	limitation
R19-S01	2026-07-18	Verify R18 checkpoint, audit, and runtime hashes	local package inspection	PASS	baseline integrity only	Internal package metadata is not linguistic authority.
R19-S02	2026-07-18	Rank remaining unmapped labels by runtime references and accepted-fixture reach without opening held-out rows	local code and non-held-out regression snapshots	PASS	family selection and impact ranking	Runtime and fixture prevalence do not prove linguistic validity.
R19-S03	2026-07-18	Inspect NominalPredicateClause runtime branches and accepted fixtures	main.js and non-held-out regression snapshots	PASS	extract exact parser claims for age, price, area, and length	Internal behavior is the research target, not evidence.
R19-S04	2026-07-18	Inspect QuantityNP, ApproximateQuantity, ScalarRangeFragment, and ScalarValueQuestion runtime profiles	main.js and non-held-out regression snapshots	PASS	separate incompatible implementation profiles	Unexercised paths may still be reachable outside accepted fixtures.
R19-S05	2026-07-18	Verify age, quantity, currency, and scalar-question examples in Basic Cantonese	Yip and Matthews 2000 full-text PDF	PASS	exact-form and component evidence	Learner grammar examples do not establish exhaustive productivity or parser nodes.
R19-S06	2026-07-18	Verify approximation-marker position in Guide to Cantonese Grammar	Tang 2024 full-text PDF	PASS	preposed versus postposed approximation contrast	Learner guide; exact forms only, not complete syntax.
R19-S07	2026-07-18	Search authoritative literature for exact post-classifier 度 quantity pattern such as 七杯度	web search across academic repositories and grammar references	NO_DIRECT_SOURCE_RECOVERED	records a direct-source gap	Search failure is not evidence of ungrammaticality.
R19-S08	2026-07-18	Search construction-specific authority for bare nominal price, area, and length predicate templates	web search across academic repositories and grammar references	PARTIAL_COMPONENT_EVIDENCE_ONLY	supports splitting rather than umbrella promotion	No exact general construction source was recovered for all runtime profiles.
R19-S09	2026-07-18	Verify exact price-question exchange and overt copular price clause in a peer-reviewed Cantonese corpus paper	Tam 2021 full-text journal PDF	PASS	exact 幾錢呀 / 五毫子 and 係一百蚊嚟㗎 attestations	Examples are incidental to a discourse-pragmatic study of 多謝.
R19-S10	2026-07-18	Compare source evidence against runtime umbrella labels and forbidden inferences	claim-level synthesis	PASS	five evidence-only dispositions	No parser change is authorized during the research freeze.
R19-S11	2026-07-18	Check whether any held-out row content was opened during R19	operation log and command review	PASS_NONE_OPENED_IN_R19	integrity disclosure	R18 inherited incident remains recorded in project history.
R19-S12	2026-07-18	Audit source registers, matrix, coverage, protected trees, hashes, and package artifacts	local deterministic audit	PENDING_AT_LOG_CREATION	checkpoint integrity	Final status supplied by the generated audit JSON.
