construction	construction_claim_id	claim_layer	parser_claim	source_id	source_relationship	exact_locator	source_proposition	implementation_effect	forbidden_inference	verification_state	current_disposition
IdentificationFragment	IDF-C01	representation	The active runtime profile is identification_marker + topic_or_object + optional particle, with a second 就係 + noun-phrase fallback and no accepted child-label fixture family.	PROJECT-CP021B-R18-RESIDUAL-FRAGMENTS	records_runtime_profile	main.js CONSTRUCTION_TEMPLATES and 就係 fallback; legitimacy and coverage records	The label is an implementation wrapper around focus/copular material rather than a source-derived construction boundary.	Retain the exact runtime footprint as provenance while separating ordinary copular/focus structure from discourse-particle uses.	Do not infer linguistic legitimacy from active code or from the label name.	VERIFIED_INTERNAL_RECORD	COMPONENTS_LINKED_EXACT_FRAGMENT_AND_PARTICLE_SLOT_GAP
IdentificationFragment	IDF-C02	language	Cantonese 係 can link a subject or demonstrative nominal to an identifying nominal predicate.	SRC-YIP-MATTHEWS-2000-BASIC	supports_component_construction	Unit 7; copular 係 examples	The reference grammar treats 係 as the copula in nominal identification and classification patterns.	Map overt 係/就係 material through an ordinary copular or focus relation before considering fragment status.	Do not infer that every 就係 + NP sequence is an autonomous fragment or that the subject is always absent.	VERIFIED_FULL_TEXT	COMPONENTS_LINKED_EXACT_FRAGMENT_AND_PARTICLE_SLOT_GAP
IdentificationFragment	IDF-C03	attestation	A contemporary corpus contains a full discourse sequence with 呢 followed by 就係 and a demonstrative nominal expression.	SRC-KWONG-2018-DEMONSTRATIVES	attests_full_discourse_sequence	p. 314, example (3)	The attested sequence is 我想講講呢就係嗰個少數族裔嘅福利同埋權利 in a discussion of non-deictic demonstratives.	Preserve the possibility that 就係 participates in a larger discourse structure.	Do not reanalyze this full sequence as proof of isolated 就係 + arbitrary NP fragment productivity.	VERIFIED_FULL_TEXT	COMPONENTS_LINKED_EXACT_FRAGMENT_AND_PARTICLE_SLOT_GAP
IdentificationFragment	IDF-C04	boundary	The utterance-particle-like form 就係啦 has a particle-dependent distribution distinct from ordinary copular/focus 就係.	SRC-TANG-2015-UTTERANCE-PARTICLES	supports_particle_boundary	endnote g	Tang contrasts Cantonese 就係啦 with bare *就係 in that utterance-particle use and notes that 係啦 is possible.	Do not model the final particle as freely optional across the utterance-particle subtype.	Do not extend the starred judgment to all ordinary copular or focus uses of 就係.	VERIFIED_PUBLISHER_FULL_TEXT_AND_METADATA	COMPONENTS_LINKED_EXACT_FRAGMENT_AND_PARTICLE_SLOT_GAP
IdentificationFragment	IDF-C05	evidence_gap	No inspected external source establishes the runtime cross-product identification marker + arbitrary NP + optional particle as one fragment construction.	PROJECT-CP021B-R18-RESIDUAL-FRAGMENTS	records_direct_source_gap	R18 source comparison	Available evidence supports component constructions and one particle-bound utterance contrast, not the full runtime template.	Keep the label quarantined pending decomposition or exact construction evidence.	Do not fill the gap using runtime fixtures, translation intuition, or analogy.	VERIFIED_INTERNAL_RECORD	COMPONENTS_LINKED_EXACT_FRAGMENT_AND_PARTICLE_SLOT_GAP
IdentificationFragment	IDF-C06	representation	Absence of an overt subject in discourse does not by itself authorize insertion of a hidden identity argument.	PROJECT-CP021B-R18-RESIDUAL-FRAGMENTS	records_representation_boundary	R18 no-hidden-reconstruction review	The runtime surface can be represented with overt marker and nominal material while discourse supplies the understood topic.	Use a discourse-fragment relation only when context supports it; preserve overt tokens.	Do not manufacture a silent subject, demonstrative, or copular complement.	VERIFIED_FULL_TEXT	COMPONENTS_LINKED_EXACT_FRAGMENT_AND_PARTICLE_SLOT_GAP
IdentificationFragment	IDF-C07	disposition	The best-supported future representation is ordinary copular/focus structure plus a separately licensed discourse-fragment or utterance-particle relation.	SRC-TANG-2015-UTTERANCE-PARTICLES	supports_decomposition_boundary	endnote g and article conclusion	Particle-bearing utterance expressions and ordinary predicative material have different distributions even when their surfaces overlap.	Split or realign the runtime wrapper rather than promote it as one productive fragment rule.	Do not import Tang’s full conjunction analysis as parser ontology.	VERIFIED_PUBLISHER_FULL_TEXT_AND_METADATA	COMPONENTS_LINKED_EXACT_FRAGMENT_AND_PARTICLE_SLOT_GAP
LocativeFragment	LOF-C01	representation	The active runtime accepts 喺 + place-like material, optionally a particle, and may wrap a LocativePlacePhrase while treating the located figure as discourse-understood.	PROJECT-CP021B-R18-RESIDUAL-FRAGMENTS	records_runtime_profile	main.js LocativeFragment template, fallback, and locativeFragmentFromWrappedPlacePhrase	The label combines an overt locative phrase with an inferred fragment function; no accepted child-label fixture family independently validates the category.	Separate the overt locative constituent from context-dependent answer/fragment interpretation.	Do not treat the runtime wrapper as external evidence.	VERIFIED_INTERNAL_RECORD	COMPONENTS_LINKED_STANDALONE_FRAGMENT_ELLIPSIS_GAP
LocativeFragment	LOF-C02	language	Preverbal 喺 locative phrases are independently documented Cantonese locative constituents.	SRC-KWAN-2010-LOCATIVE	supports_locative_component	journal pp. 163-169; examples 1-6	Kwan distinguishes preverbal event-location phrases from postverbal result-location and other placement patterns.	Retain the overt locative phrase as a source-linked component.	Do not infer a standalone answer construction or all-purpose locative predicate from PP placement.	VERIFIED_FULL_TEXT	COMPONENTS_LINKED_STANDALONE_FRAGMENT_ELLIPSIS_GAP
LocativeFragment	LOF-C03	language	Cantonese location predicates are documented with an overt located entity and locative expression.	SRC-YIP-MATTHEWS-2000-BASIC	supports_full_locative_predication	Unit 20, printed pp. 104-107	The reference provides full locative and motion patterns, including subjects and location expressions.	Use full locative predication as the baseline analysis when the located entity is overt.	Do not delete an overt subject or promote every locative phrase to a fragment.	VERIFIED_FULL_TEXT	COMPONENTS_LINKED_STANDALONE_FRAGMENT_ELLIPSIS_GAP
