search_id	construction_family	query_or_screen	candidate_source	outcome	use_or_exclusion_reason
R8-S01	property predication	Cantonese predicative adjectives copula degree stative verbs scholarly grammar	Alderete et al. 2017	INCLUDED	Full text directly states copula exclusion, neutral degree marking, and stative/adjective-verb overlap.
R8-S02	category analysis	Cantonese adjective verb category gradable stative multidimensional	Francis and Matthews 2005	INCLUDED_ABSTRACT_ONLY	Official publisher abstract directly warns against a single adjective/adjectival-verb split; detailed examples were not inspected.
R8-S03	degree and lexical units	Cantonese word segmentation 好食 難食 degree modifier adjective	Lam, Lau, and Lee 2024	INCLUDED	ACL full text directly distinguishes separate degree words from opaque lexical units 好食 and 難食.
R8-S04	ordinary stative negation	Cantonese 唔 adjective stative predicate no copula primary research	Yip 1988	INCLUDED	Existing registered full text directly attests adjective/stative negation with 唔 and no copula.
R8-S05	prohibitive ambiguity	Cantonese 唔好 prohibitive marker versus 唔 ordinary negation corpus	Chin 2018	INCLUDED_ABSTRACT_ONLY	Official abstract distinguishes 唔好/咪 prohibitives from ordinary 唔, supporting a structural ambiguity boundary.
R8-S06	degree inventory	Cantonese 太 有啲 adjective degree construction primary sources	web and project source screen	NOT_COMPLETELY_MAPPED	Reviewed sources directly support 好, 幾, and 非常; 太 and 有啲 remain outside exact R8 source coverage.
R8-S07	degree stacking	Cantonese double degree modifier adjective 好 好食 construction	academic web and corpus search	NO_EXACT_PRIMARY_MAPPING_FOUND	No inspected primary example independently established the template degree! + degree? or the exact 好 + 好食 example.
R8-S08	lexical negative property	Cantonese 難食 lexicalized adjective negative stative	Lam, Lau, and Lee 2024	INCLUDED_WITH_RELABEL	Source supports an opaque lexical adjective, not syntactic negation or a homogeneous negated-stative construction.
R8-S09	bare ambiguous string	唔好食 not tasty dont eat segmentation Cantonese research	Lam et al. 2024; Chin 2018; runtime screen	PARTIAL_COMBINED_BOUNDARY	Independent sources support context-sensitive lexical segmentation and a distinct prohibitive marker; exact ambiguity management remains an internal parser decision.
R8-S10	dormant clause label	AdjectivalPredicateClause SubjectPredicateClause main.js coverage	Canto Span accepted runtime and inventory	INTERNAL_ONLY	Used to identify duplicate ontology and active/dormant boundaries; runtime is not linguistic evidence.
R8-S11	runtime stative heuristic	StativePredicate can_head_comment bundle degree negation wrapper	Canto Span accepted runtime	INTERNAL_ONLY	Used only to extract current claim breadth and node inconsistencies.
