construction	construction_claim_id	claim_layer	parser_claim	source_id	source_relationship	exact_locator	source_proposition	implementation_effect	forbidden_inference	verification_state	current_disposition
CognitionDelimitedVP	CDV-C01	runtime_claim	The runtime defines a special cognition-predicate + delimitative 吓 node.	PROJECT-CP021B-R31-COGNITION-SPEECH-INTENTION-SCREEN	records_runtime_template	main.js and data/slot-model.json: cognition_predicate! + delimitative_aspect!	The label is created from a semantic verb class plus an overt delimitative marker.	Retain the overt predicate and marker while testing whether a cognition-specific parent adds any sourced relation.	Do not infer a dedicated Cantonese construction from the parser class name.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_COGNITION_DELIMITATIVE_FORM_WITH_LEXEME_SELECTION_AND_ORDINARY_DELIMITATIVE_MERGE_REQUIRED
CognitionDelimitedVP	CDV-C02	runtime_claim	The path is unexercised in the accepted 545-case regression set.	PROJECT-CP021B-R31-COGNITION-SPEECH-INTENTION-SCREEN	records_fixture_impact	non-held-out regression-snapshots label count = 0	No accepted fixture currently validates the node boundary or gloss.	Keep the path quarantined and merge-oriented pending independent exact evidence.	Do not treat fixture absence as evidence that cognition + 吓 is impossible.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_COGNITION_DELIMITATIVE_FORM_WITH_LEXEME_SELECTION_AND_ORDINARY_DELIMITATIVE_MERGE_REQUIRED
CognitionDelimitedVP	CDV-C03	surface_form_claim	吓 is independently attested as a delimitative outer-aspect or bounded-action marker.	SRC-SIO-BOND-2025	supports_overt_marker_core	section 2; outer-aspect inventory and selectional restrictions	The marker has a supported event-modifying function with lexical/aspectual compatibility restrictions.	Compose cognition predicates with the already mapped delimitative layer rather than duplicate it by semantic class.	Do not license every cognition predicate or every event type with 吓.	VERIFIED_CLAIM_LINK	SOURCE_LINKED_COGNITION_DELIMITATIVE_FORM_WITH_LEXEME_SELECTION_AND_ORDINARY_DELIMITATIVE_MERGE_REQUIRED
CognitionDelimitedVP	CDV-C04	exact_attestation	The coursebook directly gives 你諗下係唔係 in a reasoning prompt.	SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	supports_exact_cognition_delimitative_surface	printed p. 215	Cognition + 下 is attested with following polar-clausal content, not only as an isolated two-token VP.	Preserve the following complement and allow complement-type diversity in future remediation.	Do not force the utterance into an objectless cognition-only node.	VERIFIED_CLAIM_LINK	SOURCE_LINKED_COGNITION_DELIMITATIVE_FORM_WITH_LEXEME_SELECTION_AND_ORDINARY_DELIMITATIVE_MERGE_REQUIRED
CognitionDelimitedVP	CDV-C05	boundary_claim	Inherited delimitative research requires lexeme/event compatibility and keeps argument omission separate.	SRC-SIO-BOND-2025	supports_selection_boundary	pp. 6-7 selectional restrictions	The marker’s distribution is not a free action-verb cross-product.	Reuse the general delimitative evidence boundary and record cognition-lexeme uncertainty.	Do not promote the whole cognition-predicate category from one 諗 example.	VERIFIED_CLAIM_LINK	SOURCE_LINKED_COGNITION_DELIMITATIVE_FORM_WITH_LEXEME_SELECTION_AND_ORDINARY_DELIMITATIVE_MERGE_REQUIRED
CognitionDelimitedVP	CDV-C06	representation_claim	A cognition-specific wrapper adds no overt material beyond ordinary predicate + 吓.	PROJECT-CP021B-R31-COGNITION-SPEECH-INTENTION-SCREEN	records_wrapper_duplication	runtime template comparison with DelimitedVP	The special node duplicates a broader sourced construction unless it encodes independently validated lexical selection.	Merge into ordinary DelimitedVP plus lexical predicate metadata, or retain only as an internal review subtype.	Do not present the duplicate wrapper as standard Cantonese ontology.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_COGNITION_DELIMITATIVE_FORM_WITH_LEXEME_SELECTION_AND_ORDINARY_DELIMITATIVE_MERGE_REQUIRED
CognitionDelimitedObjectVP	CDO-C01	runtime_claim	The runtime wraps CognitionDelimitedVP plus one slot typed object.	PROJECT-CP021B-R31-COGNITION-SPEECH-INTENTION-SCREEN	records_runtime_template	data/slot-model.json: cognition_delimited_vp! + object!	The parser presupposes that following material is an object/content NP.	Split NP arguments, propositional content, polar clauses, and discourse-linked omission.	Do not label every post-吓 constituent as a direct object.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_COGNITION_DELIMITATIVE_COMPLEMENT_TYPE_SPLIT_AND_EXACT_OBJECT_TEMPLATE_GAP
CognitionDelimitedObjectVP	CDO-C02	runtime_claim	The slot-model’s motivating surface is 諗吓 + 音樂嘅嘢, but no accepted fixture exercises it.	PROJECT-CP021B-R31-COGNITION-SPEECH-INTENTION-SCREEN	records_unsourced_exact_example	data/slot-model.json note and non-held-out regression count 0	The exact music-content NP is internal design material, not external attestation.	Retain it as a research target and explicit exact-form gap.	Do not use a slot-model example as language evidence.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_COGNITION_DELIMITATIVE_COMPLEMENT_TYPE_SPLIT_AND_EXACT_OBJECT_TEMPLATE_GAP
CognitionDelimitedObjectVP	CDO-C03	complement_type_claim	An exact coursebook example places a polar question after 諗下.	SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	supports_clausal_content_alternative	printed p. 215: 你諗下係唔係	Cognition-delimitative sequences can take content that is visibly clausal rather than nominal.	Preserve the internal question/complement structure instead of flattening it to object.	Do not insert a hidden noun meaning “matter” or “idea”.	VERIFIED_CLAIM_LINK	SOURCE_LINKED_COGNITION_DELIMITATIVE_COMPLEMENT_TYPE_SPLIT_AND_EXACT_OBJECT_TEMPLATE_GAP
CognitionDelimitedObjectVP	CDO-C04	marker_scope_claim	Delimited 吓 supplies event modification but not argument structure.	SRC-SIO-BOND-2025	limits_argument_inference	outer-aspect inventory and compatibility tables	The aspect/delimitative evidence does not determine whether later material is object, content, adjunct, or separate clause.	Assign complement relations from the cognition lexeme and overt syntax, not from 吓.	Do not derive transitivity from the aspect marker.	VERIFIED_CLAIM_LINK	SOURCE_LINKED_COGNITION_DELIMITATIVE_COMPLEMENT_TYPE_SPLIT_AND_EXACT_OBJECT_TEMPLATE_GAP
