search_id	query_or_target	source_type	outcome	used_for	limit_or_disposition
R17-S01	FormulaDiscourseUnit/FragmentAnswer/FragmentQuestion runtime, grammar-audit, fixture, and context-license extraction	internal runtime, fixture, and governance inspection	VERIFIED_INTERNAL	exact fallback profiles, accepted-fixture counts, source gaps, and representation risks	Internal behavior and fixture acceptance are not Cantonese language authority.
R17-S02	Yip and Matthews 2000 Unit 23 short answers	descriptive reference grammar full text	VERIFIED	predicate repetition, negated replies, lexeme-specific 使唔使 answers, and aspectual replies	Teaching examples do not prove exhaustive modern productivity or one ellipsis analysis.
R17-S03	Yip and Matthews 2000 polite expressions	descriptive reference grammar full text	VERIFIED	唔該, 唔該晒, 多謝, 對唔住, and 唔好意思 lexical mapping	Exact formulae are sourced individually; no general formula-building rule follows.
R17-S04	Cheng 2022 response particles hai6 in Cantonese	peer-reviewed journal publisher preview and metadata	VERIFIED_PARTIAL_FULL_ARTICLE_ACCESS	係/唔係 response-particle subtype and question versus assertion response boundary	Preview supports exact opening claims, not the runtime’s complete particle/repetition inventory.
R17-S05	Huang, Her, and Kong 2025 Cantonese interrogative response diagnostics	peer-reviewed journal author full text	VERIFIED	negative-polar-question 係啊/啱嘅 versus 唔係啊/唔啱 response pattern	Taxonomy and judgments do not cover all response or fragment types.
R17-S06	Luke and Nancarrow 1998 Cantonese auxiliary standalone and ellipsis behavior	scholarly edited-volume chapter full scan	VERIFIED	context requirement and auxiliary/main-verb heterogeneity	One corpus and theory of auxiliaryhood do not establish a flat modern modal-answer class.
R17-S07	Lee and Pan 2024 Cantonese VP ellipsis licensing	official peer-reviewed conference proceedings full text	VERIFIED	selective head/use licensing and 有/冇/未 versus progressive 喺度 boundary	Movement/right-dislocation analyses do not directly validate every dialogue answer.
R17-S08	Sio 2011 headless modifier-ge3 nominals	peer-reviewed book chapter full text and metadata	VERIFIED	possessor+嘅 nominal alternative to FragmentAnswer	Silent-noun/indexical analysis is not imported; exact discourse answer use remains separate.
R17-S09	Li 2006 Cantonese ne1 thematic questions	publisher-hosted doctoral dissertation full text	VERIFIED	topic+呢 “how about X?” form and nonexclusive distribution of ne1	Theory-specific analysis; exact 你呢 and bare 呢 are not shown in the inspected passage.
R17-S10	exact scholarly 你呢 Cantonese thematic question	targeted web and full-text search	DISCOVERY_ONLY_EXACT_FULL_SOURCE_NOT_RECOVERED	record direct-source gap	Lower-authority teaching/discovery hits were excluded from claim authority.
R17-S11	exact bare 呢 as Cantonese discourse fragment question	targeted scholarly and source-text search	SOURCE_GAP_RECORDED	bare-form quarantine	Verified examples contain overt material before ne1; absence from this screen is not evidence of ungrammaticality.
R17-S12	runtime repeated 有/係/好/得/我知 acknowledgement templates and 我覺得啱 answer	targeted primary-source comparison	NO_EXACT_PRODUCTIVE_FAMILY_ESTABLISHED	split and source-gap dispositions	Accepted fixtures and native surface judgments remain internal evidence, not independent grammar authority.
