search_id	date	query_or_action	source_or_engine	result	evidentiary_use	limitation
R21-S01	2026-07-18	Verify R20 package, 112/112 audit, and frozen runtime hashes	local package inspection	PASS	baseline integrity only	Package metadata is not linguistic authority.
R21-S02	2026-07-18	Rank 60 remaining language labels by main.js references and non-held-out regression-snapshot reach	local runtime and non-held-out accepted snapshots	PASS	family selection	Implementation and fixture counts do not establish grammar.
R21-S03	2026-07-18	Extract ReduplicatedVP and DelimitedVP templates and accepted surfaces	main.js and regression-snapshots.json	PASS	exact parser claims under audit	Internal behavior is the research target, not evidence.
R21-S04	2026-07-18	Extract restorativeRepetitiveComplementFallback branches and accepted surfaces	main.js and regression-snapshots.json	PASS	exact 返 heuristics under audit	Fallback labels do not prove intended Cantonese meanings.
R21-S05	2026-07-18	Inspect uploaded Hong Kong Cantonese coursebook for 下/吓, reduplication, and resumptive 番/返	user-provided searchable PDF with visual page verification	PASS	exact forms, pedagogical contrasts, and orthographic note	A coursebook does not establish exhaustive productivity or one theoretical analysis.
R21-S06	2026-07-18	Verify formal research on Cantonese verbal reduplication	Lam 2013 official ACL Anthology PDF	PASS	durative/iterative and aktionsart boundaries	Formal analysis with a limited judgment inventory.
R21-S07	2026-07-18	Verify delimitative 吓 inventory and activity-selection restrictions	Sio and Bond 2025 official author PDF	PASS	delimitative core and selection boundary	Illustrative HPSG implementation, not exhaustive grammar.
R21-S08	2026-07-18	Recover and inspect peer-reviewed full text on grammaticalization of postverbal 返	Chor 2013 official Academia Sinica PDF and HKBU metadata	PASS	directional, resumptive, redoing, restorative, evaluative, and interpersonal distinctions	Diachronic-functional polysemy study, not a deterministic parser rule.
R21-S09	2026-07-18	Verify exact contemporary 整返好 and related recovery examples	CUHK Cantonese Express official resource	PASS	exact form attestation and prior-state teaching contrast	University learner resource, not corpus evidence.
R21-S10	2026-07-18	Search for exact accepted 睇返一次 and 講返一次 in inspected scholarly sources	academic web and source-text search	NO_DIRECT_EXACT_SOURCE_RECOVERED	records exact-template gap	Failure to recover a source is not evidence of ungrammaticality.
R21-S11	2026-07-18	Compare accepted 飲返杯咖啡 fallback against published 返 analyses	claim-level synthesis	CONTEXTUAL_MEANING_CONFLICT_FOUND	requires review-bearing ambiguity and fallback narrowing	The research example establishes an alternative reading, not that repetition is impossible in every context.
R21-S12	2026-07-18	Check whether held-out row content was opened during R21	operation and command review	PASS_NONE_OPENED_IN_R21	integrity disclosure	The inherited R18 incident remains recorded in history.
R21-S13	2026-07-18	Audit source IDs, parent-row preservation, coverage, protected trees, JSON, hashes, and package artifacts	local deterministic audit	PENDING_AT_LOG_CREATION	checkpoint integrity	Final result is recorded in the audit JSON.
