search_id	construction_family	query_or_screen	candidate_source	outcome	use_or_exclusion_reason
R10-S01	Cantonese resultatives	Cantonese resultative verb compound V-dou3 constraints event roles	Lau and Lee 2021	INCLUDED	Peer-reviewed full text directly distinguishes constrained lexical RVCs from V-到 and other resultative strategies.
R10-S02	positive potential	Cantonese postverbal dak potential V-dak-R result complement	Cheng and Sybesma 2004	INCLUDED	Peer-reviewed author full text gives positive potential, permission/ability contrasts, and overt result examples.
R10-S03	negative potential	Cantonese negative potential V-m-R V-m-dak-R	Cheng and Sybesma 2004	INCLUDED	Full text explicitly contrasts potential V-唔-R with permission negation and records judgment boundaries.
R10-S04	result 好	Cantonese result complement hou 好 V好 object resultative academic	Lau and Lee 2021; Sio and Bond 2025; project register	GENERAL_RESULT_BOUNDARY_ONLY	Sources support result compounds and inner-result ordering but did not establish the runtime’s unrestricted action + 好(+咗) + object template.
R10-S05	potential result inventory	Cantonese V得完 V得到 V得掂 V得切 potential complement	Cheng and Sybesma 2004; academic search	GENERAL_CONSTRUCTION_ONLY	V-得-R is linked, but the complete runtime head inventory was not independently validated.
R10-S06	positive directional potential	Cantonese haang-dak-jap-heoi directional potential	Cheng and Sybesma 2004	INCLUDED_NARROWLY	Direct example supports the family; it does not prove all runtime combinations.
R10-S07	negative directional potential	Cantonese haang-m-jap-heoi negative potential directional	Cheng and Sybesma 2004	INCLUDED_NARROWLY	Direct example supports V-唔-direction-deixis and the polarity contrast.
R10-S08	descriptive complement	Cantonese postverbal descriptive dak haang-dak hou faai	Cheng and Sybesma 2004 footnote 6	INCLUDED_AS_SEPARATE_SUBTYPE	The source explicitly separates descriptive V-得-degree from the potential construction.
R10-S09	arrival versus result 到	Cantonese dou3 arrival verb goal result complement distinction	Chor 2018; Lau and Lee 2021	INCLUDED_AS_BOUNDARY	Independent sources distinguish arrival/goal uses from V-到 resultative strategies.
R10-S10	runtime extraction	ResultComplement ResultComplementVP PotentialResultVP NegativePotentialComplement PotentialDirectionalVP NegativePotentialDirectionalVP VerbComplementVP main.js	Canto Span accepted runtime	INTERNAL_ONLY	Used only to state current templates, fallbacks, inventories, and node conflations.
