search_id	construction_family	query_or_screen	candidate_source	outcome	use_or_exclusion_reason
R7-S01	A-not-A core	Cantonese A-not-A question exact syntax primary research	Law 2001	INCLUDED	Full text directly analyzes Cantonese A-not-A, modal restrictions, and copular 係唔係.
R7-S02	A-not-A surface inventory	Cantonese A-not-A film corpus disyllabic reduction	Li 2017 MA thesis	INCLUDED	Repository full text supplies overt Cantonese examples and reduced disyllabic patterns, with clear sample limitations.
R7-S03	polar-question pragmatics	Cantonese A-not-A neutral context experiment 有冇 VP	Hara 2023	INCLUDED	Full text and publisher metadata support the polar-question contrast and an explicit 有冇+VP A-not-A example.
R7-S04	negation and suppletion	Cantonese A-not-A lexical negation 有 冇 primary source	Yip 1988	INCLUDED	Official full text gives a competing lexical-rule account and identifies 有/冇 suppletion.
R7-S05	event-occurrence 有+VP	Hong Kong Cantonese jau5 VP modal meaning polar questions	Fan 2026	INCLUDED_ABSTRACT_ONLY	Official abstract supports a distinct auxiliary/modal 有+VP profile; full syntactic inventory was unavailable.
R7-S06	generic predicate A-not-A	V 唔 V Cantonese exact copy and complements	Law 2001; Li 2017	INCLUDED	Independent sources support ordinary A唔A while showing category and form restrictions.
R7-S07	modal A-not-A	要唔要 可唔可以 想唔想 使唔使 Cantonese research	Law 2001; Li 2017	PARTIAL	要唔要 and 可唔可以 are directly supported; the current 想 path is structurally compatible, but the complete runtime modal inventory is not independently licensed.
R7-S08	copular A-not-A	係唔係 Cantonese copula A-not-A clause complement	Law 2001; Li 2017	INCLUDED_WITH_CONFLICT	Law supports a copular A-not-A analysis and clausal complements; Li’s limited film sample documents alternatives and no actual Cantonese 係唔係 token.
R7-S09	have-or-not subtype	有冇 + dynamic VP event occurrence Cantonese	Hara 2023; Fan 2026; Yip 1988	INCLUDED_WITH_SPLIT	Broad A-not-A classification is supported, but suppletion and auxiliary/event distribution require separation from exact V唔V.
R7-S10	acceptability form	得唔得 Cantonese construction linguistic analysis	academic web and repository search	NO_EXACT_PRIMARY_MAPPING_FOUND	Teaching pages and dictionaries were excluded; broad evaluative A-not-A evidence does not independently motivate the plugin’s distinct node.
R7-S11	acceptability semantics	Cantonese adjectival A-not-A convenient suitable enough	Li 2017	INCLUDED_GENERAL_ONLY	方唔方便, 啱唔啱用, and 夠唔夠 support evaluative predicates, not the exact 得唔得 node or template.
R7-S12	parser runtime screen	ANotAQuestion ModalANotAQuestion CopularANotAQuestion AcceptabilityANotA main.js	Canto Span accepted runtime	INTERNAL_ONLY	Used only to extract current claims and conflations; runtime behavior is not linguistic evidence.
