search_id	date	query_or_action	source_or_engine	result	evidentiary_use	limitation
R22-S01	2026-07-18	Verify R21 package, 105/105 audit, and frozen runtime hashes	local package inspection	PASS	baseline integrity only	Package metadata is not linguistic authority.
R22-S02	2026-07-18	Rank 56 remaining language labels by main.js references and non-held-out regression-snapshot reach	local runtime and non-held-out accepted snapshots	PASS	family selection	Implementation and fixture counts do not establish grammar.
R22-S03	2026-07-18	Extract environmentalPredicateParts and impersonalEnvironmentalClauseFallback profiles	main.js and regression-snapshots.json	PASS	exact parser claims under audit	Internal behavior is the research target, not evidence.
R22-S04	2026-07-18	Extract LocativeFrameClause inversion, property, and ambient profiles	main.js and regression-snapshots.json	PASS	exact parser claims and fixture reach	Shared label does not prove a unified construction.
R22-S05	2026-07-18	Extract LocativePostureVP inventory and exact 喺度 requirement	main.js	PASS	runtime claim extraction	Code inventory is not linguistic authority.
R22-S06	2026-07-18	Inspect uploaded Hong Kong Cantonese coursebook for weather and posture-location examples	user-provided searchable PDF and extracted text	PASS	exact page-level forms and pedagogical distinctions	A coursebook does not establish corpus frequency, complete inventories, or parser nodes.
R22-S07	2026-07-18	Verify Cantonese locative-inversion research and exact wall-telephone example	Lui 2020 official Stanford CSLI PDF	PASS	construction split, exact form, aspect and frequency boundaries	Small elicited dataset and theory-specific LFG analysis.
R22-S08	2026-07-18	Verify independent exact 落雨喇 attestation	Tsuno 2021 official TUFS PDF	PASS	weather-event surface attestation	Questionnaire report, not focused weather syntax research.
R22-S09	2026-07-18	Verify locative 喺度 and spatial/progressive ambiguity	Wong 2023 official book full text already registered	PASS	喺度 structural boundary	Language-sample coding framework, not exhaustive adult grammar.
R22-S10	2026-07-18	Search inspected primary/pedagogical sources for exact 天光喇 and 瞓喺度	source-text and academic search	NO_DIRECT_EXACT_SOURCE_RECOVERED	records exact-form gaps	Failure to recover a source is not evidence of ungrammaticality.
R22-S11	2026-07-18	Compare exact accepted place-property strings against inspected sources	claim-level source comparison	COMPONENTS_SUPPORTED_EXACT_STRINGS_NOT_RECOVERED	prevents false exact citation	Component support does not settle discourse or node boundaries.
R22-S12	2026-07-18	Check whether held-out row content was opened during R22	operation and command review	PASS_NONE_OPENED_IN_R22	integrity disclosure	The inherited R18 incident remains recorded in history.
R22-S13	2026-07-18	Audit source IDs, parent-row preservation, coverage, protected trees, JSON, hashes, and package artifacts	local deterministic audit	PENDING_AT_LOG_CREATION	checkpoint integrity	Final result is recorded in the audit JSON.
