search_id	date	query_or_action	source_or_engine	result	evidentiary_use	limitation
R33-S01	2026-07-19	Verify R32 source audit, runtime hashes, and inherited LX1 state	local package inspection	PASS	baseline integrity	Package metadata is not linguistic authority.
R33-S02	2026-07-19	Inspect final five unmapped language labels and non-held-out fixture reach	coverage queue, main.js, and regression snapshots	PASS	final-family selection and runtime claims	Fixture reach is implementation-impact metadata only.
R33-S03	2026-07-19	Verify causative versus ordinary directional compounding	Yiu 2005 official HKUST dissertation abstract	PASS	DirectionalCausedMotionVP family and negative boundary	Abstract only; no exact parser template or productivity.
R33-S04	2026-07-19	Verify instrumental 用嚟 profile and exact 呢個用嚟切嘢	Wong 2023 official full-text monograph	PASS	IntendedFunctionRelation attestation and competing analysis	Clinical/developmental coding framework.
R33-S05	2026-07-19	Verify purpose SVCs and exact 買本書(嚟)睇吓	Wong 2023 official full-text monograph	PASS	MotionDelimitedVP components and attachment boundary	Does not attest movement×action×吓 cross-product.
R33-S06	2026-07-19	Recheck serial-verb diagnostics and restrictions	Matthews 2006 verified full-text chapter	PASS	purpose/function generalization limits	Not every adjacent verb sequence has a settled single analysis.
R33-S07	2026-07-19	Verify VO, SVO, SV, omission, and developmental productivity definitions	Wong 2023 official full-text monograph	PASS	ProductiveVO and TransitiveVP descriptive scope/boundaries	GACS categories are broad coding profiles, not parser ontologies.
R33-S08	2026-07-19	Recheck transitive and ditransitive VP schemata	Alderete et al. 2017 verified university full text	PASS	valency and complement-type boundaries	Broad grammar synopsis does not determine every lexeme/use.
R33-S09	2026-07-19	Assemble 30 claim-source rows and close the unmapped language-label queue	local deterministic build	PASS	claim provenance and coverage accounting	Mapping completeness is not grammar acceptance.
R33-S10	2026-07-19	Run regression, LX1, grammar-legitimacy, deterministic source, and archive checks	local validation	PASS: source audit 130/130; regression 545/545; grammar audit 1117/1117; LX1 20/20	artifact integrity	Passing software checks does not prove linguistic claims.
