source_id	citation	publication_type	canonical_uri	verified_locator	verification_state	claim_scope	important_limit	independence_unit
SRC-LI-LEE-2021-DATIVE	Li, J. and Lee, P. C. 2021. Syntactic Distribution of the Semantic Classes of Dative Verbs in English and Cantonese.	peer-reviewed conference paper	https://aclanthology.org/2021.paclic-1.66/	pp. 628-629 examples 2-6; pp. 633-635	VERIFIED_FULL_TEXT	Lexical 畀 GIVE double-object order; dative verb classes; post-theme 畀 construction contrasts	Author judgments and theoretical analysis do not establish corpus frequency or a parser node	LI_LEE_2021
SRC-XU-PEYRAUBE-1997-DOC	Xu, D. and Peyraube, A. 1997. On the Double Object Construction and the Oblique Construction in Cantonese.	peer-reviewed journal article	https://doi.org/10.1075/sl.21.1.05lie	pp. 105-113	VERIFIED_FULL_TEXT	V-theme-recipient, V-recipient-theme, and V-theme-畀-recipient contrasts; lexical, role, weight, and category restrictions	1990s judgments and a contested preposition/deletion analysis do not license a universal order rule	XU_PEYRAUBE_1997
SRC-CHEUNG-2007-DATIVE	Cheung, L. Y. L. 2007. The Cantonese Dative Constructions: Implications for Processing.	conference presentation	https://www.eva.mpg.de/lingua/conference/07_DitransitiveConstructions/pdf/presentatons/Presentation_Cheung.pdf	slides 4, 11-12, 33-36	VERIFIED_SLIDES	Canonical lexical-GIVE order and elicited heavy-theme alternatives	Slides and elicited processing data do not establish conversational prevalence or a categorical threshold	CHEUNG_2007
SRC-WONG-2023-BEI	Wong, A. M. Y. 2023/2024. The bei Constructions in Cantonese: A Corpus-Driven Study.	published conference proceedings article	https://doi.org/10.17501.23572744.2023.10106	pp. 95-105; especially Tables 4 and 6 and pp. 102-104	VERIFIED_FULL_TEXT	Corpus-coded transfer orders, restructured forms, serial/beneficiary classes, and causative/passive classes	Two 1990s corpora and analyst-defined categories; sparse cells are not productive grammar rules	WONG_CORPUS_FAMILY
SRC-LAM-2008-DOC	Lam, O. S. C. 2008. Object Functions and the Syntax of Double Object Constructions in Lexical Functional Grammar.	doctoral dissertation	https://ora.ox.ac.uk/objects/uuid:f2fce4eb-2f01-4fad-8c65-b95dee2ec4d9	pp. 138-154; especially 147-149	VERIFIED_FULL_TEXT	Lexical-GIVE order and judged heavy-theme alternatives	Formal LFG analysis and author judgments; overlaps the later Lam research family	LAM_RESEARCH_FAMILY
SRC-NGAI-2023-BEI	Ngai, S. 2023. Haplology of Cantonese BEI: Evidence in Production.	university working paper	https://scholarworks.iu.edu/journals/index.php/iulcwp/article/download/34845/39969/100290	pp. 4-6, 11-18	VERIFIED_FULL_TEXT	Four dative construction forms and a production test of double-畀 conditioning	Small postselected sample; the distance effect was nonsignificant and long-distance cells were sparse	NGAI_2023
SRC-BODOMO-LAM-YU-2003	Bodomo, A., Lam, O. S. C., and Yu, K. M. 2003. Double Object and Serial Verb Constructions in Cantonese.	peer-reviewed conference paper	https://typo.uni-konstanz.de/lfg-proceedings/LFGprocCSLI/LFG2003/pdfs/lfg03bodomoetal.pdf	PDF pp. 2-9; proceedings pp. 59-67	VERIFIED_FULL_TEXT	Lexical-GIVE theme-recipient form and V-theme-畀-recipient serial/benefactive form	Small judgment inventory and a theory-specific LFG complex-predicate analysis	BODOMO_LAM_YU_2003
SRC-CHIN-2011-BEI	Chin, A. C. 2011. Grammaticalization of the Cantonese Double Object Verb [pei35] 畀 in Typological and Areal Perspectives.	peer-reviewed journal article	https://www.lib.eduhk.hk/pure-data/pub/201710799.pdf	PDF pp. 3-19; especially 5-14	VERIFIED_FULL_TEXT	Lexical GIVE, transfer versus beneficiary, causative/permissive versus passive ambiguity, and passive role mapping	Diachronic and cross-dialectal analysis with judgments; not an exhaustive current distribution	CHIN_2011
SRC-CHAN-2021-BEI	Chan, K. L. 2021. Bei2 as a Causative and Passive Marker in Cantonese.	university proceedings paper	https://icu.repo.nii.ac.jp/record/5045/files/Bei2asacausativeandpassivemarkerinCantonese.pdf	paper examples and six-consultant study	VERIFIED_PDF_BOUNDARY	Independent causative/passive ambiguity boundary	Only six consultants and no transfer-distribution focus	CHAN_2021
SRC-WONG-ETAL-2010-DATIVE	Wong, A. M. Y., Chow, D. C. W., McBride-Cheng, C., and Stokes, S. F. 2010. Optional Elements and Variant Structures in the Productions of bei2 'to Give' Dative Constructions in Cantonese-Speaking Adults and Three-Year-Old Children.	peer-reviewed journal brief report	https://doi.org/10.1017/S0305000909009416	official abstract	VERIFIED_OFFICIAL_ABSTRACT	Full/non-full, VRT/VTR, prepositional, and serial variants in parent-child conversation	No exact table or rate may be used until full text is recovered	WONG_ET_AL_2010
SRC-CHOW-2018-INDIRECT-PASSIVE	Chow, P. L. 2018. The Malefactive Topic Role in Cantonese Indirect Passives.	peer-reviewed conference paper	https://web.stanford.edu/group/cslipublications/cslipublications/LFG/LFG-2018/lfg2018-chow.pdf	PDF pp. 4-14; examples 5, 7-10, and 22-27	VERIFIED_FULL_TEXT	Canonical passive versus NP1-畀-NP2-V-NP3 indirect passive; retained patient/object; corpus count and pragmatic restriction	Only 4 indirect passives among 61 passive 畀 sentences; formal LFG role analysis is not parser truth	CHOW_2018
SRC-CHOW-2019-PASSIVE-PERMISSIVE	Chow, P. L. 2019. Passive and Permissive Constructions in Cantonese: An LFG Account.	doctoral dissertation	https://hub.hku.hk/handle/10722/280875	repository abstract	VERIFIED_OFFICIAL_ABSTRACT	Passive/permissive disambiguation, indirect-passive object in situ, and distinct analyses of passive and permissive 畀	Abstract-level use only until chapter/example locators are recovered; same author program as Chow 2018	CHOW_RESEARCH_FAMILY
SRC-CHOW-2026-MT-BEI	Chow, P. L. 2026. Increasing Translation Accuracy for Grammaticalized bei2 in Cantonese: A Corpus-Linguistic Approach to Machine Translation Disambiguation.	peer-reviewed journal article discovery	https://www.sciencedirect.com/science/article/pii/S2666799126000213	publisher abstract only	DISCOVERY_ABSTRACT_ONLY	Current machine-translation research on grammaticalized 畀 disambiguation	Do not use reported percentages or diagnostics until full text and exact locators are verified	CHOW_RESEARCH_FAMILY
