construction	construction_claim_id	claim_layer	parser_claim	source_id	source_relationship	exact_locator	source_proposition	implementation_effect	forbidden_inference	verification_state	current_disposition
LexicalGiveRelation	LGR-C01	language	Lexical 畀/俾 GIVE can occur with two postverbal nominals in theme-before-recipient order.	SRC-LI-LEE-2021-DATIVE	supports	pp. 628-629; examples 2-6	The Cantonese double-object use of lexical bij2 GIVE is illustrated with theme before recipient.	Permit the bounded theme-before-person profile.	Do not infer universal order, population frequency, or that the Canto Span label is standard.	VERIFIED_FULL_TEXT	SOURCE_LINKED_PROVISIONAL
LexicalGiveRelation	LGR-C01	language	Lexical 畀/俾 GIVE can occur with two postverbal nominals in theme-before-recipient order.	SRC-XU-PEYRAUBE-1997-DOC	supports	pp. 105-107	V-theme-recipient is described as the predominant lexical-GIVE double-object order.	Corroborate the theme-before-recipient baseline.	Predominant in this analysis is not universal or a current corpus rate.	VERIFIED_FULL_TEXT	SOURCE_LINKED_PROVISIONAL
LexicalGiveRelation	LGR-C01	language	Lexical 畀/俾 GIVE can occur with two postverbal nominals in theme-before-recipient order.	SRC-BODOMO-LAM-YU-2003	supports	PDF pp. 2-4; examples 1-2	The lexical bij2 example places the theme before the beneficiary/recipient.	Corroborate the baseline with an independent author team.	Do not inherit the paper's full LFG analysis or pronoun restrictions as parser rules.	VERIFIED_FULL_TEXT	SOURCE_LINKED_PROVISIONAL
LexicalGiveRelation	LGR-C01	language	Lexical 畀/俾 GIVE can occur with two postverbal nominals in theme-before-recipient order.	SRC-CHIN-2011-BEI	supports	PDF p. 3	A modern lexical-GIVE example has NP1-bij2-theme-recipient order.	Corroborate the visible argument order.	One example does not establish frequency or exclusivity.	VERIFIED_FULL_TEXT	SOURCE_LINKED_PROVISIONAL
LexicalGiveRelation	LGR-C02	language	Recipient-before-theme order is reported, but its distribution and role mapping are not free or uniform.	SRC-XU-PEYRAUBE-1997-DOC	supports_and_restricts	pp. 105-110	An alternative order is reported under emphasis or lexical idiosyncrasy, and verb/role restrictions are discussed.	Keep nonbaseline order visible but role-unresolved.	Do not treat the two orders as freely interchangeable.	VERIFIED_FULL_TEXT	SOURCE_LINKED_REVIEW_BOUNDARY
LexicalGiveRelation	LGR-C02	language	Recipient-before-theme order is reported, but its distribution and role mapping are not free or uniform.	SRC-WONG-2023-BEI	attests_only	pp. 98-99; Table 4	The two corpora contain both bij2-theme-recipient and bij2-recipient-theme classes.	Do not reject the alternative order solely from surface order.	Corpus coding does not supply a context-free participant-role algorithm.	VERIFIED_FULL_TEXT	SOURCE_LINKED_REVIEW_BOUNDARY
LexicalGiveRelation	LGR-C03	language	Theme weight or distance does not license a categorical parser threshold.	SRC-NGAI-2023-BEI	restricts	p. 16 and pp. 16-18	The distance coefficient is nonsignificant; tokens above four syllables are sparse and postselected.	Block a hard syllable-count or distance trigger.	A null result does not prove that weight never matters.	VERIFIED_FULL_TEXT	NEGATIVE_RULE_BOUNDARY
LexicalGiveRelation	LGR-C03	language	Theme weight or distance does not license a categorical parser threshold.	SRC-WONG-2023-BEI	restricts	pp. 98-99	Only eight long-object corpus tokens were available, split across the two orders.	Keep heavy-theme behavior review-bearing.	Do not estimate a threshold or preference from the sparse cell.	VERIFIED_FULL_TEXT	NEGATIVE_RULE_BOUNDARY
LexicalGiveRelation	LGR-C04	representation	Only the reviewed theme-before-person profile exports Theme/Object plus recipient-candidate; other order exports neutral participant slots.	SRC-LI-LEE-2021-DATIVE	bounds_project_inference	pp. 628-629 and 633-635	The paper distinguishes construction types and meanings rather than treating all surface orders as one derivation.	Use a conservative, theory-neutral role policy.	The source does not prescribe Canto Span slots or validate the name LexicalGiveRelation.	VERIFIED_FULL_TEXT	INTERNAL_DESIGN_BOUNDED_BY_RESEARCH
LexicalGiveRelation	LGR-C04	representation	Only the reviewed theme-before-person profile exports Theme/Object plus recipient-candidate; other order exports neutral participant slots.	SRC-XU-PEYRAUBE-1997-DOC	bounds_project_inference	pp. 105-113	Order, lexical choice, thematic role, weight, and competing category analyses interact.	Avoid forced roles outside the best-supported profile.	This conservative parser policy is a project inference, not a published analysis.	VERIFIED_FULL_TEXT	INTERNAL_DESIGN_BOUNDED_BY_RESEARCH
PostThemeParticipantRelation	PTR-C01	language	Predicate-theme-畀/俾-person is an attested Cantonese surface pattern.	SRC-XU-PEYRAUBE-1997-DOC	supports	pp. 105-107	V-theme-bij2-recipient is directly contrasted with double-object orders.	Recognize an overt post-theme link without erasing the marker.	Do not assume one fixed category or role from position alone.	VERIFIED_FULL_TEXT	SOURCE_LINKED_PROVISIONAL
PostThemeParticipantRelation	PTR-C01	language	Predicate-theme-畀/俾-person is an attested Cantonese surface pattern.	SRC-BODOMO-LAM-YU-2003	supports	PDF pp. 2-5; proceedings pp. 59-62	A V-theme-bij2-recipient serial/benefactive form is contrasted with lexical GIVE.	Recognize the surface relation separately from lexical GIVE.	Do not generalize from the small example set to all predicates.	VERIFIED_FULL_TEXT	SOURCE_LINKED_PROVISIONAL
PostThemeParticipantRelation	PTR-C01	language	Predicate-theme-畀/俾-person is an attested Cantonese surface pattern.	SRC-WONG-2023-BEI	attests_only	pp. 101-102	The corpus taxonomy contains a frequent V-theme-bij2-NP-V class.	Preserve an optional following predicate when overt.	The class frequency uses a broad all-畀 denominator and analyst coding.	VERIFIED_FULL_TEXT	SOURCE_LINKED_PROVISIONAL
PostThemeParticipantRelation	PTR-C02	language	The upstream predicate and its valency affect whether the post-theme participant is a recipient, goal, or beneficiary.	SRC-CHIN-2011-BEI	supports	PDF pp. 5-8	The same surface order is analyzed as transfer with a GIVE predicate and beneficiary with a non-GIVE predicate.	Do not force one semantic role on the post-marker person.	The source's valency/category analysis is not itself parser ontology.	VERIFIED_FULL_TEXT	ROLE_NEUTRALITY_REQUIRED
