source_id	citation	publication_type	canonical_uri	verified_locator	verification_state	claim_scope	important_limit	independence_unit
SRC-LI-LEE-2021-DATIVE	Li, J. and Lee, P. C. 2021. Syntactic Distribution of the Semantic Classes of Dative Verbs in English and Cantonese.	peer-reviewed conference paper	https://aclanthology.org/2021.paclic-1.66/	pp. 628-629 examples 2-6; pp. 633-635	VERIFIED_FULL_TEXT	Lexical 畀 GIVE double-object order; dative verb classes; post-theme 畀 construction contrasts	Author judgments and theoretical analysis do not establish corpus frequency or a parser node	LI_LEE_2021
SRC-XU-PEYRAUBE-1997-DOC	Xu, D. and Peyraube, A. 1997. On the Double Object Construction and the Oblique Construction in Cantonese.	peer-reviewed journal article	https://doi.org/10.1075/sl.21.1.05lie	pp. 105-113	VERIFIED_FULL_TEXT	V-theme-recipient, V-recipient-theme, and V-theme-畀-recipient contrasts; lexical, role, weight, and category restrictions	1990s judgments and a contested preposition/deletion analysis do not license a universal order rule	XU_PEYRAUBE_1997
SRC-CHEUNG-2007-DATIVE	Cheung, L. Y. L. 2007. The Cantonese Dative Constructions: Implications for Processing.	conference presentation	https://www.eva.mpg.de/lingua/conference/07_DitransitiveConstructions/pdf/presentatons/Presentation_Cheung.pdf	slides 4, 11-12, 33-36	VERIFIED_SLIDES	Canonical lexical-GIVE order and elicited heavy-theme alternatives	Slides and elicited processing data do not establish conversational prevalence or a categorical threshold	CHEUNG_2007
SRC-WONG-2023-BEI	Wong, A. M. Y. 2023/2024. The bei Constructions in Cantonese: A Corpus-Driven Study.	published conference proceedings article	https://doi.org/10.17501.23572744.2023.10106	pp. 95-105; especially Tables 4 and 6 and pp. 102-104	VERIFIED_FULL_TEXT	Corpus-coded transfer orders, restructured forms, serial/beneficiary classes, and causative/passive classes	Two 1990s corpora and analyst-defined categories; sparse cells are not productive grammar rules	WONG_CORPUS_FAMILY
SRC-LAM-2008-DOC	Lam, O. S. C. 2008. Object Functions and the Syntax of Double Object Constructions in Lexical Functional Grammar.	doctoral dissertation	https://ora.ox.ac.uk/objects/uuid:f2fce4eb-2f01-4fad-8c65-b95dee2ec4d9	pp. 138-154; especially 147-149	VERIFIED_FULL_TEXT	Lexical-GIVE order and judged heavy-theme alternatives	Formal LFG analysis and author judgments; overlaps the later Lam research family	LAM_RESEARCH_FAMILY
SRC-NGAI-2023-BEI	Ngai, S. 2023. Haplology of Cantonese BEI: Evidence in Production.	university working paper	https://scholarworks.iu.edu/journals/index.php/iulcwp/article/download/34845/39969/100290	pp. 4-6, 11-18	VERIFIED_FULL_TEXT	Four dative construction forms and a production test of double-畀 conditioning	Small postselected sample; the distance effect was nonsignificant and long-distance cells were sparse	NGAI_2023
SRC-BODOMO-LAM-YU-2003	Bodomo, A., Lam, O. S. C., and Yu, K. M. 2003. Double Object and Serial Verb Constructions in Cantonese.	peer-reviewed conference paper	https://typo.uni-konstanz.de/lfg-proceedings/LFGprocCSLI/LFG2003/pdfs/lfg03bodomoetal.pdf	PDF pp. 2-9; proceedings pp. 59-67	VERIFIED_FULL_TEXT	Lexical-GIVE theme-recipient form and V-theme-畀-recipient serial/benefactive form	Small judgment inventory and a theory-specific LFG complex-predicate analysis	BODOMO_LAM_YU_2003
SRC-CHIN-2011-BEI	Chin, A. C. 2011. Grammaticalization of the Cantonese Double Object Verb [pei35] 畀 in Typological and Areal Perspectives.	peer-reviewed journal article	https://www.lib.eduhk.hk/pure-data/pub/201710799.pdf	PDF pp. 3-19; especially 5-14	VERIFIED_FULL_TEXT	Lexical GIVE, transfer versus beneficiary, causative/permissive versus passive ambiguity, and passive role mapping	Diachronic and cross-dialectal analysis with judgments; not an exhaustive current distribution	CHIN_2011
SRC-CHAN-2021-BEI	Chan, K. L. 2021. Bei2 as a Causative and Passive Marker in Cantonese.	university proceedings paper	https://icu.repo.nii.ac.jp/record/5045/files/Bei2asacausativeandpassivemarkerinCantonese.pdf	paper examples and six-consultant study	VERIFIED_PDF_BOUNDARY	Independent causative/passive ambiguity boundary	Only six consultants and no transfer-distribution focus	CHAN_2021
SRC-WONG-ETAL-2010-DATIVE	Wong, A. M. Y., Chow, D. C. W., McBride-Cheng, C., and Stokes, S. F. 2010. Optional Elements and Variant Structures in the Productions of bei2 'to Give' Dative Constructions in Cantonese-Speaking Adults and Three-Year-Old Children.	peer-reviewed journal brief report	https://doi.org/10.1017/S0305000909009416	official abstract	VERIFIED_OFFICIAL_ABSTRACT	Full/non-full, VRT/VTR, prepositional, and serial variants in parent-child conversation	No exact table or rate may be used until full text is recovered	WONG_ET_AL_2010
SRC-CHOW-2018-INDIRECT-PASSIVE	Chow, P. L. 2018. The Malefactive Topic Role in Cantonese Indirect Passives.	peer-reviewed conference paper	https://web.stanford.edu/group/cslipublications/cslipublications/LFG/LFG-2018/lfg2018-chow.pdf	PDF pp. 4-14; examples 5, 7-10, and 22-27	VERIFIED_FULL_TEXT	Canonical passive versus NP1-畀-NP2-V-NP3 indirect passive; retained patient/object; corpus count and pragmatic restriction	Only 4 indirect passives among 61 passive 畀 sentences; formal LFG role analysis is not parser truth	CHOW_2018
SRC-CHOW-2019-PASSIVE-PERMISSIVE	Chow, P. L. 2019. Passive and Permissive Constructions in Cantonese: An LFG Account.	doctoral dissertation	https://hub.hku.hk/handle/10722/280875	repository abstract	VERIFIED_OFFICIAL_ABSTRACT	Passive/permissive disambiguation, indirect-passive object in situ, and distinct analyses of passive and permissive 畀	Abstract-level use only until chapter/example locators are recovered; same author program as Chow 2018	CHOW_RESEARCH_FAMILY
SRC-CHOW-2026-MT-BEI	Chow, P. L. 2026. Increasing Translation Accuracy for Grammaticalized bei2 in Cantonese: A Corpus-Linguistic Approach to Machine Translation Disambiguation.	peer-reviewed journal article discovery	https://www.sciencedirect.com/science/article/pii/S2666799126000213	publisher abstract only	DISCOVERY_ABSTRACT_ONLY	Current machine-translation research on grammaticalized 畀 disambiguation	Do not use reported percentages or diagnostics until full text and exact locators are verified	CHOW_RESEARCH_FAMILY
SRC-LEUNG-2026-MOTION	Leung, Justin R. 2026. Detecting Paths of Change in the Heritage Context: Directional Motion Event Expression in Cantonese Spoken in Toronto and Hong Kong. Asia-Pacific Language Variation 11(1/2):142-186. Online 9 January 2026.	peer-reviewed journal article; corpus-based variation study	https://doi.org/10.1075/aplv.25004.leu	accepted manuscript pp. 15 and 26-28; examples 5, 15-17	VERIFIED_FULL_TEXT_ACCEPTED_MANUSCRIPT	Directional motion with locative objects; source-goal clauses; immediately following motion-cum-purpose VPs; separate purposive-marker coding	Study corpus is self-motion speech from Hong Kong and Toronto speakers and its coding scheme is not a complete Cantonese grammar or parser algorithm.	LEUNG_2026_MOTION
SRC-CHOR-2018-DIRECTIONAL	Chor, Winnie Oi-Wan. 2018. Directional Particles in Cantonese: Form, Function and Grammaticalization. Amsterdam/Philadelphia: John Benjamins.	research monograph	https://doi.org/10.1075/scld.9	book pp. 42-45, 51-53, 88-96, 131; PDF pages 59-63, 68-71, 105-115, 149	VERIFIED_FULL_TEXT	Directional verbs and complements; overt locative goals; coverb versus main-verb 喺; serial motion-location-action strings; purposive 嚟/去; lexical restrictions	Diachronic and constructional monograph; examples and analyses do not establish unrestricted productivity or validate Canto Span node names.	CHOR_2018_DIRECTIONAL
SRC-LEUNG-2014-COVERBS	Leung, Herman H. 2014. Cantonese Coverbs: A Syntactic Reanalysis. MA qualifying paper, University of California, Berkeley.	university qualifying paper	https://linguistics.berkeley.edu/~herman/documents/CantoneseCoverbs_MAPaper_Leung.pdf	PDF pp. 1-2 and 20-21; examples 1-4, 37, 39	VERIFIED_FULL_TEXT	Preverbal coverb phrase structure; 喺 location, 向 direction, 由 source, 經 route/via; coverb versus main-verb distinctions	Not peer reviewed; theory-specific syntactic reanalysis and partly compiled judgments should be corroborated before productive grammar promotion.	HLEUNG_2014_COVERBS
SRC-KWAN-2010-LOCATIVE-PP	Kwan, Stella Wing-Man. 2010. The Placement of Locative Prepositional Phrases in Cantonese: Processing and Iconicity. Taiwan Journal of Linguistics 8(2):163-198.	peer-reviewed journal article; corpus study	https://doi.org/10.6519/TJL.2010.8(2).6	pp. 164-166 and 191-193; examples 1-2 and corpus-method description	VERIFIED_FULL_TEXT	Preverbal event-location 喺 PP, postverbal result-location 喺 PP, topic PP, and PP span including optional localizer	The paper studies placement and processing, not a complete semantic taxonomy; some semantic generalizations are discussed through prior literature.	KWAN_2010_LOCATIVE_PP
SRC-WONG-2023-LANGUAGE-SAMPLE	Wong, Anita Mei-Yin. 2023. Understanding Development and Disorder in Cantonese Using Language Sample Analysis. Routledge.	research monograph using natural language samples	https://doi.org/10.4324/9780367824013	book pp. 44-49 and 95-96; negation, resultative/directional/potential structures, examples 21, 23-27, 37, and 40	VERIFIED_FULL_TEXT	Natural language samples and coding distinctions for preverbal negation, resultative/directional/potential structures, compound directionals, 返到學校, 返學, and a spatial localizer complement	Clinical/developmental language-sample framework; attestations and coding categories do not prove unrestricted adult productivity, one settled theoretical analysis, or Canto Span node boundaries.	WONG_2023_LANGUAGE_SAMPLE
SRC-LAU-2024-WRITTEN-CANTONESE	Lau, Chaak Ming. 2024. The Extraction and Fine-grained Classification of Written Cantonese Materials through Linguistic Feature Detection. Proceedings of the 2nd Workshop on Resources and Technologies for Indigenous, Endangered and Lesser-resourced Languages in Eurasia, pp. 25-30.	peer-reviewed workshop paper	https://aclanthology.org/2024.eurali-1.4/	PDF p. 2; examples 2a-3	VERIFIED_FULL_TEXT	Written-Cantonese examples using 返學 with the translation go to school	Examples are modified classification illustrations, not evidence that 返學 is syntactically unanalyzable or a productive motion-goal template.	LAU_2024_WRITTEN_CANTONESE
PROJECT-CP021B-R2-SOURCE-SCREEN	Canto Span CP021B-R2 Lane 09 source-screen record. 2026-07-18.	internal research audit record	docs/research/LANE-09-MOTION-LOCATION-SOURCE-MAP-CP021B-R2.md	sections PathPhrase and Open evidence gaps	VERIFIED_INTERNAL_RECORD	Records searched construction claims, verified sources, unresolved 沿住 evidence, and prohibited inferences	An unsuccessful search is not evidence of ungrammaticality or absence from Cantonese; it only blocks promotion until evidence is found.	PROJECT_INTERNAL_CP021B_R2
PROJECT-CP020-DESIGN	Canto Span CP021B parser-design evidence map, decision CP021B-PD1-E10.	internal project decision record	docs/research/CP021B-PARSER-DESIGN-EVIDENCE-MAP.tsv	decision CP021B-PD1-E10	VERIFIED_INTERNAL_RECORD	Conservative implementation exclusions for the PassivePermissiveRelation matching heuristic.	Internal provenance only; not independent evidence about Cantonese grammar.	PROJECT_CP021B_PD1
SRC-SHAN-JIN-2025-MOTION-TYPOLOGY	Shan, Yunming and Jin, Lixin. 2025. 粵語位移事件編碼類型再探 [Revisiting the Encoding Typology of Motion Events in Cantonese]. Language and Linguistics 26(2).	peer-reviewed journal article; corpus-informed motion-event typology	https://doi.org/10.1075/lali.00202.sha	§§3.1-3.3 and 4.1; examples 1-20 and 29-35; published online 17 March 2025	VERIFIED_FULL_TEXT_AUTHOR_UPLOAD_AND_PUBLISHER_METADATA	Independent path verbs; direction-plus-deixis sequences; manner-plus-path sequences; three-way contrast among single-verb, serial/path-verb, and resultative motion encoding; aspect-position diagnostics	The article advances a serial-verb/path-verb analysis that competes with complement analyses; its typology does not validate Canto Span labels or license every lexical combination.	SHAN_JIN_2025_MOTION
SRC-YIU-2016-DIRECTIONAL-ASPECT	Yiu, Carine Yuk-man (姚玉敏). 2016. 粵語繼續體「落去」和開始體「起嚟」的產生. In 漢語研究的新貌：方言、語法與文獻 / New Horizons in the Study of Chinese: Dialectology, Grammar, and Philology, pp. 261-284.	research chapter in an academic edited volume	https://www.cuhk.edu.hk/ics/clrc/yue/20_carine_yiu.pdf	pp. 263-270; examples 8-56, especially 10-17, 20-45, and 50-56	VERIFIED_FULL_TEXT	Directional lexemes as predicates or complements; come/go deixis; manner-plus-direction; complex directionals; object-order differences; potential V-得/唔-directional restrictions; directional-to-aspect grammaticalization	The chapter focuses on 落去 and 起嚟 and documents lexical asymmetries; it does not establish a uniform productive class or one uncontested syntactic ontology.	YIU_2016_DIRECTIONAL_ASPECT
SRC-LIANG-MAI-2025-GRAMMAR-CODING	Liang, Yuqing and Mai, Ziyin. 2025. Supplementary materials for Grammatical development of the native L1 in Cantonese-English bilingual children: early costs and long-term gains. Bilingualism: Language and Cognition.	supplementary coding scheme for a peer-reviewed empirical article	https://static.cambridge.org/content/id/urn%3Acambridge.org%3Aid%3Aarticle%3AS1366728925100412/resource/name/S1366728925100412sup001.pdf	Appendix S1, Table S1, structures 11, 15, and 16; PDF pp. 4-5	VERIFIED_FULL_TEXT_SUPPLEMENT	Operational separation of preverbal negation adverbs, simple/compound/tri-syllabic directional particles, and postverbal potential patterns	The coding scheme is adapted from Wong 2023 and is corroborative operational evidence, not an independent theory of directional syntax or productivity.	LIANG_MAI_2025_CODING
PROJECT-CP021B-R3-SOURCE-SCREEN	Canto Span CP021B-R3 Lane 09 directional-motion source-screen record. 2026-07-18.	internal research audit record	docs/research/LANE-09-DIRECTIONAL-MOTION-SOURCE-MAP-CP021B-R3.md	sections Runtime claim extraction, Construction dispositions, and Open evidence gaps	VERIFIED_INTERNAL_RECORD	Records the exact runtime conflations, external-source matches, competing analyses, implementation boundaries, and unresolved lexical/productivity questions for five directional-motion labels	Internal provenance records parser facts and research decisions only; it is not independent evidence about Cantonese grammar.	PROJECT_INTERNAL_CP021B_R3
