rank	word	cifu_jyutping	cifu_definition	hkcancor_hits	hkcancor_observed_bucket_count	hkcancor_pos_counts	hkcancor_ud_counts	hkcancor_jyutping_counts
251	路	lou6	road/CL:條[tìuh]/a trend/a tendency/a way forward (good or bad)/a sexual relationship	14	2	"{""n"": 14}"	"{""NOUN"": 14}"	"{""lou2"": 2, ""lou6"": 12}"
252	團	tyun4	regiment/round/circular/group/society	14	3	"{""Ng"": 2, ""n"": 7, ""q"": 5}"	"{""NOUN"": 14}"	"{""tyun4"": 14}"
253	機場	gei1coeng4	airport/airfield	4	1	"{""n"": 4}"	"{""NOUN"": 4}"	"{""gei1coeng4"": 4}"
254	之間	zi1gaan1	between/among/inter-	11	1	"{""f"": 11}"	"{""ADV"": 11}"	"{""zi1gaan1"": 11}"
255	食	sik6	1. to eat/2. to have sex with/3. to take over, to devour (territory)/4. to deal with, to defeat/5. to get, to receive something negative (e.g. parking ticket, formal complaint, rejection)	190	1	"{""v"": 190}"	"{""VERB"": 190}"	"{""sik6"": 190}"
256	啱啱	ngaam1ngaam1	just now	40	3	"{""d"": 38, ""t"": 2}"	"{""ADV"": 40}"	"{""aam1aam1"": 12, ""ngaam1ngaam1"": 28}"
257	唉	aai1|oi1	alas/oh dear/interjection or grunt of agreement or recognition (e.g. yes, it's me!)/to sigh	97	2	"{""e"": 96, ""y1"": 1}"	"{""INTJ"": 96, ""PART"": 1}"	"{""aai5"": 97}"
258	梗係	gang2hai6	of course	106	1	"{""d"": 106}"	"{""ADV"": 106}"	"{""gang2hai6"": 106}"
259	哎	aai1	hey!/interjection used to attract attention or to express surprise or disapprobation	36	4	"{""e"": 36}"	"{""INTJ"": 36}"	"{""aai5"": 20, ""ai1"": 9, ""ai2"": 2, ""ai3"": 5}"
260	蛇	se4	snake/serpent/CL:條[tìuh]/to shirk one's duty, to be lazy on the job	0	0	{}	{}	{}
261	枉	wong2	in the wrong/in vain	0	0	{}	{}	{}
262	高	gou1	high/tall/fig. above average/height/(honorific) your/surname Ko	63	1	"{""a"": 63}"	"{""ADJ"": 63}"	"{""gou1"": 63}"
263	擰	ning4|ning6	mistake/to twist/stubborn/to pinch/wring	0	0	{}	{}	{}
264	打	daa2|daa1	to beat/to strike/to hit/to break/to type/to mix up/to build/to fight/to fetch/to make/to tie up/to issue/to shoot/to calculate/to play (a game)/since/from|dozen	77	3	"{""Vg"": 4, ""q"": 1, ""v"": 72}"	"{""VERB"": 76, ""NOUN"": 1}"	"{""daa2"": 77}"
265	丸	jyun2|jyun4	pill	0	0	{}	{}	{}
266	公園	gung1jyun2	public park	1	1	"{""n"": 1}"	"{""NOUN"": 1}"	"{""gung1jyun2"": 1}"
267	玩	wun6|waan2	to play/to have fun/ to have a good time/to not be serious, to be only joking/to play at, to do (e.g. sexual position)/to play games with/to fool with/to treat someone as not important/to be disrespectful/curio or antique	129	1	"{""v"": 129}"	"{""VERB"": 129}"	"{""waan2"": 129}"
268	隔離	gaak3lei4	to separate/to isolate	16	3	"{""a"": 1, ""f"": 5, ""v"": 10}"	"{""VERB"": 10, ""ADV"": 5, ""ADJ"": 1}"	"{""gaak3lei4"": 16}"
269	寫	se2	to write	61	1	"{""v"": 61}"	"{""VERB"": 61}"	"{""se2"": 61}"
270	屋企	uk1kei2	house/home	79	1	"{""n"": 79}"	"{""NOUN"": 79}"	"{""uk1kei2"": 79}"
271	幫	bong1	to help/to assist/to support/for sb (i.e. as a help)/hired (as worker)/side (of pail, boat etc)/outer layer/group/gang/clique/party/secret society	90	1	"{""v"": 90}"	"{""VERB"": 90}"	"{""bong1"": 90}"
272	搞	gaau2	to do/to make/to go in for/to set up/to get hold of/to take care of	103	1	"{""v"": 103}"	"{""VERB"": 103}"	"{""gaau2"": 103}"
273	葡萄	pou4tou4	grape	5	1	"{""n"": 5}"	"{""NOUN"": 5}"	"{""pou4tou4"": 5}"
274	往	wong5	to go (in a direction)/to/towards/(of a train) bound for/past/previous	1	1	"{""v"": 1}"	"{""VERB"": 1}"	"{""wong5"": 1}"
275	淨係	zing6hai6	NO DEF	63	1	"{""d"": 63}"	"{""ADV"": 63}"	"{""zing6hai6"": 63}"
276	迷宮	mai4gung1	maze/labyrinth	0	0	{}	{}	{}
277	份	fan6	part/share/portion/classifier for gifts, newspaper, magazine, papers, reports, contracts etc/copy	91	2	"{""n"": 3, ""q"": 88}"	"{""NOUN"": 91}"	"{""fan2"": 3, ""fan6"": 88}"
278	底	dai2	background/bottom/base/plan, strategy or secret/the end of a period of time/towards the end of (last month)	20	2	"{""f"": 18, ""n"": 2}"	"{""ADV"": 18, ""NOUN"": 2}"	"{""dai2"": 20}"
279	宅	zaak6	residence	0	0	{}	{}	{}
280	次	ci3	next in sequence/second/the second (day, time etc)/secondary/vice-/sub-/infra-/inferior quality/substandard/order/sequence/hypo- (chem., meaning extra oxygen atom)/classifier for enumerated events: time	134	2	"{""q"": 133, ""x"": 1}"	"{""NOUN"": 133, ""X"": 1}"	"{""ci3"": 134}"
281	為	wai6|wai4	as (in the capacity of)/to take sth as/to act as/to serve as/to behave as/to become/to be/to do/because of/for/to	12	4	"{""p"": 6, ""v"": 6}"	"{""ADP"": 6, ""VERB"": 6}"	"{""wai4"": 3, ""wai6"": 9}"
282	腰	jiu1	waist/lower back/pocket/middle	5	1	"{""n"": 5}"	"{""NOUN"": 5}"	"{""jiu1"": 5}"
283	車站	ce1zaam6	rail station/bus stop	0	0	{}	{}	{}
284	以前	ji5cin4	before/formerly/previous/ago	63	2	"{""f"": 13, ""t"": 50}"	"{""ADV"": 63}"	"{""ji5cin4"": 63}"
285	係噉	*hai6gam2	NO DEF	23	1	"{""d"": 23}"	"{""ADV"": 23}"	"{""hai6gam2"": 23}"
286	差唔多	caa1m4do1	similar	51	2	"{""a"": 3, ""d"": 48}"	"{""ADV"": 48, ""ADJ"": 3}"	"{""caa1m4do1"": 51}"
287	開	hoi1	to open/to start/to turn on/to write out (a medical prescription)/to operate (vehicle)	118	3	"{""g2"": 2, ""u"": 45, ""v"": 71}"	"{""VERB"": 71, ""PART"": 45, ""ADJ"": 2}"	"{""hoi1"": 118}"
288	魚排	jyu4paai4	fish steak	0	0	{}	{}	{}
289	諗住	*nam2zyu6	NO DEF	0	0	{}	{}	{}
290	另外	ling6ngoi6	additional/in addition/besides/separate/other/moreover/furthermore	71	3	"{""c"": 65, ""d"": 1, ""r"": 5}"	"{""CCONJ"": 65, ""PRON"": 5, ""ADV"": 1}"	"{""ling6ngoi6"": 71}"
291	科技	fo1gei6	science and technology	5	1	"{""n"": 5}"	"{""NOUN"": 5}"	"{""fo1gei6"": 5}"
292	月	jyut6	moon/month	79	2	"{""Tg"": 1, ""n"": 78}"	"{""NOUN"": 78, ""ADV"": 1}"	"{""jyut6"": 79}"
293	仲	zung6	second month of the season/middle/intermediate/2nd in seniority/surname Zhong	1	1	"{""a"": 1}"	"{""ADJ"": 1}"	"{""zung6"": 1}"
294	問	man6	to ask	153	1	"{""v"": 153}"	"{""VERB"": 153}"	"{""man6"": 153}"
295	萍	ping4	duckweed	0	0	{}	{}	{}
296	唔同	m4tung4	different	56	4	"{""a"": 39, ""d"": 13, ""r"": 2, ""v"": 2}"	"{""ADJ"": 39, ""ADV"": 13, ""PRON"": 2, ""VERB"": 2}"	"{""m4tung4"": 56}"
297	條線	*tiu4sin3	NO DEF	0	0	{}	{}	{}
298	會見	wui6gin3	to meet with (sb who is paying a visit)	0	0	{}	{}	{}
299	起點	hei2dim2	starting point	0	0	{}	{}	{}
300	瞓	fan3	NO DEF	16	1	"{""v"": 16}"	"{""VERB"": 16}"	"{""fan3"": 16}"
301	賣	maai6	to sell	86	1	"{""v"": 86}"	"{""VERB"": 86}"	"{""maai6"": 86}"
302	希望	hei1mong6	to wish for/to desire/to hope	28	3	"{""v"": 16, ""vn"": 3, ""vu"": 9}"	"{""VERB"": 16, ""AUX"": 9, ""NOUN"": 3}"	"{""hei1mong6"": 28}"
303	其他	kei4taa1	other/the others/else/other than (that person)/in addition to the person mentioned above	57	1	"{""r"": 57}"	"{""PRON"": 57}"	"{""kei4taa1"": 57}"
304	十	sap6	ten/10	89	1	"{""m"": 89}"	"{""NUM"": 89}"	"{""sap6"": 89}"
305	南	naam4	south	0	0	{}	{}	{}
306	今日	gam1jat6	today	35	1	"{""t"": 35}"	"{""ADV"": 35}"	"{""gam1jat6"": 35}"
307	吔	jaa3	particle	5	2	"{""e"": 4, ""y"": 1}"	"{""INTJ"": 4, ""PART"": 1}"	"{""jaa3"": 5}"
308	滑雪	waat6syut3	to ski/skiing	1	1	"{""v"": 1}"	"{""VERB"": 1}"	"{""waat6syut3"": 1}"
309	新	san1	new/newly	53	1	"{""a"": 53}"	"{""ADJ"": 53}"	"{""san1"": 53}"
310	明白	ming4baak6	clear/obvious/unequivocal/to understand/to realize	7	2	"{""a"": 2, ""v"": 5}"	"{""VERB"": 5, ""ADJ"": 2}"	"{""ming4baak6"": 7}"
311	等等	dang2dang2	etcetera/and so on ../wait a minute!/hold on!	7	2	"{""u"": 4, ""v"": 3}"	"{""PART"": 4, ""VERB"": 3}"	"{""dang2dang2"": 7}"
