rank	word	cifu_jyutping	cifu_definition	hkcancor_hits	hkcancor_observed_bucket_count	hkcancor_pos_counts	hkcancor_ud_counts	hkcancor_jyutping_counts
1001	如	jyu4	as/as if/such as	0	0	{}	{}	{}
1002	有條	jau5tiu4	streakiness	0	0	{}	{}	{}
1003	改	goi2	to change/to alter/to transform/to correct	25	1	"{""v"": 25}"	"{""VERB"": 25}"	"{""goi2"": 25}"
1004	其	kei4	his/her/its/theirs/that/such/it (refers to sth preceding it)	2	2	"{""Dg"": 1,""r"": 1}"	"{""ADV"": 1,""PRON"": 1}"	"{""kei4"": 2}"
1005	拖	to1	to drag/to pull/to trail/to delay/to drag on/to lead	7	1	"{""v"": 7}"	"{""VERB"": 7}"	"{""to1"": 7}"
1006	後來	hau6loi4	afterwards/later	14	1	"{""t"": 14}"	"{""ADV"": 14}"	"{""hau6loi4"": 14}"
1007	研究	jin4gau3	research/a study/CL:項|项[xiang4]	10	2	"{""v"": 8,""vn"": 2}"	"{""NOUN"": 2,""VERB"": 8}"	"{""jin4gau3"": 10}"
1008	衫	saam1|sam1	clothes	19	1	"{""n"": 19}"	"{""NOUN"": 19}"	"{""saam1"": 19}"
1009	限制	haan6zai3	(impose) restrictions/to limit/to bound/to restrict	1	1	"{""v"": 1}"	"{""VERB"": 1}"	"{""haan6zai3"": 1}"
1010	值	zik6	value/(to be) worth/to happen	9	1	"{""v"": 9}"	"{""VERB"": 9}"	"{""zik6"": 9}"
1011	婆	po4	grandmother/matron/mother-in-law	1	1	"{""n"": 1}"	"{""NOUN"": 1}"	"{""po4"": 1}"
1012	得意	dak1ji3	cute/strange/proud of oneself/pleased with oneself/complacent	23	1	"{""a"": 23}"	"{""ADJ"": 23}"	"{""dak1ji3"": 23}"
1013	條路	*tiu4lou6	NO DEF	0	0	{}	{}	{}
1014	添	tim1	to add/to increase/to replenish	0	0	{}	{}	{}
1015	曾經	cang4ging1	once/already/former/previously/ever/(past tense marker used before verb or clause)	4	1	"{""d"": 4}"	"{""ADV"": 4}"	"{""cang4ging1"": 4}"
1016	答	daap3	reply/answer/return/respond/echo/to answer/agree	14	1	"{""v"": 14}"	"{""VERB"": 14}"	"{""daap3"": 14}"
1017	搬	bun1	to move/to shift/to remove/to transport/fig. to apply indiscriminately/to copy mechanically	18	1	"{""v"": 18}"	"{""VERB"": 18}"	"{""bun1"": 18}"
1018	會考	*wui5|wui6|wui2haau2	NO DEF	9	1	"{""n"": 9}"	"{""NOUN"": 9}"	"{""wui6haau2"": 9}"
1019	經驗	ging1jim6	to experience/experience	11	2	"{""n"": 8,""v"": 3}"	"{""NOUN"": 8,""VERB"": 3}"	"{""ging1jim6"": 11}"
1020	態度	taai3dou6	manner/bearing/attitude/approach	10	1	"{""n"": 10}"	"{""NOUN"": 10}"	"{""taai3dou6"": 10}"
1021	慘	caam2	miserable/wretched/cruel/inhuman/seriously/badly/tragic	47	1	"{""a"": 47}"	"{""ADJ"": 47}"	"{""caam2"": 47}"
1022	盡量	zeon6loeng6	as much as possible/to the greatest extent	8	2	"{""d"": 3,""v"": 5}"	"{""ADV"": 3,""VERB"": 5}"	"{""zeon6loeng6"": 8}"
1023	網絡	mong5lok3	network (computer, telecom etc)	2	1	"{""n"": 2}"	"{""NOUN"": 2}"	"{""mong5lok6"": 2}"
1024	緊張	gan2zoeng1	nervous/keyed up/intense/tense/strained/in short supply/scarce	8	1	"{""a"": 8}"	"{""ADJ"": 8}"	"{""gan2zoeng1"": 8}"
1025	價值	gaa3zik6	value/worth/fig. values (ethical, cultural etc)	9	1	"{""n"": 9}"	"{""NOUN"": 9}"	"{""gaa3zik6"": 9}"
1026	噉樣樣	*gam2joeng2joeng6	NO DEF	12	2	"{""c"": 4,""r"": 8}"	"{""CCONJ"": 4,""PRON"": 8}"	"{""gam2joeng2joeng2"": 12}"
1027	影	jing2	picture/image/film/movie/photograph/reflection/shadow/trace	51	2	"{""n"": 1,""v"": 50}"	"{""NOUN"": 1,""VERB"": 50}"	"{""jing2"": 51}"
1028	橋	kiu4	bridge	8	1	"{""n"": 8}"	"{""NOUN"": 8}"	"{""kiu2"": 8}"
1029	餐	caan1	a meal	10	2	"{""n"": 2,""q"": 8}"	"{""NOUN"": 10}"	"{""caan1"": 10}"
1030	講呀	*gong2aa3|aa1|aa6	NO DEF	0	0	{}	{}	{}
1031	點呢	*dim2ne1|ni1|nei1	NO DEF	0	0	{}	{}	{}
1032	一段	*jat1dyun6	NO DEF	0	0	{}	{}	{}
1033	一般	jat1bun1	same/ordinary/common/general/generally/in general	16	1	"{""a"": 16}"	"{""ADJ"": 16}"	"{""jat1bun1"": 16}"
1034	一張	jat1zoeng1	sheet	0	0	{}	{}	{}
1035	八月	baat3jyut6	August/eighth month (of the lunar year)	22	1	"{""t"": 22}"	"{""ADV"": 22}"	"{""baat3jyut6"": 22}"
1036	下個	*haa6go3	NO DEF	1	1	"{""d"": 1}"	"{""ADV"": 1}"	"{""haa6go3"": 1}"
1037	大部份	daai6bou6fan6	in large part/the greater part/the majority	7	2	"{""a"": 1,""m"": 6}"	"{""ADJ"": 1,""NUM"": 6}"	"{""daai6bou6fan6"": 7}"
1038	女性	neoi5sing3	the female sex/a woman	12	2	"{""b"": 3,""n"": 9}"	"{""ADJ"": 3,""NOUN"": 9}"	"{""neoi5sing3"": 12}"
1039	尤其	jau4kei4	especially/particularly	2	1	"{""d"": 2}"	"{""ADV"": 2}"	"{""jau4kei4"": 2}"
1040	外圍	ngoi6wai4	(outside the boundary)/surrounding/illegal betting	2	1	"{""f"": 2}"	"{""ADV"": 2}"	"{""ngoi6wai4"": 2}"
1041	皮池	*pei4ci4	NO DEF	0	0	{}	{}	{}
1042	刑事	jing4si6	criminal/penal	3	1	"{""n"": 3}"	"{""NOUN"": 3}"	"{""jing4si6"": 3}"
1043	而且	ji4ce2	not only ... but also/as well as/moreover/in addition/furthermore	18	1	"{""c"": 18}"	"{""CCONJ"": 18}"	"{""ji4ce2"": 18}"
1044	抑或	*jik1waak6	NO DEF	8	1	"{""c"": 8}"	"{""CCONJ"": 8}"	"{""jik1waak6"": 8}"
1045	到時	dou3si4	at that (future) time	11	3	"{""d"": 1,""n"": 1,""t"": 9}"	"{""ADV"": 10,""NOUN"": 1}"	"{""dou3si4"": 11}"
1046	拉	laai1|laa1	to pull/to play (string instruments)/to drag/to draw	10	1	"{""v"": 10}"	"{""VERB"": 10}"	"{""laai1"": 10}"
1047	欣	jan1	happy	0	0	{}	{}	{}
1048	南行	*naam4hang4|haang4|hang6|hong4|hong2	NO DEF	0	0	{}	{}	{}
1049	咯	gaak3|lo1|lok3|gok3	(final particle similar to 了, indicating that sth is obvious)/(phonetic)/cough (blood)/to argue/debate	23	2	"{""y"": 19,""y1"": 4}"	"{""PART"": 23}"	"{""lok3"": 23}"
1050	重係	*zung6|cung4|cung5hai6	NO DEF	0	0	{}	{}	{}
1051	凍	dung3	cold/to freeze/aspic or jelly	33	1	"{""a"": 33}"	"{""ADJ"": 33}"	"{""dung3"": 33}"
1052	馬	maa5	horse/CL:隻[jek],匹[pāt]/a junior employee/a subordinate	9	3	"{""n"": 7,""nr"": 1,""v"": 1}"	"{""NOUN"": 7,""PROPN"": 1,""VERB"": 1}"	"{""maa5"": 9}"
1053	帳	zoeng3	account/mosquito net/tent/curtain/debt/credit	0	0	{}	{}	{}
1054	常	soeng4	always/ever/often/frequently/common/general/constant/surname Chang	2	1	"{""a"": 2}"	"{""ADJ"": 2}"	"{""soeng4"": 2}"
1055	陶	tou4	pottery/pleased/surname Tao	0	0	{}	{}	{}
1056	麻煩	maa4faan4	inconvenient/troublesome/annoying/to trouble or bother sb/to put sb to trouble	20	2	"{""a"": 14,""v"": 6}"	"{""ADJ"": 14,""VERB"": 6}"	"{""maa4faan4"": 20}"
1057	暑假	syu2gaa3	summer vacation	17	1	"{""n"": 17}"	"{""NOUN"": 17}"	"{""syu2gaa3"": 17}"
1058	發現	faat3jin6	to find/to discover	16	1	"{""v"": 16}"	"{""VERB"": 16}"	"{""faat3jin6"": 16}"
