id	ordinal	item_type	section	subsection	source_traditional	source_jyutping	source_english	later_research	top_owner_candidates
GLOSSIKA-YUEHK-A1-W14-20260621-I041	41	lexical_entry	vocabulary_and_situations	numbers	八萬	baat3 maan6	80,000	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=No opaque whole-form lexical ingress or new construction is warranted.	
GLOSSIKA-YUEHK-A1-W14-20260621-I042	42	lexical_entry	vocabulary_and_situations	numbers	九萬	gau2 maan6	90,000	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=No opaque whole-form lexical ingress or new construction is warranted.	
GLOSSIKA-YUEHK-A1-W14-20260621-I043	43	lexical_entry	vocabulary_and_situations	numbers	十萬	sap6 maan6	100,000	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=No opaque whole-form lexical ingress or new construction is warranted.	pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W15-20260628/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W15-20260628/review.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W15-20260628/source.json
GLOSSIKA-YUEHK-A1-W14-20260621-I044	44	sentence	vocabulary_and_situations	situation_patterns	你做咩工？	nei5 zou6 me1 gung1?	What do you do for work?	followup_candidate | candidate_id=W14-F05 | cluster=occupational_predication | priority=medium | reason=The lesson supplies attestation but no independent construction analysis or negative boundaries.	
GLOSSIKA-YUEHK-A1-W14-20260621-I045	45	sentence	vocabulary_and_situations	situation_patterns	我喺銀行返工。	ngo5 hai2 ngan4 hong4 faan1 gung1.	I work at a bank.	followup_candidate | candidate_id=W14-F06 | cluster=workplace_locative | priority=low | reason=The conservative analysis is already compositional; a new construction is not justified by these items.	
GLOSSIKA-YUEHK-A1-W14-20260621-I046	46	sentence	vocabulary_and_situations	situation_patterns	幾點放工？	gei2 dim2 fong3 gung1?	What time do you finish work?		
GLOSSIKA-YUEHK-A1-W14-20260621-I047	47	sentence	vocabulary_and_situations	situation_patterns	今日要加班。	gam1 jat6 jiu3 gaa1 baan1.	I have to work overtime today.		
GLOSSIKA-YUEHK-A1-W14-20260621-I048	48	dialog_turn	vocabulary_and_situations	mini_dialog	你做咩工㗎？	nei5 zou6 me1 gung1 gaa3?	What do you do?	followup_candidate | candidate_id=W14-F03 | cluster=sentence_final_particles | priority=medium | reason=Direct grammar supports gaa3 across clause types but not one generic meaning for all three lesson contexts. || followup_candidate | candidate_id=W14-F05 | cluster=occupational_predication | priority=medium | reason=The lesson supplies attestation but no independent construction analysis or negative boundaries.	
GLOSSIKA-YUEHK-A1-W14-20260621-I049	49	dialog_turn	vocabulary_and_situations	mini_dialog	我做會計嘅。你呢？	ngo5 zou6 wui6 gai3 ge3. nei5 ne1?	I'm an accountant. And you?	followup_candidate | candidate_id=W14-F04 | cluster=sentence_final_ge3 | priority=high | reason=The source gloss ATTR is too coarse and risks conflating attributive and sentence-final uses. || followup_candidate | candidate_id=W14-F05 | cluster=occupational_predication | priority=medium | reason=The lesson supplies attestation but no independent construction analysis or negative boundaries.	
GLOSSIKA-YUEHK-A1-W14-20260621-I050	50	dialog_turn	vocabulary_and_situations	mini_dialog	我喺酒店返工。幾辛苦㗎。	ngo5 hai2 zau2 dim3 faan1 gung1. gei2 san1 fu2 gaa3.	I work at a hotel. It's quite tiring.	followup_candidate | candidate_id=W14-F03 | cluster=sentence_final_particles | priority=medium | reason=Direct grammar supports gaa3 across clause types but not one generic meaning for all three lesson contexts. || followup_candidate | candidate_id=W14-F06 | cluster=workplace_locative | priority=low | reason=The conservative analysis is already compositional; a new construction is not justified by these items. || followup_candidate | candidate_id=W14-F07 | cluster=degree_gei2 | priority=medium | reason=The narrow degree use is externally supported; implementation adequacy is a separate question.	
GLOSSIKA-YUEHK-A1-W14-20260621-I051	51	dialog_turn	vocabulary_and_situations	mini_dialog	係呀，不過人工OK嘅。	hai6 aa3, bat1 gwo3 jan4 gung1 OK ge3.	Yeah, but the pay is OK.	followup_candidate | candidate_id=W14-F03 | cluster=sentence_final_particles | priority=medium | reason=Direct grammar supports gaa3 across clause types but not one generic meaning for all three lesson contexts. || followup_candidate | candidate_id=W14-F04 | cluster=sentence_final_ge3 | priority=high | reason=The source gloss ATTR is too coarse and risks conflating attributive and sentence-final uses.	
GLOSSIKA-YUEHK-A1-W14-20260621-I052	52	sentence	grammar_patterns	basic_word_order	我食飯。	ngo5 sik6 faan6	I eat rice.		executable_test_or_fixture:tests/constructions/ClauseRelationEdge.json || executable_test_or_fixture:tests/constructions/ClauseRelationGraph.json || executable_test_or_fixture:tests/constructions/ClauseRelationMemberSpan.json || executable_test_or_fixture:tests/constructions/ClauseSpan.json || executable_test_or_fixture:tests/constructions/CognitionStatementClause.json || executable_test_or_fixture:tests/constructions/ComplementEllipsisFragment.json
GLOSSIKA-YUEHK-A1-W14-20260621-I053	53	sentence	grammar_patterns	basic_word_order	佢睇書。	keoi5 tai2 syu1	He/She reads a book.		
GLOSSIKA-YUEHK-A1-W14-20260621-I054	54	phonics_pair	phonics_drill	long_aa_vs_short_a				followup_candidate | candidate_id=W14-F09 | cluster=vowel_length | priority=medium | reason=The general contrast is supported, but duration and quality contributions differ across vowel pairs.	
GLOSSIKA-YUEHK-A1-W14-20260621-I055	55	phonics_pair	phonics_drill	long_aa_vs_short_a				followup_candidate | candidate_id=W14-F09 | cluster=vowel_length | priority=medium | reason=The general contrast is supported, but duration and quality contributions differ across vowel pairs.	
GLOSSIKA-YUEHK-A1-W14-20260621-I056	56	phonics_pair	phonics_drill	long_aa_vs_short_a				followup_candidate | candidate_id=W14-F09 | cluster=vowel_length | priority=medium | reason=The general contrast is supported, but duration and quality contributions differ across vowel pairs.	
GLOSSIKA-YUEHK-A1-W14-20260621-I057	57	phonics_pair	phonics_drill	long_aa_vs_short_a				followup_candidate | candidate_id=W14-F09 | cluster=vowel_length | priority=medium | reason=The general contrast is supported, but duration and quality contributions differ across vowel pairs.	
GLOSSIKA-YUEHK-A1-W14-20260621-I058	58	phonics_pair	phonics_drill	long_aa_vs_short_a				followup_candidate | candidate_id=W14-F09 | cluster=vowel_length | priority=medium | reason=The general contrast is supported, but duration and quality contributions differ across vowel pairs.	
GLOSSIKA-YUEHK-A1-W14-20260621-I059	59	phonics_pair	phonics_drill	long_aa_vs_short_a				followup_candidate | candidate_id=W14-F09 | cluster=vowel_length | priority=medium | reason=The general contrast is supported, but duration and quality contributions differ across vowel pairs.	
