id	ordinal	item_type	section	subsection	source_traditional	source_jyutping	source_english	later_research	top_owner_candidates
GLOSSIKA-YUEHK-A1-W14-20260621-I021	21	lexical_entry	vocabulary_and_situations	work_and_office	見工	gin3 gung1	job interview	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner || followup_candidate | candidate_id=W14-F08 | cluster=lexical_gloss_review | priority=high | reason=The source glosses may be perspective-bound or narrower than the Cantonese forms; no correction is asserted here.	
GLOSSIKA-YUEHK-A1-W14-20260621-I022	22	lexical_entry	vocabulary_and_situations	work_and_office	履歷	lei5 lik6	resume/CV	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	
GLOSSIKA-YUEHK-A1-W14-20260621-I023	23	lexical_entry	vocabulary_and_situations	work_and_office	職位	zik1 wai2	position/job title	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	
GLOSSIKA-YUEHK-A1-W14-20260621-I024	24	lexical_entry	vocabulary_and_situations	work_and_office	合約	hap6 joek3	contract	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	
GLOSSIKA-YUEHK-A1-W14-20260621-I025	25	lexical_entry	vocabulary_and_situations	work_and_office	遲到	ci4 dou3	to be late	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-004-20251221/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-004-20251221/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-004-20251221/review.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-004-20251221/source.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-016-20260322/crosswalk.json
GLOSSIKA-YUEHK-A1-W14-20260621-I026	26	lexical_entry	vocabulary_and_situations	work_and_office	準時	zeon2 si4	on time	lexical_ingress | disposition=already_covered_exact | recommendation=no_duplicate_ingress | runtime=src/runtime-resources/lexicon/token-lexicon	runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/verbs.js || runtime_source:src/runtime-resources/presentation/learner-glosses.js
GLOSSIKA-YUEHK-A1-W14-20260621-I027	27	lexical_entry	vocabulary_and_situations	work_and_office	電腦	din6 nou5	computer	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	runtime_source:src/parser/orchestration/wrap-core.js
GLOSSIKA-YUEHK-A1-W14-20260621-I028	28	lexical_entry	vocabulary_and_situations	work_and_office	電郵	din6 jau4	email	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	
GLOSSIKA-YUEHK-A1-W14-20260621-I029	29	lexical_entry	vocabulary_and_situations	work_and_office	傳真	cyun4 zan1	fax	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	
GLOSSIKA-YUEHK-A1-W14-20260621-I030	30	lexical_entry	vocabulary_and_situations	work_and_office	影印	jing2 jan3	to photocopy	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	executable_test_or_fixture:tests/tooling/runtime/aa82-matrix-parent-force.test.js || canonical_or_research_data:data/corpus-reviews/AA82-ATTESTED-BOUNDARY-PACKET-R1.json || canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/review.json
GLOSSIKA-YUEHK-A1-W14-20260621-I031	31	lexical_entry	vocabulary_and_situations	work_and_office	文件	man4 gin2	document	lexical_ingress | disposition=already_covered_exact | recommendation=no_duplicate_ingress | runtime=src/runtime-resources/lexicon/token-lexicon	runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/study-suite.js || current_grammar_note:grammar/research_pending/PriorityMarkerClause.md || canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/review.json
GLOSSIKA-YUEHK-A1-W14-20260621-I032	32	lexical_entry	vocabulary_and_situations	work_and_office	客戶	haak3 wu6	client	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	
GLOSSIKA-YUEHK-A1-W14-20260621-I033	33	lexical_entry	vocabulary_and_situations	work_and_office	實習生	sat6 zaap6 saang1	intern	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	
GLOSSIKA-YUEHK-A1-W14-20260621-I034	34	lexical_entry	vocabulary_and_situations	numbers	一萬	jat1 maan6	10,000	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=No opaque whole-form lexical ingress or new construction is warranted.	canonical_or_research_data:data/corpus-reviews/AA82-ATTESTED-BOUNDARY-PACKET-R1.json
GLOSSIKA-YUEHK-A1-W14-20260621-I035	35	lexical_entry	vocabulary_and_situations	numbers	二萬	ji6 maan6	20,000	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=No opaque whole-form lexical ingress or new construction is warranted.	
GLOSSIKA-YUEHK-A1-W14-20260621-I036	36	lexical_entry	vocabulary_and_situations	numbers	三萬	saam1 maan6	30,000	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=No opaque whole-form lexical ingress or new construction is warranted.	canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-015-20260315/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-015-20260315/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-015-20260315/review.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-015-20260315/source.json
