15	家豪	家豪: 但係你真係鍾意商科咩？	/daan6 hai6 nei5 zan1 hai6 zung1 ji3 soeng1 fo1 me1?/
16	詠思	詠思: 唔係好鍾意，覺得好悶。	/m4 hai6 hou2 zung1 ji3, gok3 dak1 hou2 mun6./
17	家豪	家豪: 咁你可以轉科呀！	/gam2 nei5 ho2 ji5 zyun2 fo1 aa3!/
18	詠思	詠思: 我都有諗過，但係驚屋企人嬲。	/ngo5 dou1 jau5 nam2 gwo3, daan6 hai6 geng1 uk1 kei2 jan4 nau1./
19	家豪	家豪: 你要做自己鍾意嘅嘢先開心㗎。	/nei5 jiu3 zou6 zi6 gei2 zung1 ji3 ge3 je5 sin1 hoi1 sam1 gaa3./
20	詠思	詠思: 你講得啱。我應該同屋企人傾吓。	/nei5 gong2 dak1 ngaam1. ngo5 jing1 goi1 tung4 uk1 kei2 jan4 king1 haa5./
21	家豪	家豪: 係呀！你將來想做設計，而家就要準備。	/hai6 aa3! nei5 zoeng1 loi4 soeng2 zou6 cit3 gai3, ji4 gaa1 zau6 jiu3 zeon2 bei6./
22	詠思	詠思: 我可以平時自己學畫畫。	/ngo5 ho2 ji5 ping4 si4 zi6 gei2 hok6 waak6 waa2./
23	家豪	家豪: 啱呀！你有冇上網學？	/ngaam1 aa3! nei5 jau5 mou5 soeng5 mong5 hok6?/
24	詠思	詠思: 有呀，我睇緊YouTube教學。	/jau5 aa3, ngo5 tai2 gan2 YouTube gaau3 hok6./
25	家豪	家豪: 好呀！慢慢學，將來一定做到設計師。	/hou2 aa3! maan6 maan6 hok6, zoeng1 loi4 jat1 ding6 zou6 dou2 cit3 gai3 si1./
26	詠思	詠思: 希望啦！你呢？你有冇做過補習？	/hei1 mong6 laa1! nei5 ne1? nei5 jau5 mou5 zou6 gwo3 bou2 zaap6?/
27	家豪	家豪: 有呀！我而家幫小學生補習。	/jau5 aa3! ngo5 ji4 gaa1 bong1 siu2 hok6 saang1 bou2 zaap6./
