1	借	ze3	to borrow, to lend
2	嘢	je5	thing, stuff
3	喺唔喺度	hai2 m4 hai2 dou6	are you there/here?
4	喺	hai2	to be (at a location)
5	度	dou6	here, there (place)
6	入嚟	jap6 lai4	come in
7	啦	laa1	[sentence particle]
8	唔好意思	m4 hou2 ji3 si1	excuse me, sorry
9	想	soeng2	to want, to think
10	啲	di1	some, a little
11	用	jung6	to use
12	乜嘢	mat1 je5	what
13	嚟	lai4	to come; [verb suffix]
14	㗎	gaa3	[sentence particle]
15	支	zi1	[classifier for long thin objects]
16	筆	bat1	pen, writing instrument
17	得唔得	dak1 m4 dak1	is it okay? can or not?
18	得	dak1	okay, can, to be able to
19	要	jiu3	to want, to need
20	邊	bin1	which
