41	討論	tou2 leon6	to discuss
42	主意	zyu2 ji3	idea
43	讀書會	duk6 syu1 wui5	book club
44	咖啡店	gaa3 fe1 dim3	coffee shop
45	輪流	leon4 lau4	to take turns
46	揀	gaan2	to choose, to select
47	儲錢	cyu5 cin2	to save money
48	五萬蚊	ng5 maan6 man1	50,000 dollars
49	試	si3	to try
50	少啲	siu2 di1	less, fewer
51	出街食飯	ceot1 gaai1 sik6 faan6	eat out, dine out
52	煮	zyu2	to cook
53	平	peng4	cheap, inexpensive
54	懶	laan5	lazy
55	互相	wu6 soeng1	mutually, each other
56	鼓勵	gu2 lai6	to encourage
57	新開始	san1 hoi1 ci2	new beginning
58	加油	gaa1 jau4	keep it up, come on
