1	辦公室	baan6 gung1 sat1	office
2	指示	zi2 si6	instructions, directions
3	早晨	zou2 san4	good morning
4	先生	sin1 saang1	Mr., sir
5	小姐	siu2 ze2	Miss, Ms.
6	第一日	dai6 jat1 jat6	first day
7	返工	faan1 gung1	go to work
8	感覺	gam2 gok3	feeling, impression
9	點樣	dim2 joeng2	how, in what way
10	都幾好	dou1 gei2 hou2	pretty good, quite good
11	呀	aa3	[sentence particle]
12	不過	bat1 gwo3	but, however
13	仲	zung6	still, yet
14	有啲	jau5 di1	a little, somewhat
15	緊張	gan2 zoeng1	nervous, tense
16	唔使	m4 sai2	don't need to, no need
17	驚	geng1	afraid, scared
18	慢慢	maan6 maan2	slowly, gradually
19	學	hok6	learn, study
20	就得	zau6 dak1	then it's fine, that's enough
