21	去過	heoi3 gwo3	have been to
22	未	mei6	not yet
23	人	jan4	person, people
24	食	sik6	to eat
25	講	gong2	to speak, to say
26	多	do1	many, much
27	開	hoi1	to open
28	新	san1	new
29	佢	keoi5	he, she, it
30	試	si3	to try
31	下次	haa6 ci3	next time
32	一齊	jat1 cai4	together
33	得	dak1	okay, can
34	啦	laa1	[particle indicating change or decision]
35	咁	gam2	so, then, like that
36	定	ding6	to decide, to fix
37	幾時	gei2 si4	when, what time
38	可以	ho2 ji5	can, may
39	唔該	m4 goi1	please, thank you (for service)
40	冇問題	mou5 man6 tai4	no problem
