15	陳先生	陳先生: 做完之後，要影印十份。	/zou6 jyun4 zi1 hau6, jiu3 jing2 jan3 sap6 fan6./
16	黃小姐	黃小姐: 影印機喺邊度？	/jing2 jan3 gei1 hai2 bin1 dou6?/
17	陳先生	陳先生: 喺隔離房，我帶你去睇。	/hai2 gaak3 lei4 fong2, ngo5 daai3 nei5 heoi3 tai2./
18	黃小姐	黃小姐: 唔該晒！	/m4 goi1 saai3!/
19	陳先生	陳先生: 呢部就係影印機。	/ni1 bou6 zau6 hai6 jing2 jan3 gei1./
20	黃小姐	黃小姐: 我識用，好簡單。	/ngo5 sik1 jung6, hou2 gaan2 daan1./
21	陳先生	陳先生: 咁就好。跟住要打電話。	/gam2 zau6 hou2. gan1 zyu6 jiu3 daa2 din6 waa2./
22	黃小姐	黃小姐: 打畀邊個？	/daa2 bei2 bin1 go3?/
23	陳先生	陳先生: 打畀李生，確認聽日嘅會議。	/daa2 bei2 lei5 saang1, kok3 jing6 ting1 jat6 ge3 wui6 ji5./
24	黃小姐	黃小姐: 幾點鐘開會？	/gei2 dim2 zung1 hoi1 wui2?/
25	陳先生	陳先生: 聽日朝早十點。	/ting1 jat6 ziu1 zou2 sap6 dim2./
26	黃小姐	黃小姐: 好，我記低咗。	/hou2, ngo5 gei3 dai1 zo2./
27	陳先生	陳先生: 仲有，你要準備會議室。	/zung6 jau5, nei5 jiu3 zeon2 bei6 wui6 ji5 sat1./
28	黃小姐	黃小姐: 要準備啲咩？	/jiu3 zeon2 bei6 di1 me1?/
