34	dialog_turn	32	阿珊	阿珊: 多謝!我走先!	/Aa3 Saan1: Do1 ze6! Ngo5 zau2 sin1!/
35	dialog_turn	33	老細	老細: 大家今日辛苦晒!	/Lou5 Sai3: Daai6 gaa1 gam1 jat6 san1 fu2 saai3!/
36	stage_direction			會議室剩返幾個人...	Wui5 ji5 sat1 zing6 faan1 gei2 go3 jan4...
37	dialog_turn	34	阿強	阿強: 老細,我哋可唔可以走呀?	/Aa3 Koeng4: Lou5 sai3, ngo5 dei6 ho2 m4 ho2 ji5 zau2 aa3?/
38	dialog_turn	35	老細	老細: 點解?有嘢做?	/Lou5 Sai3: Dim2 gaai2? Jau5 je5 zou6?/
39	dialog_turn	36	阿強	阿強: 冇呀,不過開咗三個鐘喇。	/Aa3 Koeng4: Mou5 aa3, bat1 gwo3 hoi1 zo2 saam1 go3 zung1 laa3./
40	dialog_turn	37	老細	老細: 哦,係喎!咁我哋完啦!	/Lou5 Sai3: O4, hai6 wo3! Gam2 ngo5 dei6 jyun4 laa1!/
41	dialog_turn	38	阿強	阿強: 終於完!	/Aa3 Koeng4: Zung1 jyu1 jyun4!/
42	dialog_turn	39	老細	老細: 大家可以走喇!	/Lou5 Sai3: Daai6 gaa1 ho2 ji5 zau2 laa3!/
43	dialog_turn	40	全部人	全部人: 多謝!拜拜!	/Cyun4 bou6 jan4: Do1 ze6! Baai1 baai3!/
44	dialog_turn	41	老細	老細: 拜拜!大家辛苦!	/Lou5 Sai3: Baai1 baai3! Daai6 gaa1 san1 fu2!/
