15	家豪	家豪: 識呀，我識打籃球。	/sik1 aa3, ngo5 sik1 daa2 laam4 kau4./
16	詠琪	詠琪: 你打得好唔好？	/nei5 daa2 dak1 hou2 m4 hou2?/
17	家豪	家豪: 打得麻麻哋啦。	/daa2 dak1 maa4 maa4 dei2 laa1./
18	詠琪	詠琪: 我完全唔識打波。	/ngo5 jyun4 cyun4 m4 sik1 daa2 bo1./
19	家豪	家豪: 我可以教你呀。	/ngo5 ho2 ji5 gaau3 nei5 aa3./
20	詠琪	詠琪: 好呀，我想學。	/hou2 aa3, ngo5 soeng2 hok6./
21	家豪	家豪: 你想學啲咩技能？	/nei5 soeng2 hok6 di1 me1 gei6 nang4?/
22	詠琪	詠琪: 我想學彈結他。	/ngo5 soeng2 hok6 taan4 git3 taa1./
23	家豪	家豪: 結他好難學㗎。	/git3 taa1 hou2 naan4 hok6 gaa3./
24	詠琪	詠琪: 你識唔識彈結他？	/nei5 sik1 m4 sik1 taan4 git3 taa1?/
25	家豪	家豪: 我唔識，我識彈琴。	/ngo5 m4 sik1, ngo5 sik1 taan4 kam4./
26	詠琪	詠琪: 嘩，好勁呀！	/waa1, hou2 geng6 aa3!/
27	家豪	家豪: 我細個學㗎啫。	/ngo5 sai3 go3 hok6 gaa3 ze1./
28	詠琪	詠琪: 仲有冇學其他嘢？	/zung6 jau5 mou5 hok6 kei4 taa1 je5?/
