1	唔好意思	m4 hou2 ji3 si1	sorry, excuse me
2	要	jiu3	to need, must
3	走	zau2	to leave, to go
4	會議	wui5 ji5	meeting
5	未完	mei6 jyun4	not finished yet
6	我知	ngo5 zi1	I know
7	不過	bat1 gwo3	but, however
8	有嘢做	jau5 je5 zou6	have things to do
9	接	zip3	to pick up
10	仔女	zai2 neoi5	children
11	放學	fong3 hok6	school dismissal, end of school
12	幾點	gei2 dim2	what time
13	三點半	saam1 dim2 bun3	3: 30
14	而家	ji4 gaa1	now
15	快啲	faai3 di1	hurry, quickly
16	但係	daan6 hai6	but
17	仲未	zung6 mei6	still not yet
18	冇事	mou5 si6	itʼs okay, no problem
19	老細	lou5 sai3	boss
20	真㗎	zan1 gaa3	really?
21	多謝晒	do1 ze6 saai3	thank you very much
22	唔使客氣	m4 sai2 haak3 hei3	youʼre welcome
