23	dialog_turn	22	阿輝	阿輝: 多謝老細!	/Aa3 Fai1: Do1 ze6 lou5 sai3!/
24	dialog_turn	23	老細	老細: 快啲去,唔好遲到!	/Lou5 Sai3: Faai3 di1 heoi3, m4 hou2 ci4 dou3!/
25	dialog_turn	24	阿輝	阿輝: 好!我走喇!	/Aa3 Fai1: Hou2! Ngo5 zau2 laa3!/
26	dialog_turn	25	老細	老細: 明天見!	/Lou5 Sai3: Ming4 tin1 gin3!/
27	stage_direction			阿輝出咗去...	Aa3 Fai1 ceot1 zo2 heoi3...
28	dialog_turn	26	阿珊	阿珊: 老細,唔好意思,我都要走。	/Aa3 Saan1: Lou5 sai3, m4 hou2 ji3 si1, ngo5 dou1 jiu3 zau2./
29	dialog_turn	27	老細	老細: 你都要走?點解呀?	/Lou5 Sai3: Nei5 dou1 jiu3 zau2? Dim2 gaai2 aa3?/
30	dialog_turn	28	阿珊	阿珊: 我約咗醫生。	/Aa3 Saan1: Ngo5 joek3 zo2 ji1 sang1./
31	dialog_turn	29	老細	老細: 幾點呀?	/Lou5 Sai3: Gei2 dim2 aa3?/
32	dialog_turn	30	阿珊	阿珊: 三點四十五。	/Aa3 Saan1: Saam1 dim2 sei3 sap6 ng5./
33	dialog_turn	31	老細	老細: 咁快啲走啦!	/Lou5 Sai3: Gam2 faai3 di1 zau2 laa1!/
