1	將來	zoeng1 loi4	future, in the future
2	想	soeng2	want, wish, think
3	做	zou6	do, make, work as
4	乜嘢	mat1 je5	what
5	工作	gung1 zok3	work, job
6	都	dou1	also, all, even
7	唔係好	m4 hai6 hou2	not very
8	肯定	hang2 ding6	certain, sure
9	呢	ne1	[question particle]
10	老師	lou5 si1	teacher
11	教	gaau3	teach
12	小朋友	siu2 pang4 jau5	children, kids
13	嘩	waa1	[exclamation of surprise]
14	辛苦	san1 fu2	hard, difficult, tiring
15	㗎喎	gaa3 wo3	[emphasis + hearsay]
16	鍾意	zung1 ji3	like, love
17	同	tung4	with, and
18	相處	soeng1 cyu2	get along, interact
19	讀緊	duk6 gan2	studying, reading (now)
20	教育	gaau3 juk6	education
