15	志明	志明: 我見到喇，多謝。	/ngo5 gin3 dou2 laa3, do1 ze6./
16	美華	美華: 幾時還呀？	/gei2 si4 waan4 aa3?/
17	志明	志明: 聽日還你得唔得？	/ting1 jat6 waan4 nei5 dak1 m4 dak1?/
18	美華	美華: 得呀，唔使急。	/dak1 aa3, m4 sai2 gap1./
19	志明	志明: 再借個杯用下得唔得？	/zoi3 ze3 go3 bui1 jung6 haa5 dak1 m4 dak1?/
20	美華	美華: 要飲水呀？	/jiu3 jam2 seoi2 aa3?/
21	志明	志明: 係呀，好口渴。	/hai6 aa3, hou2 hau2 hot3./
22	美華	美華: 櫃入面有杯。	/gwai6 jap6 min6 jau5 bui1./
23	志明	志明: 呢個紅色杯？	/ni1 go3 hung4 sik1 bui1?/
24	美華	美華: 係呀，攞嗰個啦。	/hai6 aa3, lo2 go2 go3 laa1./
25	志明	志明: 唔該呀。	/m4 goi1 aa3./
26	美華	美華: 仲要啲咩？	/zung6 jiu3 di1 me1?/
27	志明	志明: 有冇紙巾呀？	/jau5 mou5 zi2 gan1 aa3?/
28	美華	美華: 有呀，要幾多張？	/jau5 aa3, jiu3 gei2 do1 zoeng1?/
