1	冬至	dung1 zi3	Winter Solstice
2	湯圓	tong1 jyun4	tang yuan, glutinous rice balls
3	屋企	uk1 kei2	home, family
4	整	zing2	to make, to prepare
5	買	maai5	to buy
6	自己	zi6 gei2	oneself
7	定	ding6	or (in questions)
8	好玩	hou2 waan2	fun
9	未試過	mei6 si3 gwo3	havenʼt tried
10	唔難	m4 naan4	not difficult
11	糯米粉	no6 mai5 fan2	glutinous rice flour
12	糖	tong4	sugar
13	溝	kau1	to mix
14	暖水	nyun5 seoi2	warm water
15	搓	co1	to knead, to roll
16	耳仔	ji5 zai2	ear, earlobe
17	軟	jyun5	soft
18	得意	dak1 ji3	cute, interesting
19	然後	jin4 hau6	then, afterwards
20	粒	nap1	classifier for small round objects
21	波子	bo1 zi2	marble
22	包	baau1	to wrap, to fill
23	餡	haam6	filling
