21	咁啱	gam3 ngaam1	coincidentally, it just so happens
22	間	gaan1	[measure word for buildings/rooms]
23	幾好	gei2 hou2	quite good, pretty good
24	嘅	ge3	[possessive/descriptive particle]
25	真係	zan1 hai6	really, truly
26	喺	hai2	at, in, on (location)
27	超級市場	ciu1 kap1 si5 coeng4	supermarket
28	隔離	gaak3 lei4	next to, next door
29	近	kan5	close, near
30	㗎	gaa3	[assertive particle]
31	好	hou2	good, very
32	你	nei5	you
33	我	ngo5	I, me
34	係	hai6	to be, is/are
35	咪	mai6	then, in that case
36	行	haang4	to walk, to go
37	過去	gwo3 heoi3	to go over, to pass
38	睇	tai2	to look, to see, to watch
39	下	haa5	[softening particle]
40	先	sin1	first, before
