15	黃志強	黃志強: 我朋友去過，佢話好正。	/ngo5 pang4 jau5 heoi3 gwo3, keoi5 waa6 hou2 zeng3./
16	張美玲	張美玲: 噢，係邊個朋友呀？	/o5, hai6 bin1 go3 pang4 jau5 aa3?/
17	黃志強	黃志強: 阿強呀，佢上個禮拜去咗。	/aa3 koeng4 aa3, keoi5 soeng6 go3 lai5 baai3 heoi3 zo2./
18	張美玲	張美玲: 佢成日食貴嘢嘅。	/keoi5 seng4 jat6 sik6 gwai3 je5 ge3./
19	黃志強	黃志強: 哈哈，咁你有冇興趣試吓？	/haa1 haa1, gam2 nei5 jau5 mou5 hing3 ceoi3 si3 haa5?/
20	張美玲	張美玲: 我諗吓先啦，可能太貴。	/ngo5 nam2 haa5 sin1 laa1, ho2 nang4 taai3 gwai3./
21	黃志強	黃志強: 環境都好靚㗎，好適合慶祝。	/waan4 ging2 dou1 hou2 leng3 gaa3, hou2 sik1 hap6 hing3 zuk1./
22	張美玲	張美玲: 我而家冇咩要慶祝喎。	/ngo5 ji4 gaa1 mou5 me1 jiu3 hing3 zuk1 wo3./
23	黃志強	黃志強: 咁不如約埋其他同事一齊去？	/gam2 bat1 jyu4 joek3 maai4 kei4 taa1 tung4 si6 jat1 cai4 heoi3?/
24	張美玲	張美玲: 可以呀，多啲人平均分就平啲。	/ho2 ji5 aa3, do1 di1 jan4 ping4 gwan1 fan1 zau6 peng4 di1./
25	黃志強	黃志強: 好主意！你覺得約幾時好？	/hou2 zyu2 ji3! nei5 gok3 dak1 joek3 gei2 si4 hou2?/
26	張美玲	張美玲: 下個星期五得唔得呀？	/haa6 go3 sing1 kei4 ng5 dak1 m4 dak1 aa3?/
27	黃志強	黃志強: 我睇睇先，應該得嘅。	/ngo5 tai2 tai2 sin1, jing1 goi1 dak1 ge3./
28	張美玲	張美玲: 你記得要Book枱呀。	/nei5 gei3 dak1 jiu3 book1 toi2 aa3./
