1	知	zi1	to know
2	唔知	m4 zi1	don't know
3	知唔知	zi1 m4 zi1	do you know (or not)
4	去	heoi3	to go
5	邊度	bin1 dou6	where
6	買嘢	maai5 je5	to buy things, to shop
7	喂	wai3	hey, hello
8	附近	fu6 gan6	nearby, vicinity
9	有	jau5	to have, there is/are
10	文具舖	man4 geoi6 pou3	stationery shop
11	想	soeng2	to want, to think
12	買	maai5	to buy
13	咩嘢	me1 je5	what, what thing
14	呀	aa3	[question particle]
15	支	zi1	[measure word for long objects]
16	筆	bat1	pen, writing instrument
17	同埋	tung4 maai4	and, together with
18	啲	di1	some, a little
19	文件夾	man4 gin6 gaap3	folder, file holder
20	噢	o4	oh, I see
