1	dialog_turn	1	阿輝	阿輝: 唔好意思,我要走喇。	/Aa3 Fai1: M4 hou2 ji3 si1, ngo5 jiu3 zau2 laa3./
2	dialog_turn	2	阿珊	阿珊: 而家?會議未完喎。	/Aa3 Saan1: Ji4 gaa1? Wui5 ji5 mei6 jyun4 wo3./
3	dialog_turn	3	阿輝	阿輝: 我知,不過我有嘢做。	/Aa3 Fai1: Ngo5 zi1, bat1 gwo3 ngo5 jau5 je5 zou6./
4	dialog_turn	4	阿珊	阿珊: 係咩事呀?	/Aa3 Saan1: Hai6 me1 si6 aa3?/
5	dialog_turn	5	阿輝	阿輝: 我要接仔女放學。	/Aa3 Fai1: Ngo5 jiu3 zip3 zai2 neoi5 fong3 hok6./
6	dialog_turn	6	阿珊	阿珊: 哦,幾點放學呀?	/Aa3 Saan1: O4, gei2 dim2 fong3 hok6 aa3?/
7	dialog_turn	7	阿輝	阿輝: 三點半,而家三點喇。	/Aa3 Fai1: Saam1 dim2 bun3, ji4 gaa1 saam1 dim2 laa3./
8	dialog_turn	8	阿珊	阿珊: 咁你要快啲走!	/Aa3 Saan1: Gam2 nei5 jiu3 faai3 di1 zau2!/
9	dialog_turn	9	阿輝	阿輝: 但係會議仲未完...	/Aa3 Fai1: Daan6 hai6 wui5 ji5 zung6 mei6 jyun4.../
10	dialog_turn	10	阿珊	阿珊: 冇事㗎,我同老細講。	/Aa3 Saan1: Mou5 si6 gaa3, ngo5 tung4 lou5 sai3 gong2./
11	dialog_turn	11	阿輝	阿輝: 真㗎?多謝晒!	/Aa3 Fai1: Zan1 gaa3? Do1 ze6 saai3!/
