23	走先	zau2 sin1	leave first
24	小心啲	siu2 sam1 di1	be careful
25	站起身	zaam6 hei2 san1	to stand up
26	去邊	heoi3 bin1	where are you going
27	點解	dim2 gaai2	why
28	留低	lau4 dai1	to stay
29	家人	gaa1 jan4	family
30	緊要	gan2 jiu3	important
31	遲到	ci4 dou3	to be late
32	明天見	ming4 tin1 gin3	see you tomorrow
33	出咗去	ceot1 zo2 heoi3	went out
34	約咗	joek3 zo2	made an appointment with
35	醫生	ji1 sang1	doctor
36	三點四十五	saam1 dim2 sei3 sap6 ng5	3: 45
37	辛苦	san1 fu2	worked hard, tough
38	會議室	wui5 ji5 sat1	meeting room
39	剩返	zing6 faan1	remaining, left over
40	可唔可以	ho2 m4 ho2 ji5	can or cannot
41	開咗	hoi1 zo2	been going on for
42	三個鐘	saam1 go3 zung1	three hours
43	終於	zung1 jyu1	finally
44	全部人	cyun4 bou6 jan4	everyone
