21	一定得	jat1 ding6 dak1	definitely can do it
22	早啲	zou2 di1	earlier
23	瞓	fan3	to sleep
24	平時	peng4 si4	usually
25	好夜	hou2 je6	very late
26	通常	tung1 soeng4	normally, usually
27	十二點後	sap6 ji6 dim2 hau6	after 12 oʼclock
28	對身體	deoi3 san1 tai2	for the body
29	唔好	m4 hou2	not good
30	所以	so2 ji5	therefore, so
31	改	goi2	to change
32	十點半	sap6 dim2 bun3	10: 30
33	早瞓早起	zou2 fan3 zou2 hei2	sleep early, wake early
34	健康	gin6 hong1	healthy
35	睇書	tai2 syu1	to read books
36	小說	siu2 syut3	novel
37	雜誌	zaap6 zi3	magazine
38	乜都	mat1 dou1	anything, everything
39	一個月	jat1 go3 jyut6	one month
40	本	bun2	classifier for books
