1	新年	san1 nin4	New Year
2	大計	daai6 gai3	big plan, resolution
3	諗	nam2	to think
4	改變	goi2 bin3	to change
5	減肥	gaam2 fei4	to lose weight
6	肥	fei4	fat
7	公斤	gung1 gan1	kilogram
8	點樣	dim2 joeng2	how
9	健身室	gin6 san1 sat1	gym
10	做運動	zou6 wan6 dung6	to exercise
11	開始	hoi1 ci2	to start, to begin
12	一月一號	jat1 jyut6 jat1 hou6	January 1st
13	學	hok6	to learn, to study
14	語言	jyu5 jin4	language
15	邊隻	bin1 zek3	which (classifier for languages)
16	日文	Jat6 man4	Japanese
17	文化	man4 faa3	culture
18	上堂	soeng5 tong4	to attend class
19	每個禮拜	mui5 go3 lai5 baai3	every week
20	兩次	loeng5 ci3	twice
