1	覺得	gok3 dak1	to feel, to think
2	點樣	dim2 joeng2	how, what kind
3	餐廳	caan1 teng1	restaurant
4	有冇	jau5 mou5	have or not, is there
5	聽過	teng1 gwo3	have heard of
6	呢間	ni1 gaan1	this (building/shop)
7	邊間	bin1 gaan1	which (building/shop)
8	講緊	gong2 gan2	talking about, referring to
9	就係	zau6 hai6	it's exactly, it's just
10	嗰間	go2 gaan1	that (building/shop)
11	新開	san1 hoi1	newly opened
12	意大利	ji3 daai6 lei6	Italy, Italian
13	㗎	gaa3	[question particle]
14	唔知	m4 zi1	don't know
15	喎	wo3	[particle indicating realization]
16	中環	zung1 waan4	Central (Hong Kong district)
17	好多人	hou2 do1 jan4	many people
18	話	waa6	to say, that (reported speech)
19	好好食	hou2 hou2 sik6	very delicious
20	係咩	hai6 me1	really? is that so?
