1	識唔識	sik1 m4 sik1	know how to or not; can you
2	游水	jau4 seoi2	to swim; swimming
3	識	sik1	to know; to know how to
4	少少	siu2 siu2	a little bit
5	啫	ze1	only; just [particle]
6	你呢	nei5 ne1	how about you; and you
7	都	dou1	also; too; even
8	幾時	gei2 si4	when; what time
9	學識	hok6 sik1	to learn; to learn how to
10	嘅	ge3	[possessive/descriptive particle]
11	細個	sai3 go3	childhood; when young
12	學	hok6	to learn; to study
13	中學	zung1 hok6	middle school; secondary school
14	先	sin1	first; only then
15	你	nei5	you
16	鍾意	zung1 ji3	to like; to love
17	唔鍾意	m4 zung1 ji3	don't like; dislike
18	驚	geng1	to be afraid; to fear
19	水	seoi2	water
20	怕	paa3	to fear; to be afraid of
