24	花生	faa1 sang1	peanut
25	芝麻	zi1 maa4	sesame
26	豆沙	dau6 saa1	red bean paste
27	煲	bou1	to boil, to cook
28	左右	zo2 jau6	approximately, around
29	熟	suk6	cooked, ripe
30	浮起	fau4 hei2	to float up
31	簡單	gaan1 daan1	simple, easy
32	糖水	tong4 seoi2	sweet soup, syrup
33	代表	doi6 biu2	to represent
34	一家	jat1 gaa1	family, household
35	團圓	tyun4 jyun4	reunion, togetherness
36	意思	ji3 si1	meaning
37	圓	jyun4	round
38	意頭	ji3 tau4	good fortune, auspicious meaning
39	夜晚	je6 maan5	night, evening
40	聚埋	zeoi6 maai4	to gather together
41	緊要	gan2 jiu3	important
42	前一日	cin4 jat1 jat6	the day before
43	下晝	haa6 zau3	afternoon
44	飲品	jam2 ban2	beverages, drinks
45	期待	kei4 doi6	to look forward to
46	到時見	dou3 si4 gin3	see you then
