id	item_type	source_traditional	source_jyutping	source_english_status	duplicate_status	accepted_duplicate_targets	terminal_classification	evidence_use	research_route_ids	discrepancy_status	implementation_crosswalk_targets	review_note
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I001	dialog_turn	哇,呢個蛋糕好靚呀!	/Aa3 Saan1: Waa1, ni1 go3 daan6 gou1 hou2 leng3 aa3!/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I002	dialog_turn	係呀,呢個係我哋新款。	/Dim3 Jyun4: Hai6 aa3, ni1 go3 hai6 ngo5 dei6 san1 fun2./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I003	dialog_turn	好似好好食咁,幾錢呀?	/Aa3 Saan1: Hou2 ci5 hou2 hou2 sik6 gam2, gei2 cin2 aa3?/	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D2-R01;D2-R02;D2-R03;D2-R12;D2-R13			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I004	dialog_turn	呢個一百八十蚊。	/Dim3 Jyun4: Ni1 go3 jat1 baak3 baat3 sap6 man1./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I005	dialog_turn	有啲貴喎,值唔值呀?	/Aa3 Saan1: Jau5 di1 gwai3 wo3, zik6 m4 zik6 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I006	dialog_turn	好值呀!用咗好多材料。	/Dim3 Jyun4: Hou2 zik6 aa3! Jung6 zo2 hou2 do1 coi4 liu2./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I007	dialog_turn	有啲咩材料呀?	/Aa3 Saan1: Jau5 di1 me1 coi4 liu2 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I008	dialog_turn	有新鮮士多啤梨,仲有忌廉同朱古力。	/Dim3 Jyun4: Jau5 san1 sin1 si6 do1 be1 lei2, zung6 jau5 gei6 lim4 tung4 zyu1 gu2 lik1./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I009	dialog_turn	士多啤梨新鮮㗎咩?	/Aa3 Saan1: Si6 do1 be1 lei2 san1 sin1 gaa3 me1?/	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D2-R01;D2-R02;D2-R04;D2-R12;D2-R13			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I010	dialog_turn	新鮮呀!今朝先到㗎。	/Dim3 Jyun4: San1 sin1 aa3! Gam1 ziu1 sin1 dou3 gaa3./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
