id	ordinal	item_type	turn	speaker	vocabulary_ordinal	source_cantonese	source_jyutping	source_english	source_hash	previous_turn_id	next_turn_id	deduplication_relation	ingress_classification	runtime_lexical_owners	canonical_exact_owners	supporting_exact_owners	review_flags	review_state
GLOSSIKA-YUEHK-A1-DLG-005-20251228-I001	1	dialog_turn	1	阿文		新年快到喇!你有冇諗新年大計呀?	/Aa3 Man4: San1 nin4 faai3 dou3 laa3! Nei5 jau5 mou5 nam2 san1 nin4 daai6 gai3 aa3?/		sha256:ab2112a097556d25e81f81f8dde2c8056455dbbfddbdd6ff603d47f636f8db2a		GLOSSIKA-YUEHK-A1-DLG-005-20251228-I002	no_project_match	naturalness_review_candidate				naturalness_review_candidate|jau5_mou5_cognition_question|approaching_event_dou3|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-005-20251228-I002	2	dialog_turn	2	阿芬		有呀!我想改變好多嘢!	/Aa3 Fan1: Jau5 aa3! Ngo5 soeng2 goi2 bin3 hou2 do1 je5!/		sha256:7dc17c171da9d8843d87fdbabbe190e7b25c3c3b4e8aaf29e98203e9e9f1d33d	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I001	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I003	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-005-20251228-I003	3	dialog_turn	3	阿文		咩嘢呀?	/Aa3 Man4: Me1 je5 aa3?/		sha256:cc762d6a4601de60f687101f1d32e3193292592eaeb7d402038dabd9be91e69b	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I002	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I004	no_project_match	new_attestation				wh_fragment_question|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-005-20251228-I004	4	dialog_turn	4	阿芬		我想減肥!	/Aa3 Fan1: Ngo5 soeng2 gaam2 fei4!/		sha256:7d8bc6b3556f3b16b75f8b6c8cd21a1d771783a94b7711e65ca20a93e5cfaa39	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I003	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I005	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-005-20251228-I005	5	dialog_turn	5	阿文		減肥?你唔肥喎!	/Aa3 Man4: Gaam2 fei4? Nei5 m4 fei4 wo3!/		sha256:82faeb8e5584c993c87749ccb1a13f7e65ea6af20ef1c9ff5c8deb0a39dfc663	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I004	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I006	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-005-20251228-I006	6	dialog_turn	6	阿芬		我想減五公斤。	/Aa3 Fan1: Ngo5 soeng2 gaam2 ng5 gung1 gan1./		sha256:5db4050e29f68652eed8b7a19a05e3a5dccc029d16aa43ceb578bf3a2c204074	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I005	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I007	no_project_match	naturalness_review_candidate				naturalness_review_candidate|change_measure_object|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-005-20251228-I007	7	dialog_turn	7	阿文		點樣減呀?	/Aa3 Man4: Dim2 joeng2 gaam2 aa3?/		sha256:4065e32208d52cdab4b2ef719528667f1d2f518d9fc2afd2715a93aa15a9adae	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I006	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I008	no_project_match	new_attestation				manner_wh_question|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-005-20251228-I008	8	dialog_turn	8	阿芬		我想去健身室做運動。	/Aa3 Fan1: Ngo5 soeng2 heoi3 gin6 san1 sat1 zou6 wan6 dung6./		sha256:d6a77a8e3538a1331d7365c04c3ce3afa2d2164dce8748a9494b7e2829a8ecbf	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I007	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I009	no_project_match	naturalness_review_candidate				naturalness_review_candidate|motion_goal_purpose_chain|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-005-20251228-I009	9	dialog_turn	9	阿文		幾時開始呀?	/Aa3 Man4: Gei2 si4 hoi1 ci2 aa3?/		sha256:85d100ce185d1e7614fa7e14665f8c037ceb498c90376a4f66a12b3fd710b39c	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I008	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I010	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-005-20251228-I010	10	dialog_turn	10	阿芬		一月一號!你呢?你有冇大計?	/Aa3 Fan1: Jat1 jyut6 jat1 hou6! Nei5 ne1? Nei5 jau5 mou5 daai6 gai3?/		sha256:48937b912b1953e777ec33042161d733bbdc1a9f98862a5eef903010ff518d66	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I009	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I011	no_project_match	naturalness_review_candidate				naturalness_review_candidate|date_fragment|ne1_continuation|jau5_mou5_ellipsis|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
