id	ordinal	item_type	turn	speaker	vocabulary_ordinal	source_cantonese	source_jyutping	source_english	source_hash	source_dialog_exact_surface_present	previous_turn_id	next_turn_id	deduplication_relation	ingress_classification	runtime_lexical_owners	canonical_exact_owners	supporting_exact_owners	review_flags	review_state
GLOSSIKA-YUEHK-A1-DLG-019-20260412-I001	1	dialog_turn	1	志明		美玲，你今日好似唔係好開心喎。	/mei5 ling4, nei5 gam1 jat6 hou2 ci5 m4 hai6 hou2 hoi1 sam1 wo3./		sha256:9fd103c8e03615bfa5f97fd1fe9b5ff5ddf049c201be0ed6a2c4c21297245d85			GLOSSIKA-YUEHK-A1-DLG-019-20260412-I002	no_project_match	naturalness_review_candidate				naturalness_review_candidate|sympathy_bad_news_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-019-20260412-I002	2	dialog_turn	2	美玲		係呀，啱啱發生咗啲事。	/hai6 aa3, ngaam1 ngaam1 faat3 sang1 zo2 di1 si6./		sha256:e4c781365776238df2b02fb6284b35f6f93659b16e1372d2a679d3e07788a60f		GLOSSIKA-YUEHK-A1-DLG-019-20260412-I001	GLOSSIKA-YUEHK-A1-DLG-019-20260412-I003	no_project_match	naturalness_review_candidate				naturalness_review_candidate|sympathy_bad_news_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-019-20260412-I003	3	dialog_turn	3	志明		發生咩事呀？方唔方便講？	/faat3 sang1 me1 si6 aa3? fong1 m4 fong1 bin6 gong2?/		sha256:c8f5ad286a929cc179a83c88b20749139afb1f6179bb0366ee26a705129a7066		GLOSSIKA-YUEHK-A1-DLG-019-20260412-I002	GLOSSIKA-YUEHK-A1-DLG-019-20260412-I004	no_project_match	naturalness_review_candidate				naturalness_review_candidate|sympathy_bad_news_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-019-20260412-I004	4	dialog_turn	4	美玲		我屋企隻貓貓尋日過咗身。	/ngo5 uk1 kei2 zek3 maau1 maau1 cam4 jat6 gwo3 zo2 san1./		sha256:6419d2f6e7c6b46d8ee85d90814ca91798ed7f56d73ca2b92cf80c63e8dcabbe		GLOSSIKA-YUEHK-A1-DLG-019-20260412-I003	GLOSSIKA-YUEHK-A1-DLG-019-20260412-I005	no_project_match	naturalness_review_candidate				naturalness_review_candidate|sympathy_bad_news_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-019-20260412-I005	5	dialog_turn	5	志明		吓？唔好意思聽到！養咗幾耐？	/haa2? m4 hou2 ji3 si1 teng1 dou2! joeng5 zo2 gei2 noi6?/		sha256:e61cc1e4fa63027588888575dbf6a88bd0f0558cc1acfbabf4b6b056c1b48817		GLOSSIKA-YUEHK-A1-DLG-019-20260412-I004	GLOSSIKA-YUEHK-A1-DLG-019-20260412-I006	no_project_match	naturalness_review_candidate				naturalness_review_candidate|sympathy_bad_news_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-019-20260412-I006	6	dialog_turn	6	美玲		養咗十年啦，由細養到大。	/joeng5 zo2 sap6 nin4 laa1, jau4 sai3 joeng5 dou3 daai6./		sha256:e5d5323b90f9d878f2eca862af25e6bedcb0cc48ef2079a7f23e8fc89c556fb0		GLOSSIKA-YUEHK-A1-DLG-019-20260412-I005	GLOSSIKA-YUEHK-A1-DLG-019-20260412-I007	no_project_match	naturalness_review_candidate				naturalness_review_candidate|sympathy_bad_news_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-019-20260412-I007	7	dialog_turn	7	志明		咁耐呀，真係好難過。	/gam3 noi6 aa3, zan1 hai6 hou2 naan4 gwo3./		sha256:7eb31ce79519a995a860c5fdf7df82c3a07d650fc592e22f75ad58bfdd8911db		GLOSSIKA-YUEHK-A1-DLG-019-20260412-I006	GLOSSIKA-YUEHK-A1-DLG-019-20260412-I008	no_project_match	naturalness_review_candidate				naturalness_review_candidate|sympathy_bad_news_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-019-20260412-I008	8	dialog_turn	8	美玲		係呀，而家成日諗起佢。	/hai6 aa3, ji4 gaa1 seng4 jat6 nam2 hei2 keoi5./		sha256:ca1c6914aa9bdd0de31bf1095b5f37ac054cf1263227070bb454dcfee521f6fa		GLOSSIKA-YUEHK-A1-DLG-019-20260412-I007	GLOSSIKA-YUEHK-A1-DLG-019-20260412-I009	no_project_match	naturalness_review_candidate				naturalness_review_candidate|sympathy_bad_news_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-019-20260412-I009	9	dialog_turn	9	志明		我明白嘅，寵物就好似屋企人咁。	/ngo5 ming4 baak6 ge3, cung2 mat6 zau6 hou2 ci5 uk1 kei2 jan4 gam2./		sha256:4b9dcd60bbe53bdf8b32cbc6325d4dd4ac767692b2d7c3a34e36e063d8433368		GLOSSIKA-YUEHK-A1-DLG-019-20260412-I008	GLOSSIKA-YUEHK-A1-DLG-019-20260412-I010	no_project_match	naturalness_review_candidate				naturalness_review_candidate|sympathy_bad_news_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-019-20260412-I010	10	dialog_turn	10	美玲		佢平時好乖，好聽話。	/keoi5 ping4 si4 hou2 gwaai1, hou2 teng1 waa6./		sha256:2aadcbc37fc8ef0e09b7b34691027ae57190f4cb10ad1bed781bb96c56f32738		GLOSSIKA-YUEHK-A1-DLG-019-20260412-I009	GLOSSIKA-YUEHK-A1-DLG-019-20260412-I011	no_project_match	naturalness_review_candidate				naturalness_review_candidate|sympathy_bad_news_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
