rank	word	cifu_jyutping	cifu_definition	hkcancor_hits	hkcancor_observed_bucket_count	hkcancor_pos_counts	hkcancor_ud_counts	hkcancor_jyutping_counts
1751	司長	si1zoeng2	bureau chief	0	0	{}	{}	{}
1752	必要	bit1jiu3	necessary/essential/indispensable/required	2	2	"{""a"": 1, ""n"": 1}"	"{""ADJ"": 1, ""NOUN"": 1}"	"{""bit1jiu3"": 2}"
1753	本地	bun2dei6	local/this locality	4	1	"{""r"": 4}"	"{""PRON"": 4}"	"{""bun2dei6"": 4}"
1754	正上方	zing3soeng6fong1	NO DEF	0	0	{}	{}	{}
1755	正版	*zing1|zing3|zengbaan2	NO DEF	17	1	"{""n"": 17}"	"{""NOUN"": 17}"	"{""zing3baan2"": 17}"
1756	甩	lat1	to lose/to get rid of/to know the mahjong tiles by touch, without needing to look and see if the tile is wanted	11	2	"{""Vg"": 3, ""v"": 8}"	"{""VERB"": 11}"	"{""lat1"": 11}"
1757	光	gwong1	light/ray/CL:道[douh]/bright/only/merely/to use up	3	1	"{""a"": 3}"	"{""ADJ"": 3}"	"{""gwong1"": 3}"
1758	再行	*zoi3hang4|haang4|hang6|hong4|hong2	NO DEF	0	0	{}	{}	{}
1759	在	zoi6	(located) at/(to be) in/to exist/in the middle of doing sth/(indicating an action in progress)	5	1	"{""p"": 5}"	"{""ADP"": 5}"	"{""zoi6"": 5}"
1760	好多人	*hou2do1jan4	NO DEF	0	0	{}	{}	{}
1761	好快	*hou2|hou3faai3	NO DEF	0	0	{}	{}	{}
1762	好近	*hou2|hou3gan6|kan5	NO DEF	0	0	{}	{}	{}
1763	好遠	*hou2|hou3jyun5	NO DEF	0	0	{}	{}	{}
1764	妄想	mong5soeng2	to attempt vainly/a vain attempt	0	0	{}	{}	{}
1765	忙	mong4	busy	5	1	"{""a"": 5}"	"{""ADJ"": 5}"	"{""mong4"": 5}"
1766	成年	sing4nin4	adult	0	0	{}	{}	{}
1767	老細	*lou5sai3	NO DEF	25	1	"{""n"": 25}"	"{""NOUN"": 25}"	"{""lou5sai3"": 25}"
1768	自從	zi6cung4	since (a time)/ever since	6	1	"{""p"": 6}"	"{""ADP"": 6}"	"{""zi6cung4"": 6}"
1769	初頭	*co1tau4	NO DEF	10	2	"{""d"": 2, ""t"": 8}"	"{""ADV"": 10}"	"{""co1tau4"": 10}"
1770	局	guk6|guk2	office/situation/classifier for games: match, set, round etc	0	0	{}	{}	{}
1771	我問	*ngo5man6	NO DEF	0	0	{}	{}	{}
1772	足夠	zuk1gau3	enough/sufficient	5	1	"{""a"": 5}"	"{""ADJ"": 5}"	"{""zuk1gau3"": 5}"
1773	邪	ce4	demonic/iniquitous/nefarious/evil/unhealthy influences that cause disease (Chinese medicine)	7	1	"{""a"": 7}"	"{""ADJ"": 7}"	"{""ce4"": 7}"
1774	事業	si6jip6	undertaking/project/activity/(charitable, political or revolutionary) cause/publicly funded institution, enterprise or foundation/career/occupation	4	1	"{""n"": 4}"	"{""NOUN"": 4}"	"{""si6jip6"": 4}"
1775	兩點	loeng5dim2	NO DEF	5	1	"{""t"": 5}"	"{""ADV"": 5}"	"{""loeng5dim2"": 5}"
1776	咀	zeoi2	to kiss	1	1	"{""n"": 1}"	"{""NOUN"": 1}"	"{""zeoi2"": 1}"
1777	定義	ding6ji6	definition	0	0	{}	{}	{}
1778	忽然	fat1jin4	suddenly/all of a sudden	4	1	"{""d"": 4}"	"{""ADV"": 4}"	"{""fat1jin4"": 4}"
1779	拃	*?	NO DEF	9	1	"{""q"": 9}"	"{""NOUN"": 9}"	"{""zaa6"": 9}"
1780	杯	bui1	cup/classifier for drinks: glass, cup	20	2	"{""n"": 6, ""q"": 14}"	"{""NOUN"": 20}"	"{""bui1"": 20}"
1781	東面	dung1min6	east side (of sth)	0	0	{}	{}	{}
1782	欣賞	jan1soeng2	to appreciate/to enjoy/to admire	4	1	"{""v"": 4}"	"{""VERB"": 4}"	"{""jan1soeng2"": 4}"
1783	股價	gu2gaa3	stock price/share price	1	1	"{""n"": 1}"	"{""NOUN"": 1}"	"{""gu2gaa3"": 1}"
1784	表現	biu2jin6	to show/to show off/to display/to manifest/expression/manifestation/show/display/performance (at work etc)	7	2	"{""v"": 6, ""vn"": 1}"	"{""VERB"": 6, ""NOUN"": 1}"	"{""biu2jin6"": 7}"
1785	長遠	coeng4jyun5	long-term/long-range	1	1	"{""a"": 1}"	"{""ADJ"": 1}"	"{""coeng4jyun5"": 1}"
1786	保險	bou2him2	insurance/to insure/safe/secure/be sure/be bound to	4	2	"{""an"": 2, ""n"": 2}"	"{""NOUN"": 4}"	"{""bou2him2"": 4}"
1787	活動	wut6dung6	to exercise/to move about/to operate/activity/loose/shakey/active/movable/maneuver/to use connections	4	2	"{""v"": 1, ""vn"": 3}"	"{""NOUN"": 3, ""VERB"": 1}"	"{""wut6dung6"": 4}"
1788	重心	zung6sam1	center of gravity/central core/main part	0	0	{}	{}	{}
1789	哲學	zit3hok6	philosophy	1	1	"{""n"": 1}"	"{""NOUN"": 1}"	"{""zit3hok6"": 1}"
1790	家人	gaa1jan4	household/(one's) family	1	1	"{""n"": 1}"	"{""NOUN"": 1}"	"{""gaa1jan4"": 1}"
1791	晏晝	*aan3zau3	NO DEF	7	2	"{""n"": 1, ""t"": 6}"	"{""ADV"": 6, ""NOUN"": 1}"	"{""aan3zau3"": 7}"
1792	校	haau6|gaau3	school/CL:所[só](Mandarin)/CL:間[gāan]|to proofread/to check/to compare/military officer	8	3	"{""Ng"": 2, ""n"": 4, ""v"": 2}"	"{""NOUN"": 6, ""VERB"": 2}"	"{""gaau3"": 2, ""haau6"": 6}"
1793	窄	zaak3	narrow	2	1	"{""a"": 2}"	"{""ADJ"": 2}"	"{""zaak3"": 2}"
1794	粉	fan2	powder/cosmetic face powder/food prepared from starch/noodles or pasta made from any kind of flour/whitewash/white/pink/heroin	2	1	"{""n"": 2}"	"{""NOUN"": 2}"	"{""fan2"": 2}"
1795	做法	zou6faat3	way of handling sth/method for making/work method/practice	1	1	"{""n"": 1}"	"{""NOUN"": 1}"	"{""zou6faat3"": 1}"
1796	健康	gin6hong1	health/healthy	5	3	"{""a"": 2, ""an"": 1, ""n"": 2}"	"{""NOUN"": 3, ""ADJ"": 2}"	"{""gin6hong1"": 5}"
1797	唯一	wai4jat1	only/sole	5	2	"{""a"": 3, ""b"": 2}"	"{""ADJ"": 5}"	"{""wai4jat1"": 5}"
1798	唱片	coeng3pin2	gramophone record/LP	5	1	"{""n"": 5}"	"{""NOUN"": 5}"	"{""coeng3pin2"": 5}"
1799	婚姻	fan1jan1	matrimony/wedding/marriage	2	1	"{""n"": 2}"	"{""NOUN"": 2}"	"{""fan1jan1"": 2}"
1800	接觸	zip3zuk1	to touch/to contact/access/in touch with	6	1	"{""v"": 6}"	"{""VERB"": 6}"	"{""zip3zuk1"": 6}"
1801	梗	gang2	stem	11	1	"{""d"": 11}"	"{""ADV"": 11}"	"{""gang2"": 11}"
1802	清	cing1	clear/distinct/quiet/just and honest/pure/to settle or clear up/to clean up or purge/Qing or Ch'ing dynasty of Imperial China (1644-1911)	3	2	"{""a"": 2, ""v"": 1}"	"{""ADJ"": 2, ""VERB"": 1}"	"{""cing1"": 3}"
1803	率	leot6|seot1	rate/frequency/to lead/to command/rash/hasty/frank/straightforward/generally/usually	0	0	{}	{}	{}
1804	現象	jin6zoeng6	appearance/phenomenon	1	1	"{""n"": 1}"	"{""NOUN"": 1}"	"{""jin6zoeng6"": 1}"
1805	笪	daat3	surname Da/rough bamboo mat	10	1	"{""q"": 10}"	"{""NOUN"": 10}"	"{""daat3"": 10}"
1806	第二個韻	*dai6ji6go3wan6	NO DEF	0	0	{}	{}	{}
1807	第時	*dai6si4	NO DEF	10	1	"{""t"": 10}"	"{""ADV"": 10}"	"{""dai6si4"": 10}"
1808	粗口	cou1hau2	swear words/obscene language	8	1	"{""n"": 8}"	"{""NOUN"": 8}"	"{""cou1hau2"": 8}"
1809	細妹	*sai3mui6	NO DEF	0	0	{}	{}	{}
1810	終	zung1	end/finish	0	0	{}	{}	{}
1811	規則	kwai1zak1	rule/regulation/rules and regulations	0	0	{}	{}	{}
1812	通	tung1	to go through/to know well/to connect/to communicate/to clear/open	9	4	"{""Dg"": 1, ""Vg"": 1, ""d"": 2, ""v"": 5}"	"{""VERB"": 6, ""ADV"": 3}"	"{""tung1"": 9}"
1813	通知	tung1zi1	to notify/to inform/notice/notification	2	1	"{""v"": 2}"	"{""VERB"": 2}"	"{""tung1zi1"": 2}"
1814	創意	cong3ji3	creative/creativity	8	1	"{""n"": 8}"	"{""NOUN"": 8}"	"{""cong3ji3"": 8}"
1815	創新	cong3san1	innovation/to bring forth new ideas/to blaze new trails	0	0	{}	{}	{}
1816	就講	*zau6gong2	NO DEF	0	0	{}	{}	{}
1817	幾日	gei2jat6	several days	0	0	{}	{}	{}
1818	換	wun6	change/exchange	33	1	"{""v"": 33}"	"{""VERB"": 33}"	"{""wun6"": 33}"
1819	普通話	pou2tung1waa2	Mandarin (common language)/Putonghua (common speech of the Chinese language)/ordinary speech	11	1	"{""n"": 11}"	"{""NOUN"": 11}"	"{""pou2tung1waa2"": 11}"
1820	普遍	pou2pin3	universal/general/widespread/common	8	1	"{""a"": 8}"	"{""ADJ"": 8}"	"{""pou2pin3"": 8}"
1821	評價	ping4gaa3	to evaluate/to assess	1	1	"{""v"": 1}"	"{""VERB"": 1}"	"{""ping4gaa3"": 1}"
1822	意義	ji3ji6	meaning/significance	2	1	"{""n"": 2}"	"{""NOUN"": 2}"	"{""ji3ji6"": 2}"
1823	愛情	oi3cing4	romance/love (between man and woman)	0	0	{}	{}	{}
1824	業	jip6	business/occupation/study	3	1	"{""Ng"": 3}"	"{""NOUN"": 3}"	"{""jip6"": 3}"
1825	業主	jip6zyu2	owner/proprietor	9	1	"{""n"": 9}"	"{""NOUN"": 9}"	"{""jip6zyu2"": 9}"
1826	當你	*dong1|dong3nei5	NO DEF	0	0	{}	{}	{}
1827	當我	*dong1|dong3ngo5	NO DEF	0	0	{}	{}	{}
1828	罪行	zeoi6hang4	crime/offense	0	0	{}	{}	{}
1829	較	gaau3	comparatively/(preposition comparing difference in degree)/to contrast/to compare/rather/fairly/clearly (different)/markedly/to haggle over/to quibble	1	1	"{""v"": 1}"	"{""VERB"": 1}"	"{""gaau3"": 1}"
1830	遊戲	jau4hei3	game/play	9	1	"{""n"": 9}"	"{""NOUN"": 9}"	"{""jau4hei3"": 9}"
1831	電訊	din6seon3	telecommunications/telecom	1	1	"{""n"": 1}"	"{""NOUN"": 1}"	"{""din6seon3"": 1}"
1832	鼓勵	gu2lai6	to encourage	2	1	"{""v"": 2}"	"{""VERB"": 2}"	"{""gu2lai6"": 2}"
1833	嘔	au2	vomit	12	1	"{""v"": 12}"	"{""VERB"": 12}"	"{""au2"": 12}"
1834	實際上	sat6zai3soeng6	in fact/in reality/as a matter of fact/in practice	1	1	"{""d"": 1}"	"{""ADV"": 1}"	"{""sat6zai3soeng6"": 1}"
1835	慳	haan1	to be thrifty	9	2	"{""a"": 5, ""v"": 4}"	"{""ADJ"": 5, ""VERB"": 4}"	"{""haan1"": 9}"
1836	樓下	lau4haa6	downstairs	8	1	"{""s"": 8}"	"{""NOUN"": 8}"	"{""lau4haa6"": 8}"
1837	瘦	sau3	thin/lean	6	1	"{""a"": 6}"	"{""ADJ"": 6}"	"{""sau3"": 6}"
1838	賭	dou2	to bet/to gamble	0	0	{}	{}	{}
1839	踩	caai2	to step on/to tread/to stamp/to press a pedal/to pedal (a bike)/to enter, to cross into (territory)	5	1	"{""v"": 5}"	"{""VERB"": 5}"	"{""caai2"": 5}"
1840	燕梳	*jin3|jin1so1	NO DEF	4	1	"{""n"": 4}"	"{""NOUN"": 4}"	"{""jin3so1"": 4}"
1841	遲	ci4	late/delayed/slow	21	1	"{""a"": 21}"	"{""ADJ"": 21}"	"{""ci4"": 21}"
1842	幫到	*bong1dou3	NO DEF	0	0	{}	{}	{}
1843	戲院	hei3jyun2	theater	10	1	"{""n"": 10}"	"{""NOUN"": 10}"	"{""hei3jyun2"": 10}"
1844	擦紙膠	caat3zi2gaau1	NO DEF	0	0	{}	{}	{}
1845	營	jing4	army/to deal in/to trade/to operate/to run/camp/nourishment/to manage	0	0	{}	{}	{}
1846	聯絡	lyun4lok3	communication/to get in touch with/to contact/connection (math.)	8	1	"{""v"": 8}"	"{""VERB"": 8}"	"{""lyun4lok3"": 8}"
1847	講法	*gong2faat3	NO DEF	4	1	"{""n"": 4}"	"{""NOUN"": 4}"	"{""gong2faat3"": 4}"
1848	講開	*gong2hoi1	NO DEF	0	0	{}	{}	{}
1849	黏	nim4|nim1|zim1	to stick/sticky/glutinous/glue	10	1	"{""v"": 10}"	"{""VERB"": 10}"	"{""nim4"": 10}"
1850	禮拜三	*lai5baai3saam1|saam3	NO DEF	10	1	"{""t"": 10}"	"{""ADV"": 10}"	"{""lai5baai3saam1"": 10}"
1851	禮拜六	*lai5baai3luk6	NO DEF	10	1	"{""t"": 10}"	"{""ADV"": 10}"	"{""lai5baai3luk6"": 10}"
1852	翻譯	faan1jik6	to translate/to interpret/translator/interpreter/translation/interpretation	11	2	"{""v"": 7, ""vn"": 4}"	"{""VERB"": 7, ""NOUN"": 4}"	"{""faan1jik6"": 11}"
1853	轉右	*zyun2|zyun3jau6	NO DEF	0	0	{}	{}	{}
1854	轉頭	zyun3tau4	to turn one's head/to change direction/U-turn/volte face/to repent/nutation (plants turning to face the sun)	5	1	"{""v"": 5}"	"{""VERB"": 5}"	"{""zyun3tau4"": 5}"
1855	額	ngaak6	volume/amount/quantity/forehead/quota	0	0	{}	{}	{}
1856	鯉	lei5	carp	0	0	{}	{}	{}
1857	穩定	wan2ding6	steady/stable/stability/to stabilize/to pacify	6	1	"{""a"": 6}"	"{""ADJ"": 6}"	"{""wan2ding6"": 6}"
1858	邊間	*bin1gaan1|gaan3	NO DEF	0	0	{}	{}	{}
1859	嚴重	jim4zung6	grave/serious/severe/critical	6	1	"{""a"": 6}"	"{""ADJ"": 6}"	"{""jim4zung6"": 6}"
1860	屬於	suk6jyu1	classified as/to belong to/to be part of	2	1	"{""v"": 2}"	"{""VERB"": 2}"	"{""suk6jyu1"": 2}"
1861	聽到	teng1dou2	to hear	0	0	{}	{}	{}
1862	黐	ci1	sticky/crazy/to stick to/to go crazy	1	1	"{""v"": 1}"	"{""VERB"": 1}"	"{""ci1"": 1}"
1863	顯示	hin2si6	to show/to illustrate/to display/to demonstrate	6	2	"{""v"": 1, ""vn"": 5}"	"{""NOUN"": 5, ""VERB"": 1}"	"{""hin2si6"": 6}"
1864	一模一樣	jat1mou4jat1joeng6	exactly the same (idiom)/carbon copy	5	3	"{""a"": 1, ""i"": 2, ""l"": 2}"	"{""X"": 4, ""ADJ"": 1}"	"{""jat1mou4jat1joeng6"": 5}"
1865	一邊	jat1bin1	one side/either side/on the one hand/on the other hand/doing while	3	1	"{""d"": 3}"	"{""ADV"": 3}"	"{""jat1bin1"": 3}"
1866	九十度	*gau2sap6dou6|dok6	NO DEF	0	0	{}	{}	{}
1867	人生	jan4sang1	life	3	1	"{""n"": 3}"	"{""NOUN"": 3}"	"{""jan4sang1"": 3}"
1868	十一點	sap6jat1dim2	NO DEF	1	1	"{""t"": 1}"	"{""ADV"": 1}"	"{""sap6jat1dim2"": 1}"
1869	上堂	*soeng6|soeng5tong4	NO DEF	10	2	"{""v"": 9, ""vn"": 1}"	"{""VERB"": 9, ""NOUN"": 1}"	"{""soeng5tong4"": 10}"
1870	下畫	*haa6waak6|waa2	NO DEF	0	0	{}	{}	{}
1871	山個	*saan1go3	NO DEF	0	0	{}	{}	{}
1872	中國人	zung1gwok3jan4	Chinese person/Chinese people	2	1	"{""nz"": 2}"	"{""PROPN"": 2}"	"{""zung1gwok3jan4"": 2}"
1873	五月	ng5jyut6	May/fifth month	7	1	"{""t"": 7}"	"{""ADV"": 7}"	"{""ng5jyut6"": 7}"
1874	內心	noi6sam1	heart/innermost being	0	0	{}	{}	{}
1875	反映	faan2jing2	to mirror/to reflect/mirror image/reflection/fig. to report/to make known/to render/used erroneously for 反應|反应, response or reaction	0	0	{}	{}	{}
1876	天堂	tin1tong4	paradise/heaven	0	0	{}	{}	{}
1877	太陽	taai3joeng4	sun	1	1	"{""n"": 1}"	"{""NOUN"": 1}"	"{""taai3joeng4"": 1}"
1878	心態	sam1taai3	attitude (of the heart)/state of one's psyche/way of thinking/mentality	2	1	"{""n"": 2}"	"{""NOUN"": 2}"	"{""sam1taai3"": 2}"
1879	文	man4	language/culture/writing/formal/literary/gentle/surname Wen	0	0	{}	{}	{}
1880	止	zi2	to stop/to prohibit/untill	8	2	"{""a"": 1, ""v"": 7}"	"{""VERB"": 7, ""ADJ"": 1}"	"{""zi2"": 8}"
1881	火星	fo2sing1	Mars (planet)	9	1	"{""n"": 9}"	"{""NOUN"": 9}"	"{""fo2sing1"": 9}"
1882	仙人掌	sin1jan4zoeng2	cactus	0	0	{}	{}	{}
1883	以往	ji5wong5	in the past/formerly	2	1	"{""t"": 2}"	"{""ADV"": 2}"	"{""ji5wong5"": 2}"
1884	凹	nap1|aau3|waa1	a depression/indentation/concave/hollow	2	1	"{""v"": 2}"	"{""VERB"": 2}"	"{""lap1"": 2}"
1885	出席	ceot1zik6	to attend/to participate/present	0	0	{}	{}	{}
1886	出邊	*ceot1bin1	NO DEF	16	1	"{""f"": 16}"	"{""ADV"": 16}"	"{""ceot1bin6"": 16}"
1887	加返	*gaa1faan1|faan2	NO DEF	0	0	{}	{}	{}
1888	可憐	ho2lin4	pitiful/pathetic	6	1	"{""a"": 6}"	"{""ADJ"": 6}"	"{""ho2lin4"": 6}"
1889	失	sat1	to lose/to miss/to fail	2	1	"{""v"": 2}"	"{""VERB"": 2}"	"{""sat1"": 2}"
1890	民主	man4zyu2	democracy	0	0	{}	{}	{}
1891	民建聯	man4gin3lyun4	abbr. for 民主建港協進聯盟|民主建港协进联盟, Democratic alliance for the betterment of Hong Kong (DAB), Hong Kong pro-Beijing party	0	0	{}	{}	{}
