id	ordinal	item_type	turn	speaker	vocabulary_ordinal	source_cantonese	source_jyutping	source_english	source_hash	source_dialog_exact_surface_present	previous_turn_id	next_turn_id	deduplication_relation	ingress_classification	runtime_lexical_owners	canonical_exact_owners	supporting_exact_owners	review_flags	review_state
GLOSSIKA-YUEHK-A1-DLG-013-20260301-I001	1	dialog_turn	1	陳先生		唔該，借借。	/m4 goi1, ze3 ze3./		sha256:60a970e7c25a7b5adaaa7563cbddb46e70cd7a9b6f3b94b575d7171a41a1d863			GLOSSIKA-YUEHK-A1-DLG-013-20260301-I002	no_project_match	naturalness_review_candidate				naturalness_review_candidate|reception_identity_appointment_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-013-20260301-I002	2	dialog_turn	2	李生		早晨，先生。請問你搵邊個？	/zou2 san4, sin1 saang1. cing2 man6 nei5 wan2 bin1 go3?/		sha256:eea899fb11ef08826debd666dd83627bf4c7d7ae0b620827f57f62d7d7453f73		GLOSSIKA-YUEHK-A1-DLG-013-20260301-I001	GLOSSIKA-YUEHK-A1-DLG-013-20260301-I003	no_project_match	naturalness_review_candidate				naturalness_review_candidate|reception_identity_appointment_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-013-20260301-I003	3	dialog_turn	3	陳先生		我搵王經理。	/ngo5 wan2 wong4 ging1 lei5./		sha256:e53b6d55d2858c2c34ab7b56c5dd33f3a9a86a503fb21d4e6e042e0188a328ae		GLOSSIKA-YUEHK-A1-DLG-013-20260301-I002	GLOSSIKA-YUEHK-A1-DLG-013-20260301-I004	no_project_match	naturalness_review_candidate				naturalness_review_candidate|reception_identity_appointment_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-013-20260301-I004	4	dialog_turn	4	李生		你有冇預約？	/nei5 jau5 mou5 jyu6 joek3?/		sha256:c16b9a34473e1c20c4d06950a8b4cac1a7961a912070f86697e784873bf3a805		GLOSSIKA-YUEHK-A1-DLG-013-20260301-I003	GLOSSIKA-YUEHK-A1-DLG-013-20260301-I005	no_project_match	naturalness_review_candidate				naturalness_review_candidate|reception_identity_appointment_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-013-20260301-I005	5	dialog_turn	5	陳先生		有呀，我約咗十點。	/jau5 aa3, ngo5 joek3 zo2 sap6 dim2./		sha256:3875be10cde3d2139b7fb8abd84081c96ff5ed8b7f33eaeb59dddb3bdc3949be		GLOSSIKA-YUEHK-A1-DLG-013-20260301-I004	GLOSSIKA-YUEHK-A1-DLG-013-20260301-I006	no_project_match	naturalness_review_candidate				naturalness_review_candidate|reception_identity_appointment_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-013-20260301-I006	6	dialog_turn	6	李生		請問你貴姓？	/cing2 man6 nei5 gwai3 sing3?/		sha256:a8e20a45c2d8051841c119a08f1546e3396c129e5b3e9c707d91003a3b20c081		GLOSSIKA-YUEHK-A1-DLG-013-20260301-I005	GLOSSIKA-YUEHK-A1-DLG-013-20260301-I007	no_project_match	naturalness_review_candidate				naturalness_review_candidate|reception_identity_appointment_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-013-20260301-I007	7	dialog_turn	7	陳先生		我姓陳。	/ngo5 sing3 can4./		sha256:b12e2764fd8b5cc6bbad01fcc923ab5ff95554684a45128dfb7cdd99d9124722		GLOSSIKA-YUEHK-A1-DLG-013-20260301-I006	GLOSSIKA-YUEHK-A1-DLG-013-20260301-I008	no_project_match	naturalness_review_candidate				naturalness_review_candidate|reception_identity_appointment_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-013-20260301-I008	8	dialog_turn	8	李生		陳先生，等陣。我打電話問下。	/can4 sin1 saang1, dang2 zan6. ngo5 daa2 din6 waa2 man6 haa5./		sha256:101626cefccc6c4b0d197867b4ad6ee132da99c99a4a593e3c4526e22b1b3e1d		GLOSSIKA-YUEHK-A1-DLG-013-20260301-I007	GLOSSIKA-YUEHK-A1-DLG-013-20260301-I009	no_project_match	naturalness_review_candidate				naturalness_review_candidate|reception_identity_appointment_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-013-20260301-I009	9	dialog_turn	9	陳先生		好，唔該晒。	/hou2, m4 goi1 saai3./		sha256:0bc0f840935c01a63fd42f78fefe5525ed33c67b20d2d287924e3e81a142127b		GLOSSIKA-YUEHK-A1-DLG-013-20260301-I008	GLOSSIKA-YUEHK-A1-DLG-013-20260301-I010	no_project_match	naturalness_review_candidate				naturalness_review_candidate|reception_identity_appointment_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-013-20260301-I010	10	dialog_turn	10	李生		喂，王經理，有位陳先生搵你。	/wai2, wong4 ging1 lei5, jau5 wai2 can4 sin1 saang1 wan2 nei5./		sha256:b9c6469c0ef5b970ab09fdbf8fe5218d94eda36997732271473914d5e1d9d034		GLOSSIKA-YUEHK-A1-DLG-013-20260301-I009	GLOSSIKA-YUEHK-A1-DLG-013-20260301-I011	no_project_match	naturalness_review_candidate				naturalness_review_candidate|reception_identity_appointment_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
